,id,code,is_true,errorline
0,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int varb_0 = 87,eng = 72,comp = 93,average;
  average=(varb_0+eng+comp)/3;
  printf(""math=%d,eng = 72,comp = 93,average = %d"" ,varb_0,eng,comp,average);
  return 0;
}",0.0,6
1,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
varb_0=87,varb_1=72,varb_2=93;
varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%d,varb_1=%d,varb_2=%d,varb_3=%d"",main,varb_1,varb_2,varb_3);
return 0;
}",0.0,4
2,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
 int varb_0;
 int varb_1;
 int varb_2;
 int varb_3;
 varb_0=87;
 varb_1=72;
 varb_2=93;
 varb_3=(varb_0+varb_1+varb_2)/3;
 printf(""math =%d, varb_1 =%d,varb_2 =%d/n"",varb_0,varb_1,varb_2,varb_3);
 return 0;
}",0.0,12
3,2c9f30a57c74a921017c774bbf030581,"#include ""stdio.h""
int main()
{
  float varb_0=87,eng=72,comp=93;
  float varb_1;
  varb_1=(varb_0+eng+comp)/3;
  printf(""math=%f ,eng=%f, comp=%f, varb_1=%f"",varb_0,eng,comp,varb_1);
  return 0;
}
",0.0,4
4,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
int varb_0=87,eng=72,comp=93,average;
average=(87+72+93)/3;
printf(""math=%d,eng=%d,com=%d,average=%d"",varb_0,eng,comp,average);
return 0;
}",0.0,6
5,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	varb_0=87;
	varb_1=72;
	varb_2=93;
	varb_3=(varb_0+varb_1+varb_2)/3;
	printf(""average=%d"",varb_3);
	return 0;
}",0.0,4
6,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int varb_0=87,eng=72,comp=93,ave;
  ave=(varb_0+eng+comp)/3;
  printf(""math=%d,eng=%d,comp=%d,ave=%d"" ,varb_0,eng,comp,ave);
  return 0;
}",0.0,4
7,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
  int varb_0;
  int varb_1; 
  int varb_2;
  int varb_3;
  varb_0=87;
  varb_1=72;
  varb_2=93;
  varb_3=(varb_0+varb_1+varb_2)/3;
  printf(""math = %d,varb_1 = %d,varb_2 = %d,varb_3=%d\n."",varb_0,varb_1,varb_2,varb_3);
  return 0;
}",0.0,12
8,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2;
float varb_3;
varb_0=87;
varb_1=72;
varb_2=93;
varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%d,varb_1=%d,varb_2=%d,varb_3=%f"",varb_0,varb_1,varb_2,varb_3);
return 0;
}",0.0,2
9,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
int varb_0=87 ;
int varb_1=72 ;
int varb_2=93;
int varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%d varb_1=%d varb_2=%d varb_3=%d\n"",varb_0,varb_1,varb_2,varb_3);
return 0;
}",0.0,8
10,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
  int varb_0;
  int varb_1;
  int varb_2;
  int varb_3;
  int varb_4;
    varb_0=87;
    varb_1=72;
    varb_2=93;
    varb_3=varb_0+varb_1+varb_2;
    varb_4=varb_3/3;
    printf(""math= %d,varb_1= %d,varb_2= %d,verage= %d\n"",varb_0,varb_1,varb_2,varb_4);
    return 0;
}",0.0,14
11,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	varb_0=87,varb_1=72,varb_2=93;
	varb_3=(varb_0+varb_1+varb_2)/3;
	printf(""math=%d,varb_2=%d,varb_2=%d,varb_3=%d\n"",varb_0,varb_1,varb_2,varb_3);
	return 0;
}",0.0,7
12,2c9f30a57c74a921017c774bbf030581,"#include""stdio.h""
int main()
{
  int varb_0=87,eng=72,comp=93;
  int varb_1;
   varb_1=(varb_0+eng+comp)/3;
   printf(""math%d,eng=%d,comp=%d,varb_1=%d"",varb_0,eng,comp,varb_1);
   return 0;
  }",0.0,7
13,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int varb_0=87,eng=72,comp=93,ave;
  ave=(87+72+93)/3;
  printf(""math=%d,eng=%d,comp=%d,ave=%d"" ,varb_0,eng,comp,ave);
  return 0;
}",0.0,4
14,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3,varb_4;
varb_0=87;
varb_1=72;
varb_2=93;
varb_3=varb_0+varb_1+varb_2;
varb_4=varb_3/3;
printf(""math=87,varb_1=72,varb_2=93,varb_4=%f"",varb_4);
return 0;
}",0.0,4
15,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
float main()
{
float varb_0,varb_1,varb_2,varb_3;
varb_0=87;
varb_1=72;
varb_2=93;
varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%f,varb_1=%f,varb_2=%f,varb_3=%f"",varb_0,varb_1,varb_2,varb_3);
return 0;
}",0.0,2
16,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2,varb_3;
   varb_0 = 87;
   varb_1 = 72;
   varb_2 = 93;
   printf(""math = 87, varb_1 = 72, varb_2 = 93, varb_3 = %d"",(87+71+93)/3);
    return 0;
}",0.0,8
17,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	varb_0=87,varb_1=72,varb_2=93;
	varb_3=(varb_0+varb_1+varb_2)/3;
	printf(""math=%d,varb_2=%d,varb_2=%d,varb_3=%d"",varb_0,varb_1,varb_2,varb_3);
	return 0;
}",0.0,7
18,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
  int varb_0=87;
  int varb_1=72;
  int varb_2=93;
  int varb_3=varb_0/3+varb_1/3+varb_2/3;
  printf(""math=%d,"",varb_0);
  printf(""eng=%d,"",varb_1);
  printf(""comp%d,"",varb_2);
  printf(""average=%d"",varb_3);
  return 0;
}",0.0,10
19,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
 int varb_0;
 int varb_1;
 int varb_2;
 int varb_3;
 varb_0=87;
 varb_1=72;
 varb_2=93;
 varb_3=(varb_0+varb_1+varb_2)/3;
 printf(""math = %d, varb_1 = %d,varb_2 = %d/n"",varb_0,varb_1,varb_2,varb_3);
 return 0;
}",0.0,12
20,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
  int varb_0=87;
  int varb_1=72;
  int varb_2=93;
  int varb_3=varb_0/3+varb_1/3+varb_2/3;
  printf(""math=%d,"",varb_0);
  printf(""eng=5d,"",varb_1);
  printf(""comp%d,"",varb_2);
  printf(""average=%d"",varb_3);
  return 0;
}",0.0,9
21,2c9f30a57c74a921017c774bbf030581,"#include ""stdio.h""
int main()
{
  float varb_0=87,eng=72,comp=93;
  float varb_1;
  varb_1=(varb_0+eng+comp)/3;
  printf(""math=%d,eng=%d, comp=%d, varb_1=%d"",varb_0,eng,comp,varb_1);
  return 0;
}
",0.0,4
22,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int varb_0 = 87,eng = 72,comp = 93,average;
  average=(varb_0+eng+comp)/3;
  printf(""math=%d,eng = 72,comp = 93,average = %d""            ,varb_0,eng,comp,average);
  return 0;
}",0.0,6
23,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2,varb_3;
   varb_0 = 87;
   varb_1 = 71;
   varb_2 = 93;
   printf(""math = 87, varb_1 = 71, varb_2 = 93, varb_3 = %d"",(87+71+93)/3);
    return 0;
}",0.0,6
24,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int varb_0=87,eng=72,comp=93,average;
  average=(varb_0+eng+comp)/3;
  printf(""math=%d,eng=72,comp=93,average=%d"" ,varb_0,eng,comp,average);
  return 0;
}",0.0,6
