,lines,4500,2000,9000,30000
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,0,0,0,0
6,7,1,1,1,1
7,8,1,1,1,1
8,9,1,1,1,1
9,10,1,1,1,1
10,11,0,0,0,0
11,12,1,1,1,1
12,13,0,0,0,0
13,14,1,1,1,1
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,0,0,0,0
18,19,1,1,1,1
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,0,0,0,0
23,24,1,1,1,1
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,0,0,0,0
28,29,1,1,1,1
29,30,1,1,1,1
30,31,0,0,0,0
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,1,1,1,1
35,36,0,0,0,0
36,37,1,1,1,1
37,38,0,0,0,0
38,39,1,1,1,1
39,40,1,1,1,1
40,41,0,0,0,0
41,42,1,1,1,1
42,43,0,0,0,0
43,44,1,1,1,1
44,45,1,1,1,1
45,46,0,0,0,0
46,47,1,1,1,1
47,48,0,0,0,0
48,49,0,0,0,0
49,50,0,0,0,0
50,51,0,0,0,0
51,52,0,0,0,0
52,53,0,0,0,0
53,54,0,0,0,0
54,55,0,0,0,0
55,56,0,0,0,0
56,57,0,0,0,0
57,0,0,1,0,0
