,id,code,is_true,format_code,errorline,code_spec
0,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
    int year;
    scanf(""%d"",&year);
    if(year<0){printf(""非法输入"");return 0;}
    if(((!(year%4))&&(year%100))||!(year%400))printf(""%d是闰年"");
    else printf(""%d不是闰年"");
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0;
    scanf(""%d"",&varb_0);
    if(varb_0<0){printf(""非法输入"");return 0;}
    if(((!(varb_0%4))&&(varb_0%100))||!(varb_0%400))printf(""%d是闰年"");
    else printf(""%d不是闰年"");
    return 0;
}",7,2c911d616dcd1421016dd2cc121f1635_0.csv
1,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
int a;
scanf(""%d"",&a);
if(a<0)
printf(""非法输入"");
if((a%4==0&&a%100!=0)||(a%400==0))
printf(""%d是闰年"",a);
else printf(""%d不是闰年"",a);
}

",0.0,"#include<stdio.h>
int main()
{
int varb_0;
scanf(""%d"",&varb_0);
if(varb_0<0)
printf(""非法输入"");
if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
printf(""%d是闰年"",varb_0);
else printf(""%d不是闰年"",varb_0);
}
",6,2c911d616dcd1421016dd2cc121f1635_1.csv
2,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
  int year;

  scanf(""%d"",&year);
   if((year%4==0&&year%100!=0)||(year%400==0))
    printf(""%d是闰年"",year);
   else
    printf(""%d不是闰年"",year);
    
    return 0;
	
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0;
  scanf(""%d"",&varb_0);
   if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
    printf(""%d是闰年"",varb_0);
   else
    printf(""%d不是闰年"",varb_0);
    return 0;
}",4,2c911d616dcd1421016dd2cc121f1635_2.csv
3,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
   int a,b,c;
   scanf(""%d"",&a);
   if(a<0)
    printf(""输入错误显示非法输入"");
   if(a%4==0||a%400!=0)
    printf(""%d是闰年"",a);
   else
    printf(""%d不是闰年"",a);
   




}",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2;
   scanf(""%d"",&varb_0);
   if(varb_0<0)
    printf(""输入错误显示非法输入"");
   if(varb_0%4==0||varb_0%400!=0)
    printf(""%d是闰年"",varb_0);
   else
    printf(""%d不是闰年"",varb_0);
}",7,2c911d616dcd1421016dd2cc121f1635_3.csv
4,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
#include<math.h>
int main()
{
   int a;
   scanf(""%d"",&a);
   if(a%4==0)
      printf(""%d是闰年"",a);
   else if(a%4!=0)
      printf(""%d不是闰年"",a);
   else
      printf(""非法输入"");
   return 0;         
}
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0%4==0)
      printf(""%d是闰年"",varb_0);
   else if(varb_0%4!=0)
      printf(""%d不是闰年"",varb_0);
   else
      printf(""非法输入"");
   return 0;         
}
",5,2c911d616dcd1421016dd2cc121f1635_4.csv
5,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
	int year;
	scanf(""%d"",&year);
	if(year%4==0)
	{
		if(year%100==0&&year%400==0)
		printf(""非法错误"");
		else printf(""%d是闰年"",year);
	}
	else
    printf(""%d不是闰年"",year);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	if(varb_0%4==0)
	{
		if(varb_0%100==0&&varb_0%400==0)
		printf(""非法错误"");
		else printf(""%d是闰年"",varb_0);
	}
	else
    printf(""%d不是闰年"",varb_0);
	return 0;
}",6,2c911d616dcd1421016dd2cc121f1635_5.csv
6,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
	int year;
	scanf(""%d"",&year);
	if(year<0)
	printf(""非法错误"");
	else if(year%4==0)
	{
		if(year%100==0&&year%400==0)
		printf(""非法错误"");
		else printf(""%d是闰年"",year);
	}
	else
    printf(""%d不是闰年"",year);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	if(varb_0<0)
	printf(""非法错误"");
	else if(varb_0%4==0)
	{
		if(varb_0%100==0&&varb_0%400==0)
		printf(""非法错误"");
		else printf(""%d是闰年"",varb_0);
	}
	else
    printf(""%d不是闰年"",varb_0);
	return 0;
}",7,2c911d616dcd1421016dd2cc121f1635_6.csv
7,2c911d616dcd1421016dd2cc121f1635,"#include <stdio.h>
int main()
{
   int n;
   scanf(""%d"",&n);
   if (((n%100!=0) && (n%4==0)) || ( n % 400==0) )
    printf(""%d是闰年"",n);
    else if (n%4!=0)
    printf(""%d不是闰年"",n) ;
    if(n<=0)
    printf(""非法输入"");
 
 return 0;
 }
",0.0,"#include <stdio.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(((varb_0%100!=0) &&(varb_0%4==0)) ||( varb_0 % 400==0) )
    printf(""%d是闰年"",varb_0);
    else if(varb_0%4!=0)
    printf(""%d不是闰年"",varb_0) ;
    if(varb_0<=0)
    printf(""非法输入"");
 return 0;
 }
",6,2c911d616dcd1421016dd2cc121f1635_7.csv
8,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>

int main()
{
  int year;
  scanf(""%d"",&year);
 if(year%4!=0)
  printf(""%d不是闰年"",year);
  else if(year%4==0 && year%100!=0)
   printf(""%d是闰年"");  
  else if(year%4==0 && year%100==0 && year%400==0)
   printf(""%d是闰年"");
 else
  printf(""非法输入"");
  
  
  return 0;
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0;
  scanf(""%d"",&varb_0);
 if(varb_0%4!=0)
  printf(""%d不是闰年"",varb_0);
  else if(varb_0%4==0 && varb_0%100!=0)
   printf(""%d是闰年"");  
  else if(varb_0%4==0 && varb_0%100==0 && varb_0%400==0)
   printf(""%d是闰年"");
 else
  printf(""非法输入"");
  return 0;
}",6,2c911d616dcd1421016dd2cc121f1635_8.csv
9,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
void main()
{
int a;
scanf(""%d"",&a);
if((a%4==0&&a%100!=0)||a%400==0)
printf(""%d年是闰年"",a);
else
printf(""%d不是闰年"",a);


}",0.0,"#include<stdio.h>
void main()
{
int varb_0;
scanf(""%d"",&varb_0);
if((varb_0%4==0&&varb_0%100!=0)||varb_0%400==0)
printf(""%d年是闰年"",varb_0);
else
printf(""%d不是闰年"",varb_0);
}",6,2c911d616dcd1421016dd2cc121f1635_9.csv
10,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
	int a;
	scanf(""%d"",&a);
	if(a%4==0&&a%100!=0)
	printf(""%d是闰年"",a);
	else 
	printf(""非法输入"");
}
",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	if(varb_0%4==0&&varb_0%100!=0)
	printf(""%d是闰年"",varb_0);
	else 
	printf(""非法输入"");
}
",4,2c911d616dcd1421016dd2cc121f1635_10.csv
11,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
	int n;
	float i;
	scanf(""%d"", &n);
	i = n%4;
	if(i == 0)
	printf(""%d是闰年"", n);
	else
	printf(""%d不是闰年"", n);
	
	return 0;
	
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	float varb_1;
	scanf(""%d"", &varb_0);
	varb_1 = varb_0%4;
	if(varb_1 == 0)
	printf(""%d是闰年"", varb_0);
	else
	printf(""%d不是闰年"", varb_0);
	return 0;
}",4,2c911d616dcd1421016dd2cc121f1635_11.csv
12,2c911d616dcd1421016dd2cc121f1635,"#include <stdio.h>
int main()
{  int a;
   scanf(""%d"",&a);
   
   if (a%100&&a>=0){
   	if(a%4)
   	 printf(""%d不是闰年"",a);
   	else
   	 printf(""%d是闰年"",a);
   }
   else {
    if(a%400&&a>=0)
     printf(""%d不是闰年"",a);
    else
     printf(""%d是闰年"",a);
   }
  if(a<0) 
   puts(""非法输入"");
   
  return 0;

}
   
   ",0.0,"#include <stdio.h>
int main()
{  int varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0%100&&varb_0>=0){
   	if(varb_0%4)
   	 printf(""%d不是闰年"",varb_0);
   	else
   	 printf(""%d是闰年"",varb_0);
   }
   else {
    if(varb_0%400&&varb_0>=0)
     printf(""%d不是闰年"",varb_0);
    else
     printf(""%d是闰年"",varb_0);
   }
  if(varb_0<0) 
   puts(""非法输入"");
  return 0;
}
",11,2c911d616dcd1421016dd2cc121f1635_12.csv
13,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
   int a,b,c;
   scanf(""%d"",&a);
   if(a<0)
    printf(""非法输入"");
   if(a%4==0||a%400!=0)
    printf(""%d是闰年"",a);
   else
    printf(""%d不是闰年"",a);
   




}",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2;
   scanf(""%d"",&varb_0);
   if(varb_0<0)
    printf(""非法输入"");
   if(varb_0%4==0||varb_0%400!=0)
    printf(""%d是闰年"",varb_0);
   else
    printf(""%d不是闰年"",varb_0);
}",8,2c911d616dcd1421016dd2cc121f1635_13.csv
14,2c911d616dcd1421016dd2cc121f1635,"#include <stdio.h>
int main()
{
   int n;
   scanf(""%d"",&n);
   if (((n%100!=0) && (n%4==0)) || ( n % 400==0) )
    printf(""%d是闰年"",n);
    else if (n%4!=0)
    printf(""%d不是闰年"",n) ;
    else if (n<=0)
    printf(""非法输入"");
 
 return 0;
 }
",0.0,"#include <stdio.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(((varb_0%100!=0) &&(varb_0%4==0)) ||( varb_0 % 400==0) )
    printf(""%d是闰年"",varb_0);
    else if(varb_0%4!=0)
    printf(""%d不是闰年"",varb_0) ;
    else if(varb_0<=0)
    printf(""非法输入"");
 return 0;
 }
",4,2c911d616dcd1421016dd2cc121f1635_14.csv
15,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>

int main()
{
    int n;
    
    scanf(""%d"",&n);
    
    if(n%4==0)
    printf(""%d是闰年"",n);
    else
    printf(""非法输入"");

    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0;
    scanf(""%d"",&varb_0);
    if(varb_0%4==0)
    printf(""%d是闰年"",varb_0);
    else
    printf(""非法输入"");
    return 0;
}",6,2c911d616dcd1421016dd2cc121f1635_15.csv
16,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
main()
{
	int a;
	scanf(""%d"",&a);
	if(a%4==0&&a/100!=0||a/400==0)
	printf(""%d是闰年"",a);
	else
	printf(""非法输入""); 
}                          ",0.0,"#include<stdio.h>
main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	if(varb_0%4==0&&varb_0/100!=0||varb_0/400==0)
	printf(""%d是闰年"",varb_0);
	else
	printf(""非法输入""); 
}                          ",2,2c911d616dcd1421016dd2cc121f1635_16.csv
17,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
	int a;
	scanf(""%d"",&a);
	if(a%4==0&&a%100!=0)
	printf(""%d是闰年"",a);
	else 
	printf(""非法输入"");
}
",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	if(varb_0%4==0&&varb_0%100!=0)
	printf(""%d是闰年"",varb_0);
	else 
	printf(""非法输入"");
}
",4,2c911d616dcd1421016dd2cc121f1635_17.csv
18,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
 int a;
 scanf(""%d"",&a);
 if(a>0)
  if(a%100==0)
     if(a%400==0) 
 printf(""%d是闰年"",a);
     else
 printf(""%d不是闰年"");
  else if(a%4==0)
  printf(""%d是闰年"");
      else 
  printf(""%d不是闰年"");
  else
 printf(""非法输入"");
 
 return 0;
 }

",0.0,"#include<stdio.h>
int main()
{
 int varb_0;
 scanf(""%d"",&varb_0);
 if(varb_0>0)
  if(varb_0%100==0)
     if(varb_0%400==0) 
 printf(""%d是闰年"",varb_0);
     else
 printf(""%d不是闰年"");
  else if(varb_0%4==0)
  printf(""%d是闰年"");
      else 
  printf(""%d不是闰年"");
  else
 printf(""非法输入"");
 return 0;
 }
",6,2c911d616dcd1421016dd2cc121f1635_18.csv
19,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
	int a;
	scanf(""%d"",&a);
	if(a%4==0&&a%100!=0)
	printf(""%d是闰年"",a);
	else 
	printf(""非法输入"");
}
",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	if(varb_0%4==0&&varb_0%100!=0)
	printf(""%d是闰年"",varb_0);
	else 
	printf(""非法输入"");
}
",4,2c911d616dcd1421016dd2cc121f1635_19.csv
20,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
int a;
scanf(""%d"",&a);
if((a%4==0&&a%100!=0)||(a%400==0))
printf(""%d是闰年"",a);
else printf(""%d不是闰年"",a);
if(a<0)
printf(""非法输入"");
}

",0.0,"#include<stdio.h>
int main()
{
int varb_0;
scanf(""%d"",&varb_0);
if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
printf(""%d是闰年"",varb_0);
else printf(""%d不是闰年"",varb_0);
if(varb_0<0)
printf(""非法输入"");
}
",4,2c911d616dcd1421016dd2cc121f1635_20.csv
21,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
#include<math.h>
int main()
{
   int a;
   scanf(""%d"",&a);
   if(a%4==0)
      printf(""%d是闰年"",a);
   else if(a%4!=0)
      printf(""%d不是闰年"",a);
   else if(a<0)
      printf(""非法输入"");
    else
      ;
   return 0;         
}
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0%4==0)
      printf(""%d是闰年"",varb_0);
   else if(varb_0%4!=0)
      printf(""%d不是闰年"",varb_0);
   else if(varb_0<0)
      printf(""非法输入"");
    else
      ;
   return 0;         
}
",5,2c911d616dcd1421016dd2cc121f1635_21.csv
22,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
   int n;
   scanf(""%d"",&n);
    if((n%4==0&&n%100!=0)||n%400==0)
   printf(""%d是闰年"",n);
    else
    printf(""非法输入"");
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
    if((varb_0%4==0&&varb_0%100!=0)||varb_0%400==0)
   printf(""%d是闰年"",varb_0);
    else
    printf(""非法输入"");
	return 0;
}",4,2c911d616dcd1421016dd2cc121f1635_22.csv
23,2c911d616dcd1421016dd2cc121f1635,"#include <stdio.h>
int main()
{
   int n;
   scanf(""%d"",&n);
   if (((n%100!=0) && (n%4==0)) || ( n % 400==0) )
    printf(""%d是闰年"",n);
    else if (n%4!=0)
    printf(""%d不是闰年"",n) ;
    else if (n<0)
    printf(""非法输入"");
 
 return 0;
 }
",0.0,"#include <stdio.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(((varb_0%100!=0) &&(varb_0%4==0)) ||( varb_0 % 400==0) )
    printf(""%d是闰年"",varb_0);
    else if(varb_0%4!=0)
    printf(""%d不是闰年"",varb_0) ;
    else if(varb_0<0)
    printf(""非法输入"");
 return 0;
 }
",4,2c911d616dcd1421016dd2cc121f1635_23.csv
24,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
   int a,b,c;
   scanf(""%d"",&a);
   if(a<0)
    printf(""非法输入"");
   else if(a%4==0||a%400!=0)
    printf(""%d是闰年"",a);
   else
    printf(""%d不是闰年"",a);
   




}",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2;
   scanf(""%d"",&varb_0);
   if(varb_0<0)
    printf(""非法输入"");
   else if(varb_0%4==0||varb_0%400!=0)
    printf(""%d是闰年"",varb_0);
   else
    printf(""%d不是闰年"",varb_0);
}",4,2c911d616dcd1421016dd2cc121f1635_24.csv
25,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
  int year;
  scanf(""%d"",&year);
  if((year/4==0&&year/100!=0)||(year/400==0))
    printf(""%d是闰年"",year);
  else
    printf(""%d不是闰年"",year);
  return 0;
}
    ",0.0,"#include<stdio.h>
int main()
{
  int varb_0;
  scanf(""%d"",&varb_0);
  if((varb_0/4==0&&varb_0/100!=0)||(varb_0/400==0))
    printf(""%d是闰年"",varb_0);
  else
    printf(""%d不是闰年"",varb_0);
  return 0;
}
",4,2c911d616dcd1421016dd2cc121f1635_25.csv
26,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>

int main()
{
    int n;

    scanf(""%d"",&n);

    if(n%4==0)
        printf(""%d是闰年"",n);
    else if(n%4!=0)
        printf(""%d不是闰年"",n);
    else
        printf(""非法输入"");

    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0;
    scanf(""%d"",&varb_0);
    if(varb_0%4==0)
        printf(""%d是闰年"",varb_0);
    else if(varb_0%4!=0)
        printf(""%d不是闰年"",varb_0);
    else
        printf(""非法输入"");
    return 0;
}",4,2c911d616dcd1421016dd2cc121f1635_26.csv
27,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
#include<math.h>
int main()
{
   int a;
   scanf(""%d"",&a);
   if(a%4==0)
      printf(""%d是闰年"",a);
   else if(a%400!=0)
      printf(""%d不是闰年"",a);
   else
      printf(""非法输入"");
   return 0;         
}
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0%4==0)
      printf(""%d是闰年"",varb_0);
   else if(varb_0%400!=0)
      printf(""%d不是闰年"",varb_0);
   else
      printf(""非法输入"");
   return 0;         
}
",5,2c911d616dcd1421016dd2cc121f1635_27.csv
28,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
  int year;
  scanf(""%d"",&year);
  if((year/4==0||year/100==0)||(year/400==0))
    printf(""%d是闰年"",year);
  else
    printf(""%d不是闰年"",year);
  return 0;
}
    ",0.0,"#include<stdio.h>
int main()
{
  int varb_0;
  scanf(""%d"",&varb_0);
  if((varb_0/4==0||varb_0/100==0)||(varb_0/400==0))
    printf(""%d是闰年"",varb_0);
  else
    printf(""%d不是闰年"",varb_0);
  return 0;
}
",6,2c911d616dcd1421016dd2cc121f1635_28.csv
29,2c911d616dcd1421016dd2cc121f1635,"#include <stdio.h>
int main()
{
   int n;
   scanf(""%d"",&n);
   if (n>=0&&((n%100!=0) && (n%4==0)) || ( n % 400==0) )
    printf(""%d是闰年"",n);
    else if (n%4!=0)
    printf(""%d不是闰年"",n) ;
    else if(n<=0)
    printf(""非法输入"");
 
 return 0;
 }
",0.0,"#include <stdio.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0>=0&&((varb_0%100!=0) &&(varb_0%4==0)) ||( varb_0 % 400==0) )
    printf(""%d是闰年"",varb_0);
    else if(varb_0%4!=0)
    printf(""%d不是闰年"",varb_0) ;
    else if(varb_0<=0)
    printf(""非法输入"");
 return 0;
 }
",6,2c911d616dcd1421016dd2cc121f1635_29.csv
30,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
void main()
{
int a;
scanf(""%d"",&a);
if((a%4==0&&a%100!=0)||a%400==0)
printf(""%d是闰年"",a);
else
printf(""%d不是闰年"",a);


}",0.0,"#include<stdio.h>
void main()
{
int varb_0;
scanf(""%d"",&varb_0);
if((varb_0%4==0&&varb_0%100!=0)||varb_0%400==0)
printf(""%d是闰年"",varb_0);
else
printf(""%d不是闰年"",varb_0);
}",6,2c911d616dcd1421016dd2cc121f1635_30.csv
