,id,code,is_true,format_code,errorline,code_spec
0,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
int n,x,y,m,z,max=0;
scanf(""%d"",&n);
for(m=1;m<=n;m++)
{
scanf(""%d %d"",&x,&y);
if(y<0||y>100)
{
printf(""非法输入!"");
break;
}
if(y>max)
{
max=y;
z=x;
}
}
printf(""%d"",z);
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5=0;
scanf(""%d"",&varb_0);
for(varb_3=1;varb_3<=varb_0;varb_3++)
{
scanf(""%d %d"",&varb_1,&varb_2);
if(varb_2<0||varb_2>100)
{
printf(""非法输入!"");
break;
}
if(varb_2>varb_5)
{
varb_5=varb_2;
varb_4=varb_1;
}
}
printf(""%d"",varb_4);
}",3,2c9f30a56e1ebafc016e344e15650cf5_0.csv
1,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
   int i,j,n,xh,max,b;
max=0;
   scanf(""%d"",&n);
   for(i=0;i<=n;i++)
   {  
     scanf(""%d %d"",&xh,&j);
     if(j>100||j<0)
     {printf(""非法输入!"");
     return -1;
   }
    if(j>max)
   {max=j;b=xh;}
    }
printf(""%d"",b);
}
",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
varb_4=0;
   scanf(""%d"",&varb_2);
   for(varb_0=0;varb_0<=varb_2;varb_0++)
   {  
     scanf(""%d %d"",&varb_3,&varb_1);
     if(varb_1>100||varb_1<0)
     {printf(""非法输入!"");
     return -1;
   }
    if(varb_1>varb_4)
   {varb_4=varb_1;varb_5=varb_3;}
    }
printf(""%d"",varb_5);
}
",11,2c9f30a56e1ebafc016e344e15650cf5_1.csv
2,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
	int N,a=0,X,F,x,max=0;//N代表n个学生,X是学号，F是分数// 
	scanf(""%d"",&N);
	 while (a<N)
	 {
		a++;
		scanf(""%d %d"",&X,&F);
		if(F<0&&F>100)
		{
			printf(""非法输入!"");
			break;
		} 
		 else
		{
		
		  if(max<F)  
		  {
		   max=F;
		   x=X;
		  }
		}
	 } 
	 printf(""%d"",X);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1=0,varb_2,varb_3,varb_4,varb_5=0;
	scanf(""%d"",&varb_0);
	 while(varb_1<varb_0)
	 {
		varb_1++;
		scanf(""%d %d"",&varb_2,&varb_3);
		if(varb_3<0&&varb_3>100)
		{
			printf(""非法输入!"");
			break;
		} 
		 else
		{
		  if(varb_5<varb_3)  
		  {
		   varb_5=varb_3;
		   varb_4=varb_2;
		  }
		}
	 } 
	 printf(""%d"",varb_2);
	return 0;
}",4,2c9f30a56e1ebafc016e344e15650cf5_2.csv
3,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
	int N,a=0,X,F,x,max=0;//N代表n个学生,X是学号，F是分数// 
	scanf(""%d"",&N);
	 while (a<N)
	 {
		a++;
		scanf(""%d%d"",&X,&F);
		if(F<0)
		{
			printf(""非法输入!"");
			break;
		} 
		else if(F>100)
		{
			printf(""非法输入!"");
			break;
		} 
		else
		{
		
		  if(max<F)  
		  {
		   max=F;
		   x=X;
		  }
		}
	 } 
	 printf(""%d"",X);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1=0,varb_2,varb_3,varb_4,varb_5=0;
	scanf(""%d"",&varb_0);
	 while(varb_1<varb_0)
	 {
		varb_1++;
		scanf(""%d%d"",&varb_2,&varb_3);
		if(varb_3<0)
		{
			printf(""非法输入!"");
			break;
		} 
		else if(varb_3>100)
		{
			printf(""非法输入!"");
			break;
		} 
		else
		{
		  if(varb_5<varb_3)  
		  {
		   varb_5=varb_3;
		   varb_4=varb_2;
		  }
		}
	 } 
	 printf(""%d"",varb_2);
	return 0;
}",4,2c9f30a56e1ebafc016e344e15650cf5_3.csv
4,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
 {
   
   int n,a,b,c=0,d=0,i;
   scanf(""%d"",&n);
   for(i=1;i<=n;i++)
   {
     scanf(""%d %d"",&a,&b);
     if(b>c)
     {
       c=b;
       d=a;
     }
   }
   printf(""%d"",d);
 }
   ",0.0,"#include<stdio.h>
int main()
 {
   int varb_0,varb_1,varb_2,varb_3=0,varb_4=0,varb_5;
   scanf(""%d"",&varb_0);
   for(varb_5=1;varb_5<=varb_0;varb_5++)
   {
     scanf(""%d %d"",&varb_1,&varb_2);
     if(varb_2>varb_3)
     {
       varb_3=varb_2;
       varb_4=varb_1;
     }
   }
   printf(""%d"",varb_4);
 }
",15,2c9f30a56e1ebafc016e344e15650cf5_4.csv
5,2c9f30a56e1ebafc016e344e15650cf5,"#include <stdio.h>

int main()

{

    int a,b,f1,f2,n,zjl,kg=0,i;

    scanf(""%d"",&n);

    scanf(""%d %d"",&a,&f1);

    for( i=1;i<n;i++)

    {

        if(f1<0||f1>100){printf(""非法输入!"");break;kg=1;}

        scanf(""%d %d"",&b,&f2);

        

        if(f2>100||f2<0){printf(""非法输入!"");break;kg=1;}

        if(f1<f2)

        {

            zjl=a;

            a=b;

            b=zjl;

        }

    }

    if(kg==0)

    printf(""%d"",a);

    

}",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6=0,varb_7;
    scanf(""%d"",&varb_4);
    scanf(""%d %d"",&varb_0,&varb_2);
    for( varb_7=1;varb_7<varb_4;varb_7++)
    {
        if(varb_2<0||varb_2>100){printf(""非法输入!"");break;varb_6=1;}
        scanf(""%d %d"",&varb_1,&varb_3);
        if(varb_3>100||varb_3<0){printf(""非法输入!"");break;varb_6=1;}
        if(varb_2<varb_3)
        {
            varb_5=varb_0;
            varb_0=varb_1;
            varb_1=varb_5;
        }
    }
    if(varb_6==0)
    printf(""%d"",varb_0);
}",9,2c9f30a56e1ebafc016e344e15650cf5_5.csv
6,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
int n,x,y,m,z,max=0;
scanf(""%d"",&n);
for(m=1;m<=n;m++)
{
scanf(""%d %d"",&x,&y);
if(y<0||y>100)
{
printf(""非法输入"");
return -1;
}
if(y>max)
{
max=y;
z=x;
}
}
printf(""%d"",z);
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5=0;
scanf(""%d"",&varb_0);
for(varb_3=1;varb_3<=varb_0;varb_3++)
{
scanf(""%d %d"",&varb_1,&varb_2);
if(varb_2<0||varb_2>100)
{
printf(""非法输入"");
return -1;
}
if(varb_2>varb_5)
{
varb_5=varb_2;
varb_4=varb_1;
}
}
printf(""%d"",varb_4);
}",11,2c9f30a56e1ebafc016e344e15650cf5_6.csv
7,2c9f30a56e1ebafc016e344e15650cf5,"#include <stdio.h>
int main()
{
int n,a,b,i,d,c=0;
scanf(""%d"",&n);
for(i=1;i<=n;i++)
{
scanf(""%d%d"",&a,&b);
if(b<0||b>100)
{printf(""非法输入!"");
}
else if(b>c&&b<=100)
{
c=b;
d=a;
}
}
printf(""%d"",d);
}",0.0,"#include <stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5=0;
scanf(""%d"",&varb_0);
for(varb_3=1;varb_3<=varb_0;varb_3++)
{
scanf(""%d%d"",&varb_1,&varb_2);
if(varb_2<0||varb_2>100)
{printf(""非法输入!"");
}
else if(varb_2>varb_5&&varb_2<=100)
{
varb_5=varb_2;
varb_4=varb_1;
}
}
printf(""%d"",varb_4);
}",11,2c9f30a56e1ebafc016e344e15650cf5_7.csv
8,2c9f30a56e1ebafc016e344e15650cf5,"#include <stdio.h>
int main()
{
    int num,id,s,a,b,i;
    i=1;
    scanf(""%d"",&num);
    while(num>=1)
    {
        scanf(""%d %d"",&id,&s);
        if(s<0||s>100)
        {
        printf(""非法输入!"");
        return 0;
        }
        else
        {
    if(i==1)
    {
        a=id;
        b=s;
    }
    else
    {
        if(s>b)
        {
            a=id;
            b=s;
        }
        else if(s=b)
        {
        }
        }
    i++;
    num--;
    }
    }
    printf(""%d"",a);
}",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
    varb_5=1;
    scanf(""%d"",&varb_0);
    while(varb_0>=1)
    {
        scanf(""%d %d"",&varb_1,&varb_2);
        if(varb_2<0||varb_2>100)
        {
        printf(""非法输入!"");
        return 0;
        }
        else
        {
    if(varb_5==1)
    {
        varb_3=varb_1;
        varb_4=varb_2;
    }
    else
    {
        if(varb_2>varb_4)
        {
            varb_3=varb_1;
            varb_4=varb_2;
        }
        else if(varb_2=varb_4)
        {
        }
        }
    varb_5++;
    varb_0--;
    }
    }
    printf(""%d"",varb_3);
}",38,2c9f30a56e1ebafc016e344e15650cf5_8.csv
9,2c9f30a56e1ebafc016e344e15650cf5,"#include <stdio.h>
int main()
{
    int a,b,f1,f2,n,zjl,kg=0,i;
    scanf(""%d"",&n);
    scanf(""%d %d"",&a,&f1);
    for( i=1;i<n;i++)
    {
        if(f1<0||f1>100){printf(""非法输入!"");kg=1;break;}
        scanf(""%d %d"",&b,&f2);
        if(f2>100||f2<0){printf(""非法输入!"");kg=1;break;}
        if(f1>f2)
        {          
         printf(""%f"",a);       
        }
       else
       {
       printf (""%f"",b);
       }
     }
}",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6=0,varb_7;
    scanf(""%d"",&varb_4);
    scanf(""%d %d"",&varb_0,&varb_2);
    for( varb_7=1;varb_7<varb_4;varb_7++)
    {
        if(varb_2<0||varb_2>100){printf(""非法输入!"");varb_6=1;break;}
        scanf(""%d %d"",&varb_1,&varb_3);
        if(varb_3>100||varb_3<0){printf(""非法输入!"");varb_6=1;break;}
        if(varb_2>varb_3)
        {          
         printf(""%f"",varb_0);       
        }
       else
       {
       printf(""%f"",varb_1);
       }
     }
}",12,2c9f30a56e1ebafc016e344e15650cf5_9.csv
