,lines,"2
18201101 78
18201102 89","3
18206118 90
18206117 89
18206112 90","2
18206107 89
18206117 101"
0,1,0,0,0
1,2,0,0,0
2,3,1,1,1
3,4,0,0,0
4,5,0,0,0
5,6,0,0,0
6,7,0,0,0
7,8,0,0,0
8,9,0,0,0
9,10,0,0,0
10,11,0,0,0
11,12,0,0,0
12,13,1,1,1
13,14,0,0,0
14,15,1,1,1
15,16,0,0,0
16,17,1,1,1
17,18,0,0,0
18,19,0,0,0
19,20,0,0,0
20,21,1,1,1
21,22,0,0,0
22,23,1,1,1
23,24,0,0,0
24,25,1,1,1
25,26,0,0,0
26,27,1,1,1
27,28,0,0,0
28,29,1,1,1
29,30,0,0,0
30,31,0,0,0
31,32,0,0,0
32,33,0,0,0
33,34,0,0,0
34,35,1,1,1
35,36,0,0,0
36,37,1,1,1
37,38,0,0,0
38,39,0,0,0
39,40,0,0,0
40,41,0,0,0
41,42,0,0,0
42,43,1,1,1
43,44,0,0,0
44,45,1,1,1
45,46,0,0,0
46,47,0,0,0
47,0,1,1,0
