,id,code,is_true,format_code,errorline,code_spec
0,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
	int x,y;
	int i=0;
	scanf(""%d%d"",&x,&y);
	  x++;
	for(;x<y;x++){
	   if(x%100&&x%4 == 0){
	   	     	printf(""%d"",x);
	   		     i++ ;
			      }
	    	if(x%400== 0){
	   	  printf(""%d "",x);
	      i++; 
	     }
    }
       if(i==0){
        printf(""该区间无闰年"");
         }
	 return 0;  
 }",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1;
	int varb_2=0;
	scanf(""%d%d"",&varb_0,&varb_1);
	  varb_0++;
	for(;varb_0<varb_1;varb_0++){
	   if(varb_0%100&&varb_0%4 == 0){
	   	     	printf(""%d"",varb_0);
	   		     varb_2++ ;
			      }
	    	if(varb_0%400== 0){
	   	  printf(""%d "",varb_0);
	      varb_2++; 
	     }
    }
       if(varb_2==0){
        printf(""该区间无闰年"");
         }
	 return 0;  
 }",12,2c9f30a56e1ebafc016e345bfa670d14_0.csv
1,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
    int x,y,n,i;
    scanf(""%d %d"",&x,&y);
    for(n=x+1,i=1;n<y;n++)
    {
        if(n%4==0&&n%100!=0||n%400==0)
        {printf(""%d "",n);++i;}
        if(i%5==0)
        printf(""\n"");
    }
    if(i==1)
    printf(""该区间无闰年"");
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    scanf(""%d %d"",&varb_0,&varb_1);
    for(varb_2=varb_0+1,varb_3=1;varb_2<varb_1;varb_2++)
    {
        if(varb_2%4==0&&varb_2%100!=0||varb_2%400==0)
        {printf(""%d "",varb_2);++varb_3;}
        if(varb_3%5==0)
        printf(""\n"");
    }
    if(varb_3==1)
    printf(""该区间无闰年"");
    return 0;
}",4,2c9f30a56e1ebafc016e345bfa670d14_1.csv
2,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
    int x,y,i,s;
    scanf(""%d %d"",&x,&y);
    x<y;
   for(i=x+1,s=0;i>x&&i<y;i++)
   {
       if(i%4==0&&i%100!=0)
   {
           printf(""%d "",i);
           s++;
           if(s>=5)
           printf(""\n"");
   }
       else
       ;
   }
   if(s==0)
   printf(""该区间无闰年"");
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    scanf(""%d %d"",&varb_0,&varb_1);
    varb_0<varb_1;
   for(varb_2=varb_0+1,varb_3=0;varb_2>varb_0&&varb_2<varb_1;varb_2++)
   {
       if(varb_2%4==0&&varb_2%100!=0)
   {
           printf(""%d "",varb_2);
           varb_3++;
           if(varb_3>=5)
           printf(""\n"");
   }
       else
       ;
   }
   if(varb_3==0)
   printf(""该区间无闰年"");
}",9,2c9f30a56e1ebafc016e345bfa670d14_2.csv
3,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
main()
{
	int year1,year2,i,z=0;
	scanf(""%d %d"",&year1,&year2);
	for(i=year1;i<year2;i++)
	{
		if((i%4==0&&i%100!=0)||(i%400==0))
		{
		printf(""%d "",i); z++;
		if(z%5==0)
	    printf(""\n"");
	   
	    }
	     
	    
	    
		
	}
	if(z==0)
	    printf(""该区间无闰年""); 
	
}",0.0,"#include<stdio.h>
main()
{
	int varb_0,varb_1,varb_2,varb_3=0;
	scanf(""%d %d"",&varb_0,&varb_1);
	for(varb_2=varb_0;varb_2<varb_1;varb_2++)
	{
		if((varb_2%4==0&&varb_2%100!=0)||(varb_2%400==0))
		{
		printf(""%d "",varb_2); varb_3++;
		if(varb_3%5==0)
	    printf(""\n"");
	    }
	}
	if(varb_3==0)
	    printf(""该区间无闰年""); 
}",6,2c9f30a56e1ebafc016e345bfa670d14_3.csv
4,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
  int x,y,n,i;
  i=0;
  scanf(""%d %d"",&x,&y);
  for(n=x+1;n<y;n++)
   {if((n%4==0||n%100==0)&&(n%400==0))
   {printf(""%4d "",n);
   i++;
   if(i%5==0)
   printf(""\n"");}}
   if(i==0)
   printf(""该区间无闰年"");
  return 0;
}
  ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3;
  varb_3=0;
  scanf(""%d %d"",&varb_0,&varb_1);
  for(varb_2=varb_0+1;varb_2<varb_1;varb_2++)
   {if((varb_2%4==0||varb_2%100==0)&&(varb_2%400==0))
   {printf(""%4d "",varb_2);
   varb_3++;
   if(varb_3%5==0)
   printf(""\n"");}}
   if(varb_3==0)
   printf(""该区间无闰年"");
  return 0;
}
",8,2c9f30a56e1ebafc016e345bfa670d14_4.csv
5,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
    int x,y,i,s;
    scanf(""%d %d"",&x,&y);
    x<y;
   for(i=x+1,s=0;i>x&&i<y;i++)
   {
       if(i%4==0&&i%100!=0)
   {
           printf(""%d "",i);
           s++;
           if(s%5==0)
           printf(""\n"");
   }
   }
   if(s==0)
   printf(""该区间无闰年"");
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    scanf(""%d %d"",&varb_0,&varb_1);
    varb_0<varb_1;
   for(varb_2=varb_0+1,varb_3=0;varb_2>varb_0&&varb_2<varb_1;varb_2++)
   {
       if(varb_2%4==0&&varb_2%100!=0)
   {
           printf(""%d "",varb_2);
           varb_3++;
           if(varb_3%5==0)
           printf(""\n"");
   }
   }
   if(varb_3==0)
   printf(""该区间无闰年"");
}",9,2c9f30a56e1ebafc016e345bfa670d14_5.csv
6,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
  int x,y,n,i;
  i=0;
  scanf(""%d %d"",&x,&y);
  for(n=x+1;n<y;n++)
   {if((n%4==0||n%100==0)||(n%400==0))
   {printf(""%d "",n);
   i++;
   if(i%5==0)
   printf(""\n"");}}
   if(i==0)
   printf(""该区间无闰年"");
  return 0;
}
  ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3;
  varb_3=0;
  scanf(""%d %d"",&varb_0,&varb_1);
  for(varb_2=varb_0+1;varb_2<varb_1;varb_2++)
   {if((varb_2%4==0||varb_2%100==0)||(varb_2%400==0))
   {printf(""%d "",varb_2);
   varb_3++;
   if(varb_3%5==0)
   printf(""\n"");}}
   if(varb_3==0)
   printf(""该区间无闰年"");
  return 0;
}
",8,2c9f30a56e1ebafc016e345bfa670d14_6.csv
7,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
    int x,y,n,i;
    scanf(""%d %d"",&x,&y);
    for(n=x+1,i=1;n<y;n++)
    {
        if(n%4==0&&n%100!=0||n%400==0)
        {printf(""%d "",n);++i;}
        if(i%5==0)
        printf(""\n"");
    }
    if(i=1)
    printf(""该区间无闰年"");
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    scanf(""%d %d"",&varb_0,&varb_1);
    for(varb_2=varb_0+1,varb_3=1;varb_2<varb_1;varb_2++)
    {
        if(varb_2%4==0&&varb_2%100!=0||varb_2%400==0)
        {printf(""%d "",varb_2);++varb_3;}
        if(varb_3%5==0)
        printf(""\n"");
    }
    if(varb_3=1)
    printf(""该区间无闰年"");
    return 0;
}",4,2c9f30a56e1ebafc016e345bfa670d14_7.csv
8,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
  int x,y,i,j,flag=1;
  j=0;
  scanf(""%d %d"",&x,&y);
  for(i=x+1;i<y;i++)
  {
  if(i%4==0&&i%100!=0)
   {printf(""%d "",i);
   j++;
    if(j%5==0)
    printf(""\n"");flag=0;
  
}}
    if(flag==1)
    printf(""该区间无闰年"");
     
   
 return 0;
 }",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3,varb_4=1;
  varb_3=0;
  scanf(""%d %d"",&varb_0,&varb_1);
  for(varb_2=varb_0+1;varb_2<varb_1;varb_2++)
  {
  if(varb_2%4==0&&varb_2%100!=0)
   {printf(""%d "",varb_2);
   varb_3++;
    if(varb_3%5==0)
    printf(""\n"");varb_4=0;
}}
    if(varb_4==1)
    printf(""该区间无闰年"");
 return 0;
 }",9,2c9f30a56e1ebafc016e345bfa670d14_8.csv
9,2c9f30a56e1ebafc016e345bfa670d14,"#include<stdio.h>
int main()
{
    int x,y,n,i=1;
    scanf(""%d %d"",&x,&y);
    for(n=x+1;n<y;n++)
    {
        if(n%4==0&&n%100!=0||n%400==0)
        {printf(""%d "",n);i++;}
        if(i%5==0)
        printf(""\n"");
    }
    if(i==1)
    printf(""该区间无闰年"");
    return -1;
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3=1;
    scanf(""%d %d"",&varb_0,&varb_1);
    for(varb_2=varb_0+1;varb_2<varb_1;varb_2++)
    {
        if(varb_2%4==0&&varb_2%100!=0||varb_2%400==0)
        {printf(""%d "",varb_2);varb_3++;}
        if(varb_3%5==0)
        printf(""\n"");
    }
    if(varb_3==1)
    printf(""该区间无闰年"");
    return -1;
    return 0;
}",8,2c9f30a56e1ebafc016e345bfa670d14_9.csv
