,lines,2018 11 11,2016 11 11,2017 3 5
0,1,0,0,0
1,2,0,0,0
2,3,0,0,0
3,4,1,1,1
4,5,0,0,0
5,6,0,0,0
6,7,1,1,1
7,8,1,1,1
8,9,0,0,0
9,10,1,1,1
10,11,0,0,0
11,12,1,1,1
12,13,1,1,1
13,14,1,1,1
14,15,0,0,0
15,16,1,1,1
16,17,0,0,0
17,18,1,1,1
18,19,1,1,1
19,20,1,1,1
20,21,0,0,0
21,22,0,0,0
22,23,1,1,1
23,24,0,0,0
24,25,0,0,0
25,26,0,0,0
26,27,0,0,0
27,28,1,1,1
28,29,0,0,0
29,30,1,1,1
30,31,1,1,1
31,32,1,1,1
32,33,0,0,0
33,34,1,1,1
34,35,0,0,0
35,36,1,1,1
36,37,1,1,1
37,38,1,1,1
38,39,0,0,0
39,40,0,0,0
40,41,1,1,1
41,42,0,0,0
42,43,0,0,0
43,44,1,1,1
44,45,1,1,1
45,46,0,0,0
46,0,1,1,0
