,lines,"4
32 23 892 2","5
2 2 2 2 2","7
12 2 1 324 5422 33 0","10
32 89 2873 1 34 23 32 8383 21 1"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,0,0,0,0
7,8,0,0,0,0
8,9,1,1,1,1
9,10,1,1,1,1
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,0,0,0,0
15,16,0,0,0,0
16,17,0,0,0,0
17,18,1,1,1,1
18,19,0,0,0,0
19,20,0,0,0,0
20,21,1,1,1,1
21,22,1,1,1,1
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,0,0,0,0
26,27,0,0,0,0
27,28,1,1,1,1
28,29,1,1,1,1
29,30,1,1,1,1
30,31,1,1,1,1
31,32,1,1,1,1
32,33,1,1,1,1
33,34,0,0,0,0
34,35,0,0,0,0
35,36,0,0,0,0
36,37,1,1,1,1
37,38,0,0,0,0
38,39,1,1,1,1
39,40,0,0,0,0
40,41,1,1,1,1
41,42,1,1,1,1
42,43,1,1,1,1
43,0,1,1,1,1
