,lines,"4
12 89 32 91
32","7
12 43 4533 232 31 322 1
1","6
12 21 392 3 1923 32
1212","10
12 87 32  2 1321 43 9 0 239 2783
999"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,0,0,0,0
14,15,0,0,0,0
15,16,1,1,1,1
16,17,1,1,1,1
17,18,1,1,1,1
18,19,0,0,0,0
19,20,1,1,1,1
20,21,1,1,1,1
21,22,1,1,1,1
22,23,0,0,0,0
23,24,1,1,1,1
24,25,0,0,0,0
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,0,0,0,0
29,30,1,1,1,1
30,31,1,1,1,1
31,32,1,1,1,1
32,33,0,0,0,0
33,34,0,0,0,0
34,35,0,0,0,0
35,36,1,1,1,1
36,37,1,1,1,1
37,38,0,0,0,0
38,39,1,1,1,1
39,40,0,0,0,0
40,41,1,1,1,1
41,42,0,0,0,0
42,43,1,1,1,1
43,44,1,1,1,1
44,45,0,0,0,0
45,46,0,0,0,0
46,47,0,0,0,0
47,48,0,0,0,0
48,49,0,0,0,0
49,50,0,0,0,0
50,51,1,1,1,1
51,52,0,0,0,0
52,53,1,1,1,1
53,54,0,0,0,0
54,55,1,1,1,1
55,56,1,1,1,1
56,57,0,0,0,0
57,58,0,0,0,0
58,59,0,0,0,0
59,60,1,1,1,1
60,61,1,1,1,1
61,62,1,1,1,1
62,0,0,0,1,1
