,lines,"6 -2 3 7 9 101 400
1
96
0","6 -2 3 7 9 101 400
2
400
0","6 -2 3 7 9 101 400
3
7
10
0","6 -2 3 7 9 101 400
4
-2
0"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,0,0,0,0
6,7,1,1,1,1
7,8,0,0,0,0
8,9,1,1,1,1
9,10,1,1,1,1
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,1,1,1,1
17,18,0,0,0,0
18,19,1,1,1,1
19,20,1,1,1,1
20,21,1,1,1,1
21,22,1,1,1,1
22,23,1,1,1,1
23,24,1,1,1,1
24,25,1,1,1,1
25,26,1,1,1,1
26,27,1,1,1,1
27,28,0,0,0,0
28,29,0,0,0,0
29,30,1,1,1,1
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,0,0,0,0
34,35,0,0,0,0
35,36,1,1,1,1
36,37,1,1,1,1
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,1,1,1,1
41,42,1,1,1,1
42,43,0,0,0,0
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,0,0,0,0
47,48,0,0,0,0
48,49,1,1,1,1
49,50,1,1,1,1
50,51,1,1,1,1
51,52,1,1,1,1
52,53,1,1,1,1
53,54,0,0,0,0
54,55,1,1,1,1
55,56,0,0,0,0
56,57,0,0,0,0
57,58,1,1,1,1
58,59,1,1,1,1
59,60,0,0,0,0
60,61,1,1,1,1
61,62,0,0,0,0
62,63,1,1,1,1
63,64,1,1,1,1
64,65,1,1,1,1
65,66,0,0,0,0
66,67,0,0,0,0
67,68,1,1,1,1
68,69,1,1,1,1
69,70,1,1,1,1
70,71,1,1,1,1
71,72,0,0,0,0
72,73,1,1,1,1
73,74,0,0,0,0
74,75,0,0,0,0
75,76,1,1,1,1
76,77,1,1,1,1
77,78,0,0,0,0
78,79,1,1,1,1
79,80,0,0,0,0
80,81,1,1,1,1
81,82,1,1,1,1
82,83,0,0,0,0
83,84,0,0,0,0
84,85,1,1,1,1
85,86,1,1,1,1
86,87,1,1,1,1
87,88,1,1,1,1
88,89,0,0,0,0
89,90,1,1,1,1
90,91,0,0,0,0
91,92,1,1,1,1
92,93,0,0,0,0
93,94,1,1,1,1
94,95,1,1,1,1
95,96,0,0,0,0
96,97,1,1,1,1
97,98,0,0,0,0
98,99,1,1,1,1
99,100,1,1,1,1
100,101,0,0,0,0
101,102,0,0,0,0
102,103,0,0,0,0
103,104,0,0,0,0
104,105,1,1,1,1
105,0,0,0,0,1
