,id,code,is_true,format_code,errorline,code_spec
0,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include<stdio.h>
int main()
{
  int a,b;
  float cost;
  char c;
  scanf(""%d %d %c"",&a,&b,&c);
  if(b==90)
  {
    if(c=='m')
     {
	   cost=6.95*a*0.95;
       printf(""%.2f"",cost);}
  else
     {
	   cost=6.95*a*0.97;
       printf(""%.2f"",cost);}
       } 
    else  if(b==93)
    {
	   if(c=='m')
    {
       cost=7.44*a*0.95;
       printf(""%.2f"",cost);
	}
	
    else
   {
     cost=7.44*a*0.97;
     printf(""%.2f"",cost);
   }
   } 
      else if(b==97)
    {
	  if(c=='m')
    {
	cost=7.93*a*0.95;
    printf(""%.2f"",cost);
	}
	else
   {
   cost=7.93*a*0.97;
   printf(""%.2f"",cost);
   }
   }
  return 0;
  }
 ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1;
  float varb_2;
  char varb_3;
  scanf(""%d %d %c"",&varb_0,&varb_1,&varb_3);
  if(varb_1==90)
  {
    if(varb_3=='m')
     {
	   varb_2=6.95*varb_0*0.95;
       printf(""%.2f"",varb_2);}
  else
     {
	   varb_2=6.95*varb_0*0.97;
       printf(""%.2f"",varb_2);}
       } 
    else  if(varb_1==93)
    {
	   if(varb_3=='m')
    {
       varb_2=7.44*varb_0*0.95;
       printf(""%.2f"",varb_2);
	}
    else
   {
     varb_2=7.44*varb_0*0.97;
     printf(""%.2f"",varb_2);
   }
   } 
      else if(varb_1==97)
    {
	  if(varb_3=='m')
    {
	varb_2=7.93*varb_0*0.95;
    printf(""%.2f"",varb_2);
	}
	else
   {
   varb_2=7.93*varb_0*0.97;
   printf(""%.2f"",varb_2);
   }
   }
  return 0;
  }
",16,2c9f30a576c1c3dd017bdd16eb0d6a45_0.csv
1,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include <stdio.h>
int main()
{
	int a,b;
	double cost;
	double ValueOf90 = 6.95;
	double ValueOf93 = 7.44;
	double ValueOf97 = 7.93;
	char c;
	scanf (""%d %d %c"",&a,&b,&c);
	if (c == 'm')
	{
		if (b == 90)
		{
			cost = ValueOf90 * a * 0.95;
			printf (""%.2lf"",cost);
		} 
		else if (b == 93)
		{
			cost = ValueOf93 * a * 0.95;
			printf (""%.2lf"",cost);
		}
		else if (b == 97)
		{
			cost = ValueOf97 * a * 0.95;
			printf (""%.2lf"",cost);
		}
   }   
	else if (c == 'e')
	{
		if (b == 90)
		{
			cost = ValueOf90 * a * 0.97;
			printf (""%.2lf"",cost);
		} 
		else if (b == 93)
		{
			cost = ValueOf93 * a * 0.97;
			printf (""%.2lf"",cost);
		}
		else if (b == 97)
		{
			cost = ValueOf97 * a * 0.97;
			printf (""%.2lf"",cost);
		}
	}
	
}",0.0,"#include <stdio.h>
int main()
{
	int varb_0,varb_1;
	double varb_2;
	double varb_3 = 6.95;
	double varb_4 = 7.44;
	double varb_5 = 7.93;
	char varb_6;
	scanf(""%d %d %c"",&varb_0,&varb_1,&varb_6);
	if(varb_6 == 'm')
	{
		if(varb_1 == 90)
		{
			varb_2 = varb_3 * varb_0 * 0.95;
			printf(""%.2lf"",varb_2);
		} 
		else if(varb_1 == 93)
		{
			varb_2 = varb_4 * varb_0 * 0.95;
			printf(""%.2lf"",varb_2);
		}
		else if(varb_1 == 97)
		{
			varb_2 = varb_5 * varb_0 * 0.95;
			printf(""%.2lf"",varb_2);
		}
   }   
	else if(varb_6 == 'e')
	{
		if(varb_1 == 90)
		{
			varb_2 = varb_3 * varb_0 * 0.97;
			printf(""%.2lf"",varb_2);
		} 
		else if(varb_1 == 93)
		{
			varb_2 = varb_4 * varb_0 * 0.97;
			printf(""%.2lf"",varb_2);
		}
		else if(varb_1 == 97)
		{
			varb_2 = varb_5 * varb_0 * 0.97;
			printf(""%.2lf"",varb_2);
		}
	}
}",25,2c9f30a576c1c3dd017bdd16eb0d6a45_1.csv
2,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include <stdio.h>
#include <stdlib.h>

int main()
{
    double a,b,x;
    char c;
    scanf(""%lf %lf %c"",&a,&b,&c);
    if (c=='m')
        c=1;
    else if (c=='e')
        c=2;
    switch (c)
	{
    case (1):
	{
    if (b==90)
    {
    x=a*6.95*0.95;
    printf(""%.2f"",x);
    }
    else if(b==93)
    {
    x=a*7.44*0.95;
    printf(""%.2f"",x);
    }else if(b==97)
    {
     x=a*7.93*0.95;
     printf(""%.2f"",x);
    }
	}
    break;
     case (2):
	 {
    if (b==90)
    {
    x=a*6.95*0.97;
    printf(""%.2f"",x);
    }
    else if(b==93)
    {
    x=a*7.44*0.97;
    printf(""%.2f"",x);
    }else if(b==97)
    {
     x=a*7.93*0.97;
     printf(""%.2f"",x);break;
    }
	}
    }
    return 0;
}",0.0,"#include <stdio.h>
#include <stdlib.h>
int main()
{
    double varb_0,varb_1,varb_2;
    char varb_3;
    scanf(""%lf %lf %c"",&varb_0,&varb_1,&varb_3);
    if(varb_3=='m')
        varb_3=1;
    else if(varb_3=='e')
        varb_3=2;
    switch(varb_3)
	{
    case(1):
	{
    if(varb_1==90)
    {
    varb_2=varb_0*6.95*0.95;
    printf(""%.2f"",varb_2);
    }
    else if(varb_1==93)
    {
    varb_2=varb_0*7.44*0.95;
    printf(""%.2f"",varb_2);
    }else if(varb_1==97)
    {
     varb_2=varb_0*7.93*0.95;
     printf(""%.2f"",varb_2);
    }
	}
    break;
     case(2):
	 {
    if(varb_1==90)
    {
    varb_2=varb_0*6.95*0.97;
    printf(""%.2f"",varb_2);
    }
    else if(varb_1==93)
    {
    varb_2=varb_0*7.44*0.97;
    printf(""%.2f"",varb_2);
    }else if(varb_1==97)
    {
     varb_2=varb_0*7.93*0.97;
     printf(""%.2f"",varb_2);break;
    }
	}
    }
    return 0;
}",25,2c9f30a576c1c3dd017bdd16eb0d6a45_2.csv
3,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include<stdio.h>

#include<math.h>

int main()

{

    float a,b;

    char c;

    scanf(""%f %f %c"",&a,&b,&c);

    

    

    if(b==97 && c=='m')

    

    printf(""%.2f"",a*7.93-a*7.93*0.05);

    

    

    if(b==97 && c=='e')

    printf(""%.2f"",a*7.93-a*7.93*0.03);

    

    

    if(b==93 && c=='m')

    printf(""%.2f"",a*7.93-a*7.93*0.05);

    

    

    if(b==93 && c=='e')

    printf(""%.2f"",a*7.44-a*7.44*0.03);

    

    

    if(b==90 && c=='m')

    printf(""%.2f"",a*6.95-a*6.95*0.05);

    

    

    if(b==90 && c=='e')

    printf(""%.2f"",a*6.95-a*6.95*0.03);

    

    

}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
    float varb_0,varb_1;
    char varb_2;
    scanf(""%f %f %c"",&varb_0,&varb_1,&varb_2);
    if(varb_1==97 && varb_2=='m')
    printf(""%.2f"",varb_0*7.93-varb_0*7.93*0.05);
    if(varb_1==97 && varb_2=='e')
    printf(""%.2f"",varb_0*7.93-varb_0*7.93*0.03);
    if(varb_1==93 && varb_2=='m')
    printf(""%.2f"",varb_0*7.93-varb_0*7.93*0.05);
    if(varb_1==93 && varb_2=='e')
    printf(""%.2f"",varb_0*7.44-varb_0*7.44*0.03);
    if(varb_1==90 && varb_2=='m')
    printf(""%.2f"",varb_0*6.95-varb_0*6.95*0.05);
    if(varb_1==90 && varb_2=='e')
    printf(""%.2f"",varb_0*6.95-varb_0*6.95*0.03);
}",9,2c9f30a576c1c3dd017bdd16eb0d6a45_3.csv
4,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include<stdio.h>
int main()
{
  int a,b;
  float cost;
  char c;
  scanf(""%d %d %c"",&a,&b,&c);
  if(b==90)
  {
    if(c=='m')
     {
	   cost=6.95*a*0.95;
       printf(""%.2f"",cost);}
  else
     {
	   cost=6.95*a*0.97+0.005;
       printf(""%.2f"",cost);}
       } 
    else  if(b==93)
    {
	   if(c=='m')
    {
       cost=7.44*a*0.95;
       printf(""%.2f"",cost);
	}
	
    else
   {
     cost=7.44*a*0.97;
     printf(""%.2f"",cost);
   }
   } 
      else if(b==97)
    {
	  if(c=='m')
    {
	cost=7.93*a*0.95+0.005;
    printf(""%.2f"",cost);
	}
	else
   {
   cost=7.93*a*0.97;
   printf(""%.2f"",cost);
   }
   }
  return 0;
  }
 ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1;
  float varb_2;
  char varb_3;
  scanf(""%d %d %c"",&varb_0,&varb_1,&varb_3);
  if(varb_1==90)
  {
    if(varb_3=='m')
     {
	   varb_2=6.95*varb_0*0.95;
       printf(""%.2f"",varb_2);}
  else
     {
	   varb_2=6.95*varb_0*0.97+0.005;
       printf(""%.2f"",varb_2);}
       } 
    else  if(varb_1==93)
    {
	   if(varb_3=='m')
    {
       varb_2=7.44*varb_0*0.95;
       printf(""%.2f"",varb_2);
	}
    else
   {
     varb_2=7.44*varb_0*0.97;
     printf(""%.2f"",varb_2);
   }
   } 
      else if(varb_1==97)
    {
	  if(varb_3=='m')
    {
	varb_2=7.93*varb_0*0.95+0.005;
    printf(""%.2f"",varb_2);
	}
	else
   {
   varb_2=7.93*varb_0*0.97;
   printf(""%.2f"",varb_2);
   }
   }
  return 0;
  }
",16,2c9f30a576c1c3dd017bdd16eb0d6a45_4.csv
5,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include <stdio.h>
int main()
{
	int a,b;
	float cost;
	float ValueOf90 = 6.95;
	float ValueOf93 = 7.44;
	float ValueOf97 = 7.93;
	char c;
	scanf (""%d %d %c"",&a,&b,&c);
	if (c == 'm')
	{
		if (b == 90)
		{
			cost = ValueOf90 * a * 0.95;
			printf (""%.2f"",cost);
		} 
		else if (b == 93)
		{
			cost = ValueOf93 * a * 0.95;
			printf (""%.2f"",cost);
		}
		else if (b == 97)
		{
			cost = ValueOf97 * a * 0.95;
			printf (""%.2f"",cost);
		}
	}
	else if (c == 'e')
	{
		if (b == 90)
		{
			cost = ValueOf90 * a * 0.97;
			printf (""%.2f"",cost);
		} 
		else if (b == 93)
		{
			cost = ValueOf93 * a * 0.97;
			printf (""%.2f"",cost);
		}
		else if (b == 97)
		{
			cost = ValueOf97 * a * 0.97;
			printf (""%.2f"",cost);
		}
	}
	
}",0.0,"#include <stdio.h>
int main()
{
	int varb_0,varb_1;
	float varb_2;
	float varb_3 = 6.95;
	float varb_4 = 7.44;
	float varb_5 = 7.93;
	char varb_6;
	scanf(""%d %d %c"",&varb_0,&varb_1,&varb_6);
	if(varb_6 == 'm')
	{
		if(varb_1 == 90)
		{
			varb_2 = varb_3 * varb_0 * 0.95;
			printf(""%.2f"",varb_2);
		} 
		else if(varb_1 == 93)
		{
			varb_2 = varb_4 * varb_0 * 0.95;
			printf(""%.2f"",varb_2);
		}
		else if(varb_1 == 97)
		{
			varb_2 = varb_5 * varb_0 * 0.95;
			printf(""%.2f"",varb_2);
		}
	}
	else if(varb_6 == 'e')
	{
		if(varb_1 == 90)
		{
			varb_2 = varb_3 * varb_0 * 0.97;
			printf(""%.2f"",varb_2);
		} 
		else if(varb_1 == 93)
		{
			varb_2 = varb_4 * varb_0 * 0.97;
			printf(""%.2f"",varb_2);
		}
		else if(varb_1 == 97)
		{
			varb_2 = varb_5 * varb_0 * 0.97;
			printf(""%.2f"",varb_2);
		}
	}
}",5,2c9f30a576c1c3dd017bdd16eb0d6a45_5.csv
6,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include<stdio.h>

#include<math.h>

int main()

{

    float a,b;

    char c;

    scanf(""%f %f %c"",&a,&b,&c);

    

    

    if(b==97 && c=='m')

    

    printf(""%.2f"",a*7.93-a*7.93*0.05);

    

    

    if(b==97 && c=='e')

    printf(""%.2f"",a*7.93*0.95);

    

    

    if(b==93 && c=='m')

    printf(""%.2f"",a*7.93-a*7.93*0.05);

    

    

    if(b==93 && c=='e')

    printf(""%.2f"",a*7.44-a*7.44*0.05);

    

    

    if(b==90 && c=='m')

    printf(""%.2f"",a*6.95-a*6.95*0.05);

    

    

    if(b==90 && c=='e')

    printf(""%.2f"",a*6.95-a*6.95*0.05);

    

    

}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
    float varb_0,varb_1;
    char varb_2;
    scanf(""%f %f %c"",&varb_0,&varb_1,&varb_2);
    if(varb_1==97 && varb_2=='m')
    printf(""%.2f"",varb_0*7.93-varb_0*7.93*0.05);
    if(varb_1==97 && varb_2=='e')
    printf(""%.2f"",varb_0*7.93*0.95);
    if(varb_1==93 && varb_2=='m')
    printf(""%.2f"",varb_0*7.93-varb_0*7.93*0.05);
    if(varb_1==93 && varb_2=='e')
    printf(""%.2f"",varb_0*7.44-varb_0*7.44*0.05);
    if(varb_1==90 && varb_2=='m')
    printf(""%.2f"",varb_0*6.95-varb_0*6.95*0.05);
    if(varb_1==90 && varb_2=='e')
    printf(""%.2f"",varb_0*6.95-varb_0*6.95*0.05);
}",11,2c9f30a576c1c3dd017bdd16eb0d6a45_6.csv
7,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include<stdio.h>
int main()
{
	int a,b;
	char c;
	double price;
	scanf(""%d %d %c"",&a,&b,&c);
	if(b==90)

		{
		if(c=='m')
			{
			price=a*6.95*(1-0.05);
			printf(""%.2f"",price);
			}
		else
			{
			price=a*6.95*(1-0.03);
			printf(""%.2f"",price);
			}
		}
	else if(b==93)
		{
			if(c=='m')
			{
			price=a*7.44*(1-0.05);
			printf(""%.2f"",price);
			}
			else
			{
			price=a*7.44*(1-0.03);
			printf(""%.2f"",price);
			}
		}
	else if(b==97)
		{
			if(c=='m')
			{
			price=a*7.93*(1-0.05);
			printf(""%.2f"",price);
			}
			else
			{
			price=a*7.93*(1-0.03);
			printf(""%.2f"",price);
			}
		}
return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1;
	char varb_2;
	double varb_3;
	scanf(""%d %d %c"",&varb_0,&varb_1,&varb_2);
	if(varb_1==90)
		{
		if(varb_2=='m')
			{
			varb_3=varb_0*6.95*(1-0.05);
			printf(""%.2f"",varb_3);
			}
		else
			{
			varb_3=varb_0*6.95*(1-0.03);
			printf(""%.2f"",varb_3);
			}
		}
	else if(varb_1==93)
		{
			if(varb_2=='m')
			{
			varb_3=varb_0*7.44*(1-0.05);
			printf(""%.2f"",varb_3);
			}
			else
			{
			varb_3=varb_0*7.44*(1-0.03);
			printf(""%.2f"",varb_3);
			}
		}
	else if(varb_1==97)
		{
			if(varb_2=='m')
			{
			varb_3=varb_0*7.93*(1-0.05);
			printf(""%.2f"",varb_3);
			}
			else
			{
			varb_3=varb_0*7.93*(1-0.03);
			printf(""%.2f"",varb_3);
			}
		}
return 0;
}",38,2c9f30a576c1c3dd017bdd16eb0d6a45_7.csv
8,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include<stdio.h>
int main()
{
	int a,b;
	char c;
	double price;
	scanf(""%d %d %c"",&a,&b,&c);
	if(b==90)

		{
		if(c=='m')
			{
			price=a*6.95*(1-0.05);
			printf(""%.2f"",price);
			}
		else
			{
			price=a*6.95*(1-0.03);
			printf(""%.2f"",price);
			}
		}
	else if(b==93)
		{
			if(c=='m')
			{
			price=a*6.95*(1-0.05);
			printf(""%.2f"",price);
			}
			else
			{
			price=a*6.95*(1-0.03);
			printf(""%.2f"",price);
			}
		}
	else if(b==97)
		{
			if(c=='m')
			{
			price=a*6.95*(1-0.05);
			printf(""%.2f"",price);
			}
			else
			{
			price=a*6.95*(1-0.03);
			printf(""%.2f"",price);
			}
		}
return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1;
	char varb_2;
	double varb_3;
	scanf(""%d %d %c"",&varb_0,&varb_1,&varb_2);
	if(varb_1==90)
		{
		if(varb_2=='m')
			{
			varb_3=varb_0*6.95*(1-0.05);
			printf(""%.2f"",varb_3);
			}
		else
			{
			varb_3=varb_0*6.95*(1-0.03);
			printf(""%.2f"",varb_3);
			}
		}
	else if(varb_1==93)
		{
			if(varb_2=='m')
			{
			varb_3=varb_0*6.95*(1-0.05);
			printf(""%.2f"",varb_3);
			}
			else
			{
			varb_3=varb_0*6.95*(1-0.03);
			printf(""%.2f"",varb_3);
			}
		}
	else if(varb_1==97)
		{
			if(varb_2=='m')
			{
			varb_3=varb_0*6.95*(1-0.05);
			printf(""%.2f"",varb_3);
			}
			else
			{
			varb_3=varb_0*6.95*(1-0.03);
			printf(""%.2f"",varb_3);
			}
		}
return 0;
}",12,2c9f30a576c1c3dd017bdd16eb0d6a45_8.csv
9,2c9f30a576c1c3dd017bdd16eb0d6a45,"#include <stdio.h>
#include <math.h>

int main()
{
    double a,b,x;
    char c;
    scanf(""%lf %lf %c"",&a,&b,&c);
    if (c=='m')
        c=1;
    else if (c=='e')
        c=2;
    switch (c)
	{
    case (1):
	{
    if (b==90)
    {
    x=a*6.95*0.95;
    printf(""%.2f"",x);
    }
    else if(b==93)
    {
    x=a*7.44*0.95;
    printf(""%.2f"",x);
    }else if(b==97)
    {
     x=a*7.93*0.95;
     printf(""%.2f"",x);
    }
	}
    break;
     case (2):
	 {
    if (b==90)
    {
    x=a*6.95*0.97;
    printf(""%.2f"",x);
    }
    else if(b==93)
    {
    x=a*7.44*0.97;
    printf(""%.2f"",x);
    }else if(b==97)
    {
     x=a*7.93*0.97;
     printf(""%.2f"",x);break;
    }
	}
    }
    return 0;
}",0.0,"#include <stdio.h>
#include <math.h>
int main()
{
    double varb_0,varb_1,varb_2;
    char varb_3;
    scanf(""%lf %lf %c"",&varb_0,&varb_1,&varb_3);
    if(varb_3=='m')
        varb_3=1;
    else if(varb_3=='e')
        varb_3=2;
    switch(varb_3)
	{
    case(1):
	{
    if(varb_1==90)
    {
    varb_2=varb_0*6.95*0.95;
    printf(""%.2f"",varb_2);
    }
    else if(varb_1==93)
    {
    varb_2=varb_0*7.44*0.95;
    printf(""%.2f"",varb_2);
    }else if(varb_1==97)
    {
     varb_2=varb_0*7.93*0.95;
     printf(""%.2f"",varb_2);
    }
	}
    break;
     case(2):
	 {
    if(varb_1==90)
    {
    varb_2=varb_0*6.95*0.97;
    printf(""%.2f"",varb_2);
    }
    else if(varb_1==93)
    {
    varb_2=varb_0*7.44*0.97;
    printf(""%.2f"",varb_2);
    }else if(varb_1==97)
    {
     varb_2=varb_0*7.93*0.97;
     printf(""%.2f"",varb_2);break;
    }
	}
    }
    return 0;
}",25,2c9f30a576c1c3dd017bdd16eb0d6a45_9.csv
