,lines,50 97 m,50 93 m,50 90 m,50 90 e,50 93 e,50 97 e
0,1,0,0,0,0,0,0
1,2,1,1,1,1,1,1
2,3,0,0,0,0,0,0
3,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
5,6,1,1,1,1,1,1
6,7,1,1,1,1,1,1
7,8,1,1,1,1,1,1
8,9,0,0,0,0,0,0
9,10,1,1,1,1,1,1
10,11,1,1,1,1,1,1
11,12,0,0,0,0,0,0
12,13,1,1,1,1,1,1
13,14,0,0,0,0,0,0
14,15,1,1,1,1,1,1
15,16,1,1,1,1,1,1
16,17,0,0,0,0,0,0
17,18,1,1,1,1,1,1
18,19,0,0,0,0,0,0
19,20,1,1,1,1,1,1
20,21,1,1,1,1,1,1
21,22,0,0,0,0,0,0
22,23,1,1,1,1,1,1
23,24,0,0,0,0,0,0
24,25,1,1,1,1,1,1
25,26,1,1,1,1,1,1
26,27,0,0,0,0,0,0
27,28,0,0,0,0,0,0
28,29,1,1,1,1,1,1
29,30,0,0,0,0,0,0
30,31,1,1,1,1,1,1
31,32,0,0,0,0,0,0
32,33,1,1,1,1,1,1
33,34,1,1,1,1,1,1
34,35,0,0,0,0,0,0
35,36,1,1,1,1,1,1
36,37,0,0,0,0,0,0
37,38,1,1,1,1,1,1
38,39,1,1,1,1,1,1
39,40,0,0,0,0,0,0
40,41,1,1,1,1,1,1
41,42,0,0,0,0,0,0
42,43,1,1,1,1,1,1
43,44,1,1,1,1,1,1
44,45,0,0,0,0,0,0
45,46,0,0,0,0,0,0
46,47,0,0,0,0,0,0
47,48,1,1,1,1,1,1
48,0,0,1,1,0,1,1
