,id,code,is_true,format_code,errorline,code_spec
0,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>

#include<math.h>

int main()

{

float coast,x;

scanf(""%f"",&x);

if (x<0)

{

printf(""Invalid Value!"");

}

else

if (x<=50)

{

coast=0.53*x;

printf(""coast= %.2f"",coast);

}

else 

{

coast=0.53*50+0.58*(x-50);

printf(""coast= %.2f"",coast);
}

}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float varb_0,varb_1;
scanf(""%f"",&varb_1);
if(varb_1<0)
{
printf(""Invalid Value!"");
}
else
if(varb_1<=50)
{
varb_0=0.53*varb_1;
printf(""coast= %.2f"",varb_0);
}
else 
{
varb_0=0.53*50+0.58*(varb_1-50);
printf(""coast= %.2f"",varb_0);
}
}",15,2c9f30a576c1c3dd017bdd2f82b36a5d_0.csv
1,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
#include<math.h>
int main()
{
	int x;
	double y;
	scanf(""%d"",&x);
	if (x<0)
	 printf(""Invalid Value!"") ; 
	else if(x<=50)
	{
		y=x*0.53;
		printf(""cost=%.2f"",y);
	}
	else if(x>50)
	{
		y=x*0.53+(x-50)*0.58;
		printf(""cost=%.2f"",y);
	}
	return 0;
}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
	int varb_0;
	double varb_1;
	scanf(""%d"",&varb_0);
	if(varb_0<0)
	 printf(""Invalid Value!"") ; 
	else if(varb_0<=50)
	{
		varb_1=varb_0*0.53;
		printf(""cost=%.2f"",varb_1);
	}
	else if(varb_0>50)
	{
		varb_1=varb_0*0.53+(varb_0-50)*0.58;
		printf(""cost=%.2f"",varb_1);
	}
	return 0;
}",17,2c9f30a576c1c3dd017bdd2f82b36a5d_1.csv
2,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>

int main()

{ 

int x;

double cost;

scanf(""%d"",&x);

if(0<=x&&x<=50){

cost=0.53*x;

    printf(""cost=%.2lf"",cost);}

    else if(x>50){

    cost=50*0.53+0.58*(x-59);

    printf(""cost=%.2lf"",cost);}

    else 

    printf(""Invalid Value!"");

    return 0;

}",0.0,"#include<stdio.h>
int main()
{ 
int varb_0;
double varb_1;
scanf(""%d"",&varb_0);
if(0<=varb_0&&varb_0<=50){
varb_1=0.53*varb_0;
    printf(""cost=%.2lf"",varb_1);}
    else if(varb_0>50){
    varb_1=50*0.53+0.58*(varb_0-59);
    printf(""cost=%.2lf"",varb_1);}
    else 
    printf(""Invalid Value!"");
    return 0;
}",11,2c9f30a576c1c3dd017bdd2f82b36a5d_2.csv
3,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main()
{
float a,c;
scanf(""%f"",&a);
if(a>50)
{
c=26.5+0.58*a;
}
else if(a<0)
{
    printf(""Invalid Value!"");
    return 0;
}
else
{
c=0.53*a;
}
printf(""cost = %.2f"",c);
return 0;
}

",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1;
scanf(""%f"",&varb_0);
if(varb_0>50)
{
varb_1=26.5+0.58*varb_0;
}
else if(varb_0<0)
{
    printf(""Invalid Value!"");
    return 0;
}
else
{
varb_1=0.53*varb_0;
}
printf(""cost = %.2f"",varb_1);
return 0;
}
",8,2c9f30a576c1c3dd017bdd2f82b36a5d_3.csv
4,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main()
{
float x,cost;
scanf(""%f"",&x);
  if(x>=0&&x<=50)
  { 
    cost=0.53*x;
    printf(""xost=%.2f"",cost);
    }
  else if(x>50)
   { 
     cost=0.53*50+0.58*(x-50);
     printf(""cost=%.2f"",cost);
     }
  else
     printf(""Invalid Value!"");
  return 0;
  }
     ",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1;
scanf(""%f"",&varb_0);
  if(varb_0>=0&&varb_0<=50)
  { 
    varb_1=0.53*varb_0;
    printf(""xost=%.2f"",varb_1);
    }
  else if(varb_0>50)
   { 
     varb_1=0.53*50+0.58*(varb_0-50);
     printf(""cost=%.2f"",varb_1);
     }
  else
     printf(""Invalid Value!"");
  return 0;
  }
",9,2c9f30a576c1c3dd017bdd2f82b36a5d_4.csv
5,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
#include<math.h>
int main()
{
	float a,cost;
	scanf(""%f"",&a);
	if(a<0)
	printf(""Invalid Value!"");
	else if(a<=50)
	{
	cost=0.53*a;
	printf(""%.2f"",cost);
    } 
	else
	{
		cost=0.53*50+0.58*(a-50);
		printf(""%.2f"",cost);
	}
}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
	float varb_0,varb_1;
	scanf(""%f"",&varb_0);
	if(varb_0<0)
	printf(""Invalid Value!"");
	else if(varb_0<=50)
	{
	varb_1=0.53*varb_0;
	printf(""%.2f"",varb_1);
    } 
	else
	{
		varb_1=0.53*50+0.58*(varb_0-50);
		printf(""%.2f"",varb_1);
	}
}",9,2c9f30a576c1c3dd017bdd2f82b36a5d_5.csv
6,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main(void)
{
float a,cost,k;
k=0.53;
scanf(""%f"",&a);
if(a>=50)
 printf(""cost=%.2f"",cost=(a-50)*(k+0.05)+k*a);
else if(a>=0)
 printf(""cost=%.2f"",cost=a*k);
else
 printf(""Invalid Value!"");

return 0;
}",0.0,"#include<stdio.h>
int main(void)
{
float varb_0,varb_1,varb_2;
varb_2=0.53;
scanf(""%f"",&varb_0);
if(varb_0>=50)
 printf(""cost=%.2f"",varb_1=(varb_0-50)*(varb_2+0.05)+varb_2*varb_0);
else if(varb_0>=0)
 printf(""cost=%.2f"",varb_1=varb_0*varb_2);
else
 printf(""Invalid Value!"");
return 0;
}",8,2c9f30a576c1c3dd017bdd2f82b36a5d_6.csv
7,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main(void)
{
float a,cost,k;
k=0.53;
scanf(""%f"",&a);
if(a>=50)
 printf(""cost=%.2f"",cost=a*(k+0.05));
else if(a>=0)
printf(""cost=%.2f"",cost=a*k);
else
printf(""Invalid Value!"");

return 0;
}",0.0,"#include<stdio.h>
int main(void)
{
float varb_0,varb_1,varb_2;
varb_2=0.53;
scanf(""%f"",&varb_0);
if(varb_0>=50)
 printf(""cost=%.2f"",varb_1=varb_0*(varb_2+0.05));
else if(varb_0>=0)
printf(""cost=%.2f"",varb_1=varb_0*varb_2);
else
printf(""Invalid Value!"");
return 0;
}",8,2c9f30a576c1c3dd017bdd2f82b36a5d_7.csv
8,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main()
{
int t;
float cost;
scanf(""%d"",&t);
if(t<=50 && t>0)
{
	cost=0.53*t;
 printf(""cost=%.2f"",cost);
}
else if(t>50){
	cost=0.53*50+0.05*(t-50);
 printf(""cost=%.2f"",cost);
}
 else
 printf(""Invalid Value!"");
 return 0;
 }
 ",0.0,"#include<stdio.h>
int main()
{
int varb_0;
float varb_1;
scanf(""%d"",&varb_0);
if(varb_0<=50 && varb_0>0)
{
	varb_1=0.53*varb_0;
 printf(""cost=%.2f"",varb_1);
}
else if(varb_0>50){
	varb_1=0.53*50+0.05*(varb_0-50);
 printf(""cost=%.2f"",varb_1);
}
 else
 printf(""Invalid Value!"");
 return 0;
 }
",13,2c9f30a576c1c3dd017bdd2f82b36a5d_8.csv
9,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>

int main()
{
  double a,cost;
    a=-10;
    scanf(""%f"",&a);
  if(a>=0&&a<=50)
    {printf(""cost=%.2f"",cost=0.53*a);
}
  else if(a>50)
    {printf(""cost=%.2f"",cost=50*0.53+0.58*(a-50));
}
   else if(a<0)
     {printf(""Invalid Value!"");
}
     return 0;
}
  ",0.0,"#include<stdio.h>
int main()
{
  double varb_0,varb_1;
    varb_0=-10;
    scanf(""%f"",&varb_0);
  if(varb_0>=0&&varb_0<=50)
    {printf(""cost=%.2f"",varb_1=0.53*varb_0);
}
  else if(varb_0>50)
    {printf(""cost=%.2f"",varb_1=50*0.53+0.58*(varb_0-50));
}
   else if(varb_0<0)
     {printf(""Invalid Value!"");
}
     return 0;
}
",6,2c9f30a576c1c3dd017bdd2f82b36a5d_9.csv
