,lines,5 5 3,1 4 1,2 2 4,4 2 2,2 4 2,5 3 4
0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,3,1,1,1,1,1,1
3,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
6,7,1,1,1,1,1,1
7,8,1,1,1,1,1,1
8,9,0,0,0,0,0,0
9,10,1,1,1,1,1,1
10,11,1,1,1,1,1,1
11,12,1,1,1,1,1,1
12,13,1,1,1,1,1,1
13,14,0,0,0,0,0,0
14,15,0,0,0,0,0,0
15,16,1,1,1,1,1,1
16,17,1,1,1,1,1,1
17,18,0,0,0,0,0,0
18,19,0,0,0,0,0,0
19,20,0,0,0,0,0,0
20,21,0,0,0,0,0,0
21,22,0,0,0,0,0,0
22,23,0,0,0,0,0,0
23,24,0,0,0,0,0,0
24,25,0,0,0,0,0,0
25,26,0,0,0,0,0,0
26,0,0,1,1,1,1,0
