,id,code,is_true,format_code,errorline
0,2c911d616dbd643c016dc90dc47610fd,"#include<stdio.h> 
  int main()
  { 
    printf(""1820xxxx zhansan\n1820xxxx 张三"") ;
  

    return 0;
}",0.0,"#include<stdio.h> 
  int main()
  { 
    printf(""1820xxxx zhansan\n1820xxxx 张三"") ;
    return 0;
}",4
1,2c911d616dbd643c016dc90dc47610fd,"#include<stdio.h>


int main()

{

    printf(""1820xxxx zhangsan/n"");
    printf(""1820xxxx 张三/n"");
    return 0;

}",0.0,"#include<stdio.h>
int main()
{
    printf(""1820xxxx zhangsan/n"");
    printf(""1820xxxx 张三/n"");
    return 0;
}",4
2,2c911d616dbd643c016dc90dc47610fd,"#include <stdio.h>

int main()
{
printf(""1800xxx zhangsan"");
printf(""\n1820xxxx  张三"");
return 0;

}",0.0,"#include <stdio.h>
int main()
{
printf(""1800xxx zhangsan"");
printf(""\n1820xxxx  张三"");
return 0;
}",4
3,2c911d616dbd643c016dc90dc47610fd,"#include <stdio.h>
int  main()
{
  printf (""1820xxxx zhangsan"");
  printf (""1820xxxx 张三"");
  
return 0;
}",0.0,"#include <stdio.h>
int  main()
{
  printf(""1820xxxx zhangsan"");
  printf(""1820xxxx 张三"");
return 0;
}",5
4,2c911d616dbd643c016dc90dc47610fd,"#include<stdio.h>
int main()
{
    printf(""20201323 tanyizheng\n20201323 谭宜正"");
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    printf(""20201323 tanyizheng\n20201323 谭宜正"");
    return 0;
}",4
5,2c911d616dbd643c016dc90dc47610fd,"#include<stdio.h>
int main()
{
printf(""1820xxxx zhangsan/n"");
printf(""1820xxxx 张三"");

return 0;
}",0.0,"#include<stdio.h>
int main()
{
printf(""1820xxxx zhangsan/n"");
printf(""1820xxxx 张三"");
return 0;
}",4
6,2c911d616dbd643c016dc90dc47610fd,"#include <stdio.h> 
int main()
{
	printf(""1820xxxx zhangsan/n 1820xxxx 张三"");
	return 0;
}",0.0,"#include <stdio.h> 
int main()
{
	printf(""1820xxxx zhangsan/n 1820xxxx 张三"");
	return 0;
}",4
7,2c911d616dbd643c016dc90dc47610fd,"#include<stdio.h>
int main()
{
  printf(""1820xxxx zhangsan"");
  printf(""1820xxxx 张三"");
  return 0;
}",0.0,"#include<stdio.h>
int main()
{
  printf(""1820xxxx zhangsan"");
  printf(""1820xxxx 张三"");
  return 0;
}",5
8,2c911d616dbd643c016dc90dc47610fd,"#include<stdio.h>
int main()
{
printf(""1820xxxx zhangsan"");
printf(""1820xxxx 张三"");
return 0;
}",0.0,"#include<stdio.h>
int main()
{
printf(""1820xxxx zhangsan"");
printf(""1820xxxx 张三"");
return 0;
}",5
9,2c911d616dbd643c016dc90dc47610fd,"#include <stdio.h> 
int main()
{
	printf(""1820XXXX zhangsan\n"");
	printf(""1820XXXX 张三"");
	return 0;
}",0.0,"#include <stdio.h> 
int main()
{
	printf(""1820XXXX zhangsan\n"");
	printf(""1820XXXX 张三"");
	return 0;
}",4
10,2c911d616dbd643c016dc90dc47610fd,"#include <stdio.h>

int main()
{
printf(""\n1820xxxx zhangsan"");
printf(""1820xxxx 张三"");
return 0;
}",0.0,"#include <stdio.h>
int main()
{
printf(""\n1820xxxx zhangsan"");
printf(""1820xxxx 张三"");
return 0;
}",4
11,2c911d616dbd643c016dc90dc47610fd,"#include <stdio.h> 
int main()
{
	printf(""1820xxxx zhangsan 1820xxxx 张三"");
	return 0;
}",0.0,"#include <stdio.h> 
int main()
{
	printf(""1820xxxx zhangsan 1820xxxx 张三"");
	return 0;
}",4
