,id,code,is_true,format_code,errorline
0,2c911d616dbd643c016dc976b4c815bd,"#include<stdio.h>
int main( )
{

int a,b,c,x;
scanf(""%d"",&x);
a=x/100;
b=x/10-a*10;
c=x-a*100-b*10;
printf(""%d %d %d %d"",a,b,c);

return 0;
}",0.0,"#include<stdio.h>
int main( )
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_3);
varb_0=varb_3/100;
varb_1=varb_3/10-varb_0*10;
varb_2=varb_3-varb_0*100-varb_1*10;
printf(""%d %d %d %d"",varb_0,varb_1,varb_2);
return 0;
}",9
1,2c911d616dbd643c016dc976b4c815bd,"#include <stdio.h>
int main()
{int a,b,c,d;
scanf(""%d"",&a);
b=a-560;
c=a-561;
d=a-562;
printf(""%d %d %d"",b,c,d);}



",0.0,"#include <stdio.h>
int main()
{int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_0);
varb_1=varb_0-560;
varb_2=varb_0-561;
varb_3=varb_0-562;
printf(""%d %d %d"",varb_1,varb_2,varb_3);}
",3
2,2c911d616dbd643c016dc976b4c815bd,"#include <stdio.h>
int main()
{
	int a,b,c,d;
	scanf(""%d"",&a);
	d=a%100;
	c=a%100/10;
	b=a%100%10;
	printf(""%d %d %d"",d,c,b);
	return 0;
}",0.0,"#include <stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	scanf(""%d"",&varb_0);
	varb_3=varb_0%100;
	varb_2=varb_0%100/10;
	varb_1=varb_0%100%10;
	printf(""%d %d %d"",varb_3,varb_2,varb_1);
	return 0;
}",4
3,2c911d616dbd643c016dc976b4c815bd,"#include<stdio.h>
int main( )
{

int a,b,c,x;
scanf(""%d"",&x);
a=x/100;
b=x/10-a*10;
c=x-a*100-b*10;
printf(""%d %d %d %d"",c,b,a);

return 0;
}",0.0,"#include<stdio.h>
int main( )
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_3);
varb_0=varb_3/100;
varb_1=varb_3/10-varb_0*10;
varb_2=varb_3-varb_0*100-varb_1*10;
printf(""%d %d %d %d"",varb_2,varb_1,varb_0);
return 0;
}",9
4,2c911d616dbd643c016dc976b4c815bd,"#include<stdio.h>
int main()
{
int a,b,c,d;
scanf(""%d"",&a);
b=a/100;
c=(a-b*100)/10;
d=a-b*100-c*10;
printf(""%d %d %d "",b,c,d);
return 0;



}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_0);
varb_1=varb_0/100;
varb_2=(varb_0-varb_1*100)/10;
varb_3=varb_0-varb_1*100-varb_2*10;
printf(""%d %d %d "",varb_1,varb_2,varb_3);
return 0;
}",9
5,2c911d616dbd643c016dc976b4c815bd,"#include<stdio.h>
void main()
{ int n,a,b,c;
  scanf(""%d"",&n);
  a=n; c=a%10; a/=10; b=a%10; a/=10; a%=10;
  printf(""%d,%d,%d\n"",n,c,b,a);

}",0.0,"#include<stdio.h>
void main()
{ int varb_0,varb_1,varb_2,varb_3;
  scanf(""%d"",&varb_0);
  varb_1=varb_0; varb_3=varb_1%10; varb_1/=10; varb_2=varb_1%10; varb_1/=10; varb_1%=10;
  printf(""%d,%d,%d\n"",varb_0,varb_3,varb_2,varb_1);
}",6
6,2c911d616dbd643c016dc976b4c815bd,"#include<stdio.h>


int main()

{int a,b,c,d;
scanf(""%d"",&a);
b=a%10;
c=b%100-b;
d=a-b-c;
printf(""%d %d %d"",b,c,d);
return 0;
}",0.0,"#include<stdio.h>
int main()
{int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_0);
varb_1=varb_0%10;
varb_2=varb_1%100-varb_1;
varb_3=varb_0-varb_1-varb_2;
printf(""%d %d %d"",varb_1,varb_2,varb_3);
return 0;
}",3
7,2c911d616dbd643c016dc976b4c815bd,"#include<stdio.h>
int main()
{
   int a,b,c;
   scanf(""%d%d%d"",&a,&b,&c);
   printf(""%d %d %d"",c,b,a);
   return 0;
}",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2;
   scanf(""%d%d%d"",&varb_0,&varb_1,&varb_2);
   printf(""%d %d %d"",varb_2,varb_1,varb_0);
   return 0;
}",4
8,2c911d616dbd643c016dc976b4c815bd,"#include<stdio.h>
int main()
{
	int a;
	scanf(""%d"",&a);
	printf(""%d,%d,%d"",a%10,a/10%10,a/100);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	printf(""%d,%d,%d"",varb_0%10,varb_0/10%10,varb_0/100);
	return 0;
}",4
9,2c911d616dbd643c016dc976b4c815bd,"#include<stdio.h>
int main()
{
   int a,b,c,d;
   scanf(""%d"",&a);
   b=a/100;
   c=(a/10)%10;
   d=a%10;
   printf(""%d %d %d"",b,c,d);
   return 0;
}",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2,varb_3;
   scanf(""%d"",&varb_0);
   varb_1=varb_0/100;
   varb_2=(varb_0/10)%10;
   varb_3=varb_0%10;
   printf(""%d %d %d"",varb_1,varb_2,varb_3);
   return 0;
}",9
