,id,code,is_true,format_code,errorline
0,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>

int main()
{
   int n,i=500,count=0;
   scanf(""%d"",&n);
   while(count<n)
   {
     if(i%3==2 && i%5==2 && i%7==2)
     {
     printf(""%5d"",i);
     count++;
     if(count%10==0)
     printf(""/n"");
     }
   i++;
   }
   return 0;
}
",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1=500,varb_2=0;
   scanf(""%d"",&varb_0);
   while(varb_2<varb_0)
   {
     if(varb_1%3==2 && varb_1%5==2 && varb_1%7==2)
     {
     printf(""%5d"",varb_1);
     varb_2++;
     if(varb_2%10==0)
     printf(""/n"");
     }
   varb_1++;
   }
   return 0;
}
",4
1,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>
main()
{
   int a,b,n;
   int i=1;
   scanf(""%d"",&n);
   for(a=1;i<=n;a++)
   {
     b=a+500;
     if(b%3==2&&b%5==2&&b%7==2)
     {
       printf(""%5d "",b);
       i++;
       if(i%10==0)
         printf(""\n"");
     }        
   }
}",0.0,"#include<stdio.h>
main()
{
   int varb_0,varb_1,varb_2;
   int varb_3=1;
   scanf(""%d"",&varb_2);
   for(varb_0=1;varb_3<=varb_2;varb_0++)
   {
     varb_1=varb_0+500;
     if(varb_1%3==2&&varb_1%5==2&&varb_1%7==2)
     {
       printf(""%5d "",varb_1);
       varb_3++;
       if(varb_3%10==0)
         printf(""\n"");
     }        
   }
}",13
2,2c911d616dea44ae016e0c5a75634893,"#include <stdio.h>
int main()
{
    int n,a,b;
    scanf(""%d"",&n);
    n<=100;
    a=500;
        for(a=500;;a++)
        {
            if(a%3==2&&a%5==2&&a%7==2)
        {
        
        printf(""%5d "",a);
        if(b%10==0)
        printf(""\n"");
        if(b%2==0)
        printf("" "");
        b++;
    }
        if(b==n)
        break;
        }
}",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2;
    scanf(""%d"",&varb_0);
    varb_0<=100;
    varb_1=500;
        for(varb_1=500;;varb_1++)
        {
            if(varb_1%3==2&&varb_1%5==2&&varb_1%7==2)
        {
        printf(""%5d "",varb_1);
        if(varb_2%10==0)
        printf(""\n"");
        if(varb_2%2==0)
        printf("" "");
        varb_2++;
    }
        if(varb_2==varb_0)
        break;
        }
}",15
3,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>

int main()
{
  int a=500,n,m=1;
  scanf(""%d"",&n);
  for(;m<=n;a++)
  {
  if(a%3==2&&a%5==2&&a%7==2)
  {printf(""%5d "",a);
  m++;
  }
  if(m%10==0)
  {printf(""\n"");
  }
  }
  return 0;
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0=500,n,m=1;
  scanf(""%d"",&n);
  for(;m<=n;varb_0++)
  {
  if(varb_0%3==2&&varb_0%5==2&&varb_0%7==2)
  {printf(""%5d "",varb_0);
  m++;
  }
  if(m%10==0)
  {printf(""\n"");
  }
  }
  return 0;
}",2
4,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>
int main()
{
int n,m,a;
m=500;
a=0;
scanf(""%d"",&n);
while(a<=n)
{
if(m%3==2&&m%5==2&&m%7==2)
{
printf(""%5d"",m);
a++;
if(n%10==0)
printf(""\n"");
}
m++;
}
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2;
varb_1=500;
varb_2=0;
scanf(""%d"",&varb_0);
while(varb_2<=varb_0)
{
if(varb_1%3==2&&varb_1%5==2&&varb_1%7==2)
{
printf(""%5d"",varb_1);
varb_2++;
if(varb_0%10==0)
printf(""\n"");
}
varb_1++;
}
return 0;
}",6
5,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>
int main()
{
	int n,a,n1,n2;
	a=500;
	n1=0;
	scanf(""%d"",&n);
	while(n1<=n)
	{
		if(a%3==2&&a%5==2&&a%7==2)
		{
		  printf(""%d "",a);
		  n1++;
		  n2++;
	    }
	    if(n2>=5)
	    {
	    	printf(""\n"");
	    	n2=0;
		}
		a++; 
		if(n1==n)
		  break;
		 	
	}
	
	
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	varb_1=500;
	varb_2=0;
	scanf(""%d"",&varb_0);
	while(varb_2<=varb_0)
	{
		if(varb_1%3==2&&varb_1%5==2&&varb_1%7==2)
		{
		  printf(""%d "",varb_1);
		  varb_2++;
		  varb_3++;
	    }
	    if(varb_3>=5)
	    {
	    	printf(""\n"");
	    	varb_3=0;
		}
		varb_1++; 
		if(varb_2==varb_0)
		  break;
	}
}",16
6,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>
int main()
{
  int n,i,a,b;
  scanf(""%d"",&n);
  i=1;
  for(a=500;i<=n;a++){
  if(a%3==2&&a%5==2&&a%7==2){
    printf(""%5d "",a);
    i++;
   if(i%10==0)
    printf(""\n"");
    }}
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3;
  scanf(""%d"",&varb_0);
  varb_1=1;
  for(varb_2=500;varb_1<=varb_0;varb_2++){
  if(varb_2%3==2&&varb_2%5==2&&varb_2%7==2){
    printf(""%5d "",varb_2);
    varb_1++;
   if(varb_1%10==0)
    printf(""\n"");
    }}
}",6
7,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>

int main()

{   int n,b,i;

    

    i=0;

    scanf(""%d"",&n);

    for(b=500;i<=n;b++)

    {

        

        if(b%3==2&&b%5==2&&b%7==2)

            {

                printf(""%5d "",b);

                i++;

            }
         }

        if(i%10==0)

        printf(""\n"");

    

    return 0;

}",0.0,"#include<stdio.h>
int main()
{   int varb_0,varb_1,varb_2;
    varb_2=0;
    scanf(""%d"",&varb_0);
    for(varb_1=500;varb_2<=varb_0;varb_1++)
    {
        if(varb_1%3==2&&varb_1%5==2&&varb_1%7==2)
            {
                printf(""%5d "",varb_1);
                varb_2++;
            }
         }
        if(varb_2%10==0)
        printf(""\n"");
    return 0;
}",6
8,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>
main()
{
   int a,b,n;
   int i=0;
   scanf(""%d"",&n);
   for(a=1;i<=n;a++)
   {
     b=a+500;
     if(b%3==2&&b%5==2&&b%7==2)
     {
       printf(""%5d "",b);
       i++;
       if(i%10==0)
         printf(""\n"");
     }        
   }
}",0.0,"#include<stdio.h>
main()
{
   int varb_0,varb_1,varb_2;
   int varb_3=0;
   scanf(""%d"",&varb_2);
   for(varb_0=1;varb_3<=varb_2;varb_0++)
   {
     varb_1=varb_0+500;
     if(varb_1%3==2&&varb_1%5==2&&varb_1%7==2)
     {
       printf(""%5d "",varb_1);
       varb_3++;
       if(varb_3%10==0)
         printf(""\n"");
     }        
   }
}",5
9,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>
int main()
{
  int a,b,n,m;
   a=500;
   b=1;
scanf(""%d"",&n);
   for(;b<=n;)
{
  if(a%3==2&&a%5==2&&a%7==2)
   {
     printf(""%5d "",a);
     a++;
     b++;
    }
  else
     a++;
    for(m=1;m>=10;m++)
    printf(""\n"");
  
}   
    
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3;
   varb_0=500;
   varb_1=1;
scanf(""%d"",&varb_2);
   for(;varb_1<=varb_2;)
{
  if(varb_0%3==2&&varb_0%5==2&&varb_0%7==2)
   {
     printf(""%5d "",varb_0);
     varb_0++;
     varb_1++;
    }
  else
     varb_0++;
    for(varb_3=1;varb_3>=10;varb_3++)
    printf(""\n"");
}   
}",18
10,2c911d616dea44ae016e0c5a75634893,"#include<stdio.h>
int main()
{
  int n,a,b;
  scanf(""%d"",&n);
  a=500;
  b=1;
  while(b<=n)
  {
    if(a%3==2&&a%5==2&&a%7==2)
    {
    printf("" %-5d"",a);
    b++;
    if(b%10==0)
    printf(""\n"");
    }
    a++;
  }
   return 0;

}",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2;
  scanf(""%d"",&varb_0);
  varb_1=500;
  varb_2=1;
  while(varb_2<=varb_0)
  {
    if(varb_1%3==2&&varb_1%5==2&&varb_1%7==2)
    {
    printf("" %-5d"",varb_1);
    varb_2++;
    if(varb_2%10==0)
    printf(""\n"");
    }
    varb_1++;
  }
   return 0;
}",7
