,id,code,is_true,format_code,errorline
0,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{
  int n,k,i;
  i=0;
  for(n=100;n<=200;n++)
    {for(k=2;k<n;k++)
    {if(n%k==0)
      break;
     else if((n-1)==k)
     {
     printf(""%3d "",n);
     i++;
     if(i==5||i==10||i==15||i==20)
     {printf(""\n"");
     break;}
     else
     break;
     }
     else
     continue;}
    if(i==5||i==10||i==15||i==20)
    printf(""\n"");
    }
   return 0;
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2;
  varb_2=0;
  for(varb_0=100;varb_0<=200;varb_0++)
    {for(varb_1=2;varb_1<varb_0;varb_1++)
    {if(varb_0%varb_1==0)
      break;
     else if((varb_0-1)==varb_1)
     {
     printf(""%3d "",varb_0);
     varb_2++;
     if(varb_2==5||varb_2==10||varb_2==15||varb_2==20)
     {printf(""\n"");
     break;}
     else
     break;
     }
     else
     continue;}
    if(varb_2==5||varb_2==10||varb_2==15||varb_2==20)
    printf(""\n"");
    }
   return 0;
}",14
1,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{
  int i,j,a;
  for(i=100;i<=200;i++)
   { j=0;
    for(j=2;j<=i;j++)
    {
     if(i%j==0)
     {
       break;
     }
    }
    if(i==j)
    { a++;
      printf(""%3d "",i);}     
    }
  }
  ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2;
  for(varb_0=100;varb_0<=200;varb_0++)
   { varb_1=0;
    for(varb_1=2;varb_1<=varb_0;varb_1++)
    {
     if(varb_0%varb_1==0)
     {
       break;
     }
    }
    if(varb_0==varb_1)
    { varb_2++;
      printf(""%3d "",varb_0);}     
    }
  }
",16
2,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{
int num=101,n=0,i,m=0,a;
for(;num<200;num++)
  {
  	a=0;
	  i=2;
    for(;i<num;i++)
        {
        if(num%i==0)
            {
	        a++;
	        }
		}
	if(a==0)
        {
        m++;
        printf(""%d"",num);
        }
	if(m%5==0)
	printf(""\n"");	
  }

}
",0.0,"#include<stdio.h>
int main()
{
int varb_0=101,n=0,i,m=0,a;
for(;varb_0<200;varb_0++)
  {
  	a=0;
	  i=2;
    for(;i<varb_0;i++)
        {
        if(varb_0%i==0)
            {
	        a++;
	        }
		}
	if(a==0)
        {
        m++;
        printf(""%d"",varb_0);
        }
	if(m%5==0)
	printf(""\n"");	
  }
}
",20
3,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{
  int i,a;
  a=1;
  for(i=100;i<=200;i++)
 {
   if(i%2!=0&&i%3!=0&&i%5!=0&&i%7!=0)
  {
    
    
    printf(""%3d"",i);
    if(a%2==0)
    printf("" "");
    
    
  
    if(a%5==0)
    
    printf(""\n"");
    a++;
    if(a==6)
     a=1;
       
     }
      }
      return 0;
 }
    
    ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1;
  varb_1=1;
  for(varb_0=100;varb_0<=200;varb_0++)
 {
   if(varb_0%2!=0&&varb_0%3!=0&&varb_0%5!=0&&varb_0%7!=0)
  {
    printf(""%3d"",varb_0);
    if(varb_1%2==0)
    printf("" "");
    if(varb_1%5==0)
    printf(""\n"");
    varb_1++;
    if(varb_1==6)
     varb_1=1;
     }
      }
      return 0;
 }
",8
4,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{
int a,b=0;
for(a=101;a<=199;a+=2)
{
if(a%3!=0&&a%5!=0&&a%7!=0&&a%11!=0&&a%13!=0)
{
printf(""%3d "",a);
b++;
}
if(b%5==0)
printf(""\n"");   
}
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1=0;
for(varb_0=101;varb_0<=199;varb_0+=2)
{
if(varb_0%3!=0&&varb_0%5!=0&&varb_0%7!=0&&varb_0%11!=0&&varb_0%13!=0)
{
printf(""%3d "",varb_0);
varb_1++;
}
if(varb_1%5==0)
printf(""\n"");   
}
}",12
5,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{ 
printf(""101 103 107 109 113\n127 131 137 139 149\n151 157 163 167 173 \n179 181 191 193 197 199"");
}",0.0,"#include<stdio.h>
int main()
{ 
printf(""101 103 107 109 113\n127 131 137 139 149\n151 157 163 167 173 \n179 181 191 193 197 199"");
}",4
6,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{
int n,a,b,c;
a=0;b=0;
for(n=100;n<=200;n++)
{
for(a=1;a<=n;a++)
{
if(n%a!=0)
b++;
}
if(b==2)
{
printf(""%3d"",n);
c++;
if(c%5==0)
printf(""\n"");
}
b=0;
}
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
varb_1=0;varb_2=0;
for(varb_0=100;varb_0<=200;varb_0++)
{
for(varb_1=1;varb_1<=varb_0;varb_1++)
{
if(varb_0%varb_1!=0)
varb_2++;
}
if(varb_2==2)
{
printf(""%3d"",varb_0);
varb_3++;
if(varb_3%5==0)
printf(""\n"");
}
varb_2=0;
}
return 0;
}",5
7,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
main()
{
   int a,b;
   int i=1;
   for(a=100;a<=200;a++)
     {
        for(b=2;b<a;b++)
        {  
           if(a%b!=0)
              break;
        }     
        if(b==a)
        {
           printf(""%3d "",a);           
           if(i%5==0)
           printf(""\n"");
           i++;
        }
     }
}",0.0,"#include<stdio.h>
main()
{
   int varb_0,varb_1;
   int varb_2=1;
   for(varb_0=100;varb_0<=200;varb_0++)
     {
        for(varb_1=2;varb_1<varb_0;varb_1++)
        {  
           if(varb_0%varb_1!=0)
              break;
        }     
        if(varb_1==varb_0)
        {
           printf(""%3d "",varb_0);           
           if(varb_2%5==0)
           printf(""\n"");
           varb_2++;
        }
     }
}",10
8,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{
int n,a,b,c;
a=0;b=0;c=0;
for(n=100;n<=200;n++)
{
for(a=1;a<=n;a++)
{
if(n%a!=0)
b++;
}
if(b==2)
{
printf(""%3d"",n);
c++;
if(c%5==0)
printf(""\n"");
}
b=0;
}
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
varb_1=0;varb_2=0;varb_3=0;
for(varb_0=100;varb_0<=200;varb_0++)
{
for(varb_1=1;varb_1<=varb_0;varb_1++)
{
if(varb_0%varb_1!=0)
varb_2++;
}
if(varb_2==2)
{
printf(""%3d"",varb_0);
varb_3++;
if(varb_3%5==0)
printf(""\n"");
}
varb_2=0;
}
return 0;
}",10
9,2c911d616dea44ae016e0d84a10d4c15,"#include<stdio.h>
int main()
{
  int i,a;
  a=1;
  for(i=100;i<=200;i++)
 {
   if(i%2!=0&&i%3!=0&&i%5!=0&&i%7!=0)
  {
    
    
    printf(""%3d"",i);
    a++;
    if(a%2==0)
    printf("" "");
    if(a%5==0)
    printf(""\n"");
    if(a>=5)
     a=1;
       
     }
      }
      return 0;
 }
    
    ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1;
  varb_1=1;
  for(varb_0=100;varb_0<=200;varb_0++)
 {
   if(varb_0%2!=0&&varb_0%3!=0&&varb_0%5!=0&&varb_0%7!=0)
  {
    printf(""%3d"",varb_0);
    varb_1++;
    if(varb_1%2==0)
    printf("" "");
    if(varb_1%5==0)
    printf(""\n"");
    if(varb_1>=5)
     varb_1=1;
     }
      }
      return 0;
 }
",8
