,id,code,is_true,format_code,errorline
0,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
int n,x,y,m,z,max=0;
scanf(""%d"",&n);
for(m=1;m<=n;m++)
{
scanf(""%d %d"",&x,&y);
if(y<0||y>100)
{
printf(""非法输入!"");
break;
}
if(y>max)
{
max=y;
z=x;
}
}
printf(""%d"",z);
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5=0;
scanf(""%d"",&varb_0);
for(varb_3=1;varb_3<=varb_0;varb_3++)
{
scanf(""%d %d"",&varb_1,&varb_2);
if(varb_2<0||varb_2>100)
{
printf(""非法输入!"");
break;
}
if(varb_2>varb_5)
{
varb_5=varb_2;
varb_4=varb_1;
}
}
printf(""%d"",varb_4);
}",3
1,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
#include<math.h>
int main()
{
int a,b,c,d,e,i;//a为输入学生个数，d为最大值学号,e为最大分数
d=0;
e=0;
scanf(""%d"",&a);
for(i=1;i<=a;i++)
   {  
   scanf(""%d%d"",&b,&c);//b,c为输入的学号和分数
      if(c<0||c>100)
   {
   printf(""非法输入!"");
   continue;
   }
   if(c>e)
     {
      e=c;
      d=b;
     }
   }
 
if(d<0||d>100)
   {
   printf(""非法输入!"");}
printf(""%d"",d);
}
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
varb_3=0;
varb_4=0;
scanf(""%d"",&varb_0);
for(varb_5=1;varb_5<=varb_0;varb_5++)
   {  
   scanf(""%d%d"",&varb_1,&varb_2);
      if(varb_2<0||varb_2>100)
   {
   printf(""非法输入!"");
   continue;
   }
   if(varb_2>varb_4)
     {
      varb_4=varb_2;
      varb_3=varb_1;
     }
   }
if(varb_3<0||varb_3>100)
   {
   printf(""非法输入!"");}
printf(""%d"",varb_3);
}
",12
2,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
   int i,j,n,xh,max,b;
max=0;
   scanf(""%d"",&n);
   for(i=0;i<=n;i++)
   {  
     scanf(""%d %d"",&xh,&j);
     if(j>100||j<0)
     {printf(""非法输入!"");
     return -1;
   }
    if(j>max)
   {max=j;b=xh;}
    }
printf(""%d"",b);
}
",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
varb_4=0;
   scanf(""%d"",&varb_2);
   for(varb_0=0;varb_0<=varb_2;varb_0++)
   {  
     scanf(""%d %d"",&varb_3,&varb_1);
     if(varb_1>100||varb_1<0)
     {printf(""非法输入!"");
     return -1;
   }
    if(varb_1>varb_4)
   {varb_4=varb_1;varb_5=varb_3;}
    }
printf(""%d"",varb_5);
}
",11
3,2c9f30a56e1ebafc016e344e15650cf5,"#include <stdio.h>
int main()
{
int n,a,b,i,d,c=0;
scanf(""%d"",&n);
for(i=1;i<=n;i++)
{
scanf(""%d%d"",a,b);
if(b<0||b>100)
{printf(""非法输入!"");
return -1;}
else if(b>c&&b<=100)
{
c=b;
d=a;
}
}
printf(""%d"",d);
}",0.0,"#include <stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5=0;
scanf(""%d"",&varb_0);
for(varb_3=1;varb_3<=varb_0;varb_3++)
{
scanf(""%d%d"",varb_1,varb_2);
if(varb_2<0||varb_2>100)
{printf(""非法输入!"");
return -1;}
else if(varb_2>varb_5&&varb_2<=100)
{
varb_5=varb_2;
varb_4=varb_1;
}
}
printf(""%d"",varb_4);
}",8
4,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
#include<string.h>

int main() {
    int n=0;
    scanf(""%d"",&n);
    char maxnum[8];
    int max=0;
    int flag=1;
    while(n--){
    	char num[8];
    	int score=0;
    	scanf(""%s%d"",num,&score);
    	if(score>100||score<0){
    		flag=0;
   		break;	 
		}
		if(score>max){
			max=score;
			strcpy(maxnum,num);
		}
	}
	if(flag){
		printf(""%s"",maxnum);
	}else{
		printf(""非法输入！"");
	}
}",0.0,"#include<stdio.h>
#include<string.h>
int main() {
    int varb_0=0;
    scanf(""%d"",&varb_0);
    char varb_1[8];
    int varb_2=0;
    int varb_3=1;
    while(varb_0--){
    	char varb_4[8];
    	int varb_5=0;
    	scanf(""%s%d"",varb_4,&varb_5);
    	if(varb_5>100||varb_5<0){
    		varb_3=0;
   		break;	 
		}
		if(varb_5>varb_2){
			varb_2=varb_5;
			strcpy(varb_1,varb_4);
		}
	}
	if(varb_3){
		printf(""%s"",varb_1);
	}else{
		printf(""非法输入！"");
	}
}",25
5,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
	int N,a=0,X,F,x,max=0;//N代表n个学生,X是学号，F是分数// 
	scanf(""%d"",&N);
	 while (a<N)
	 {
		a++;
		scanf(""%d %d"",&X,&F);
		if(F<0&&F>100)
		{
			printf(""非法输入!"");
			break;
		} 
		 else
		{
		
		  if(max<F)  
		  {
		   max=F;
		   x=X;
		  }
		}
	 } 
	 printf(""%d"",X);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1=0,varb_2,varb_3,varb_4,varb_5=0;
	scanf(""%d"",&varb_0);
	 while(varb_1<varb_0)
	 {
		varb_1++;
		scanf(""%d %d"",&varb_2,&varb_3);
		if(varb_3<0&&varb_3>100)
		{
			printf(""非法输入!"");
			break;
		} 
		 else
		{
		  if(varb_5<varb_3)  
		  {
		   varb_5=varb_3;
		   varb_4=varb_2;
		  }
		}
	 } 
	 printf(""%d"",varb_2);
	return 0;
}",4
6,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
{
	int N,a=0,X,F,x,max=0;//N代表n个学生,X是学号，F是分数// 
	scanf(""%d"",&N);
	 while (a<N)
	 {
		a++;
		scanf(""%d%d"",&X,&F);
		if(F<0)
		{
			printf(""非法输入!"");
			break;
		} 
		else if(F>100)
		{
			printf(""非法输入!"");
			break;
		} 
		else
		{
		
		  if(max<F)  
		  {
		   max=F;
		   x=X;
		  }
		}
	 } 
	 printf(""%d"",X);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1=0,varb_2,varb_3,varb_4,varb_5=0;
	scanf(""%d"",&varb_0);
	 while(varb_1<varb_0)
	 {
		varb_1++;
		scanf(""%d%d"",&varb_2,&varb_3);
		if(varb_3<0)
		{
			printf(""非法输入!"");
			break;
		} 
		else if(varb_3>100)
		{
			printf(""非法输入!"");
			break;
		} 
		else
		{
		  if(varb_5<varb_3)  
		  {
		   varb_5=varb_3;
		   varb_4=varb_2;
		  }
		}
	 } 
	 printf(""%d"",varb_2);
	return 0;
}",4
7,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h> 
int main()
{
	int n,m,num,grade,a,b,count;
	a=0;
    scanf(""%d"",&n);
    for(count=1;count<=n;count++)
    {
	scanf(""%d %d"",&num,&grade);
   	if(0<=grade&&grade<=100)
        {
            if(grade>a)
            {
			a=grade;
            b=num;
            }
		}	
   	else
   	m=1;     
    }
    
    if(m!=0)
	printf(""%d"",b);
    else
    printf(""非法输入!"");  
	
	return 0;

}",0.0,"#include<stdio.h> 
int main()
{
	int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6;
	varb_4=0;
    scanf(""%d"",&varb_0);
    for(varb_6=1;varb_6<=varb_0;varb_6++)
    {
	scanf(""%d %d"",&varb_2,&varb_3);
   	if(0<=varb_3&&varb_3<=100)
        {
            if(varb_3>varb_4)
            {
			varb_4=varb_3;
            varb_5=varb_2;
            }
		}	
   	else
   	varb_1=1;     
    }
    if(varb_1!=0)
	printf(""%d"",varb_5);
    else
    printf(""非法输入!"");  
	return 0;
}",19
8,2c9f30a56e1ebafc016e344e15650cf5,"#include<stdio.h>
int main()
 {
   
   int n,a,b,c=0,d=0,i;
   scanf(""%d"",&n);
   for(i=1;i<=n;i++)
   {
     scanf(""%d %d"",&a,&b);
     if(b>c)
     {
       c=b;
       d=a;
     }
   }
   printf(""%d"",d);
 }
   ",0.0,"#include<stdio.h>
int main()
 {
   int varb_0,varb_1,varb_2,varb_3=0,varb_4=0,varb_5;
   scanf(""%d"",&varb_0);
   for(varb_5=1;varb_5<=varb_0;varb_5++)
   {
     scanf(""%d %d"",&varb_1,&varb_2);
     if(varb_2>varb_3)
     {
       varb_3=varb_2;
       varb_4=varb_1;
     }
   }
   printf(""%d"",varb_4);
 }
",15
9,2c9f30a56e1ebafc016e344e15650cf5,"#include <stdio.h>

int main()

{

    int a,b,f1,f2,n,zjl,kg=0,i;

    scanf(""%d"",&n);

    scanf(""%d %d"",&a,&f1);

    for( i=1;i<n;i++)

    {

        if(f1<0||f1>100){printf(""非法输入!"");break;kg=1;}

        scanf(""%d %d"",&b,&f2);

        

        if(f2>100||f2<0){printf(""非法输入!"");break;kg=1;}

        if(f1<f2)

        {

            zjl=a;

            a=b;

            b=zjl;

        }

    }

    if(kg==0)

    printf(""%d"",a);

    

}",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6=0,varb_7;
    scanf(""%d"",&varb_4);
    scanf(""%d %d"",&varb_0,&varb_2);
    for( varb_7=1;varb_7<varb_4;varb_7++)
    {
        if(varb_2<0||varb_2>100){printf(""非法输入!"");break;varb_6=1;}
        scanf(""%d %d"",&varb_1,&varb_3);
        if(varb_3>100||varb_3<0){printf(""非法输入!"");break;varb_6=1;}
        if(varb_2<varb_3)
        {
            varb_5=varb_0;
            varb_0=varb_1;
            varb_1=varb_5;
        }
    }
    if(varb_6==0)
    printf(""%d"",varb_0);
}",9
