,id,code,is_true,format_code,errorline
0,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int li(int);
void zhang(int,int,int);
int main()
{
  int a,b,c;
  scanf(""%d  %d  %d"",&a,&b,&c);
  zhang( a, b, c);
  return 0;
 }
int li(int a)
{ 
  if((a%4==0&&a%100!=0)||(a%400==0))
  return 1;
  else
  return 0;
 }
void zhang(int a,int b,int c)
{
  int e,f=0,sum;
  for(e=1;e<=c;e++)
  {
    if((e==1)||(e==3)||(e==5)||(e==7)||(e==8)||(e==10)||(e==12))
    f++;
   }
  if(li(b)==1)
  { sum=(b-2-f)*30+(31*f)+29+c;
   printf(""该天是本年的第%d天"",sum);
  }
   else if(b=3)
  { sum=31*1+29+c;
   printf(""该天是本年的第%d天"",sum);
}
   else
   sum=(b-2-f)*30+(31*f)+28+c;
   printf(""该天是本年的第%d天"",sum);
 }
   ",0.0,"#include<stdio.h>
int func_0(int);
void func_1(int,int,int);
int main()
{
  int varb_0,varb_1,varb_2;
  scanf(""%d  %d  %d"",&varb_0,&varb_1,&varb_2);
  func_1( varb_0, varb_1, varb_2);
  return 0;
 }
int func_0(int varb_0)
{ 
  if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
  return 1;
  else
  return 0;
 }
void func_1(int varb_0,int varb_1,int varb_2)
{
  int varb_6,varb_7=0,varb_8;
  for(varb_6=1;varb_6<=varb_2;varb_6++)
  {
    if((varb_6==1)||(varb_6==3)||(varb_6==5)||(varb_6==7)||(varb_6==8)||(varb_6==10)||(varb_6==12))
    varb_7++;
   }
  if(func_0(varb_1)==1)
  { varb_8=(varb_1-2-varb_7)*30+(31*varb_7)+29+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
  }
   else if(varb_1=3)
  { varb_8=31*1+29+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
}
   else
   varb_8=(varb_1-2-varb_7)*30+(31*varb_7)+28+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
 }
",26
1,2c9f30a56e1ebafc016e40b391581c2b,"#include <stdio.h>
#define Max 12
int ryear(int);

int main()
{
	int months[Max]={31,28,31,30,31,30,31,31,30,31,30,31};
	int year,month,day,i,total;
	scanf(""%d %d %d"",&year,&month,&day);
	if(ryear(year))
	{
	 months[1]=29;
for(i=month-1,total=0;i>=0;i--)
		total+=months[i];
	}
	else
	{
		for(i=month-1,total=0;i>=0;i--)
		total+=months[i];
	}
printf(""该天是本年的第%d天"",total);
}
int ryear(int n)
{
	if(n%100!=0)
	{
		if(n%4==0)
		return 1;
		else return 0;
	}
	else{
		if(n%400==0)
		return 1;
		else return 0;
		
	}
}

    
",0.0,"#include <stdio.h>
#define Max 12
int func_0(int);
int main()
{
	int varb_0[Max]={31,28,31,30,31,30,31,31,30,31,30,31};
	int varb_1,varb_2,varb_3,varb_4,varb_5;
	scanf(""%d %d %d"",&varb_1,&varb_2,&varb_3);
	if(func_0(varb_1))
	{
	 varb_0[1]=29;
for(varb_4=varb_2-1,varb_5=0;varb_4>=0;varb_4--)
		varb_5+=varb_0[varb_4];
	}
	else
	{
		for(varb_4=varb_2-1,varb_5=0;varb_4>=0;varb_4--)
		varb_5+=varb_0[varb_4];
	}
printf(""该天是本年的第%d天"",varb_5);
}
int func_0(int n)
{
	if(n%100!=0)
	{
		if(n%4==0)
		return 1;
		else return 0;
	}
	else{
		if(n%400==0)
		return 1;
		else return 0;
	}
}
",12
2,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int li(int);
void zhang(int,int,int);
int main()
{
  int a,b,c;
  scanf(""%d  %d  %d"",&a,&b,&c);
  zhang( a, b, c);
  return 0;
 }
int li(int a)
{ 
  if((a%4==0&&a%100!=0)||(a%400==0))
  return 1;
  else
  return 0;
 }
void zhang(int a,int b,int c)
{
  int e,f=0,sum;
  for(e=1;e<=c;e++)
  {
    if((e==1)||(e==3)||(e==5)||(e==7)||(e==8)||(e==10)||(e==12))
    f++;
   }
  if(li(b)==1)
  { sum=(b-2-f)*30+(31*f)+29+c;
   printf(""该天是本年的第%d天"",sum);
  } 
   else
  if(b==3)
  { sum=31+29+c;
   printf(""该天是本年的第%d天"",sum);}
   sum=(b-2-f)*30+(31*f)+28+c;
   printf(""该天是本年的第%d天"",sum);
 }
   ",0.0,"#include<stdio.h>
int func_0(int);
void func_1(int,int,int);
int main()
{
  int varb_0,varb_1,varb_2;
  scanf(""%d  %d  %d"",&varb_0,&varb_1,&varb_2);
  func_1( varb_0, varb_1, varb_2);
  return 0;
 }
int func_0(int varb_0)
{ 
  if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
  return 1;
  else
  return 0;
 }
void func_1(int varb_0,int varb_1,int varb_2)
{
  int varb_6,varb_7=0,varb_8;
  for(varb_6=1;varb_6<=varb_2;varb_6++)
  {
    if((varb_6==1)||(varb_6==3)||(varb_6==5)||(varb_6==7)||(varb_6==8)||(varb_6==10)||(varb_6==12))
    varb_7++;
   }
  if(func_0(varb_1)==1)
  { varb_8=(varb_1-2-varb_7)*30+(31*varb_7)+29+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
  } 
   else
  if(varb_1==3)
  { varb_8=31+29+varb_2;
   printf(""该天是本年的第%d天"",varb_8);}
   varb_8=(varb_1-2-varb_7)*30+(31*varb_7)+28+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
 }
",26
3,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int main()
{
    int nian,yue,ri,tian,n,i;
    scanf(""%d %d %d"",&nian,&yue,&ri);
    if(nian%4==0&&nian%100!=0||nian%400==0)
    {
        if(yue<7&&yue%2==0)
        {
            i=2;
            i++;
            tian=yue*31-i+ri;
        }
        else if(yue>8&&yue%2!=0)
        {
            i=0;
            i++;
            tian=182+(yue-7)*31-i+ri;
        }
        else
            tian=182+(yue-7)*31+ri;

    }
    else
    {
        if(yue<7&&yue%2==0)
        {
            i=3;
            i++;
            tian=yue*31-i+ri;
        }
        else if(yue>8&&yue%2!=0)
        {
            i=0;
            i++;
            tian=181+(yue-7)*31-i+ri;
        }
        else
            tian=181+(yue-7)*31+ri;
    }
    printf(""该天是本年的第%d天"",tian);
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
    scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
    if(varb_0%4==0&&varb_0%100!=0||varb_0%400==0)
    {
        if(varb_1<7&&varb_1%2==0)
        {
            varb_5=2;
            varb_5++;
            varb_3=varb_1*31-varb_5+varb_2;
        }
        else if(varb_1>8&&varb_1%2!=0)
        {
            varb_5=0;
            varb_5++;
            varb_3=182+(varb_1-7)*31-varb_5+varb_2;
        }
        else
            varb_3=182+(varb_1-7)*31+varb_2;
    }
    else
    {
        if(varb_1<7&&varb_1%2==0)
        {
            varb_5=3;
            varb_5++;
            varb_3=varb_1*31-varb_5+varb_2;
        }
        else if(varb_1>8&&varb_1%2!=0)
        {
            varb_5=0;
            varb_5++;
            varb_3=181+(varb_1-7)*31-varb_5+varb_2;
        }
        else
            varb_3=181+(varb_1-7)*31+varb_2;
    }
    printf(""该天是本年的第%d天"",varb_3);
    return 0;
}",12
4,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int runnian(int a);
int tian(int b);
int main()
{
    int y,m,d,a;
    scanf(""%d %d %d"",&y,&m,&d);
    a=tian(m);
    printf(""该天是本年的第%d天"",a+d);
    return 0;
}
/*判断闰年*/
int runnian(int y)
{
    if((y%4==0&&y%100!=0)||(y%400==0))
    return 1;
    else
    return 0;
}
int tian(int m)
{
    int i,j,y;
    j=runnian(y);
    switch(m-1)
    {
    case 11:i+=30;
    case 10:i+=31;
     case 9:i+=30;
     case 8:i+=31;
     case 7:i+=31;
     case 6:i+=30; 
     case 5:i+=31;
     case 4:i+=30;
     case 3:i+=31;
          case 2:
    {
    if(j==1)
    i+=29;
    else
    i+=28;
    };
    case 1:i+=31;
    default:
    break;
    }
    return i; 
}",0.0,"#include<stdio.h>
int func_0(int varb_3);
int func_2(int b);
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
    varb_3=func_2(varb_1);
    printf(""该天是本年的第%d天"",varb_3+varb_2);
    return 0;
}
int func_0(int varb_0)
{
    if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
    return 1;
    else
    return 0;
}
int func_2(int varb_1)
{
    int varb_4,varb_5,varb_0;
    varb_5=func_0(varb_0);
    switch(varb_1-1)
    {
    case 11:varb_4+=30;
    case 10:varb_4+=31;
     case 9:varb_4+=30;
     case 8:varb_4+=31;
     case 7:varb_4+=31;
     case 6:varb_4+=30; 
     case 5:varb_4+=31;
     case 4:varb_4+=30;
     case 3:varb_4+=31;
          case 2:
    {
    if(varb_5==1)
    varb_4+=29;
    else
    varb_4+=28;
    };
    case 1:varb_4+=31;
    default:
    break;
    }
    return varb_4; 
}",2
5,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int f(int,int);
main()
{
int y,m,d,n;
scanf(""%d %d %d"",&y ,&m,&d);

   if(y%4!=0)
   n=f(m,d);
   else
   {
   switch(m)
   {
   case 1:
   n=d;break;
   
   case 2:
   n=31+d;break;
   
   case 3:
   n=59+d;break;
  
   case 4:
   n=90+d;break;
   
   case 5:
   n=120+d;break;
   
   case 6:
   n=151+d;break;
   
   case 7:
   n=181+d;break;
   
   case 8:
   n=212+d;break;
   
   case 9:
   n=243+d;break;
   
   case 10:
   n=273+d;break;
  
   case 11:
   n=304+d;break;
   
   case 12:
   n=334+d;break;
   }
   }
   printf(""该天是本年的第%d天"",n);
   }
   
   int f(int m,int d)
   {
   int n;
   switch(m)
   {
   case 1:
   n=d;break;
   
   case 2:
   n=31+d;break;
   
   case 3:
   n=60+d;break;
  
   case 4:
   n=91+d;break;
   
   case 5:
   n=121+d;break;
   
   case 6:
   n=152+d;break;
   
   case 7:
   n=182+d;break;
   
   case 8:
   n=213+d;break;
   
   case 9:
   n=244+d;break;
   
   case 10:
   n=274+d;break;
  
   case 11:
   n=305+d;break;
   
   case 12:
   n=335+d;break;
   return n;
   }
}
   
   
   
   


",0.0,"#include<stdio.h>
int func_0(int,int);
main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d %d %d"",&varb_0 ,&varb_1,&varb_2);
   if(varb_0%4!=0)
   varb_3=func_0(varb_1,varb_2);
   else
   {
   switch(varb_1)
   {
   case 1:
   varb_3=varb_2;break;
   case 2:
   varb_3=31+varb_2;break;
   case 3:
   varb_3=59+varb_2;break;
   case 4:
   varb_3=90+varb_2;break;
   case 5:
   varb_3=120+varb_2;break;
   case 6:
   varb_3=151+varb_2;break;
   case 7:
   varb_3=181+varb_2;break;
   case 8:
   varb_3=212+varb_2;break;
   case 9:
   varb_3=243+varb_2;break;
   case 10:
   varb_3=273+varb_2;break;
   case 11:
   varb_3=304+varb_2;break;
   case 12:
   varb_3=334+varb_2;break;
   }
   }
   printf(""该天是本年的第%d天"",varb_3);
   }
   int func_0(int varb_1,int varb_2)
   {
   int varb_3;
   switch(varb_1)
   {
   case 1:
   varb_3=varb_2;break;
   case 2:
   varb_3=31+varb_2;break;
   case 3:
   varb_3=60+varb_2;break;
   case 4:
   varb_3=91+varb_2;break;
   case 5:
   varb_3=121+varb_2;break;
   case 6:
   varb_3=152+varb_2;break;
   case 7:
   varb_3=182+varb_2;break;
   case 8:
   varb_3=213+varb_2;break;
   case 9:
   varb_3=244+varb_2;break;
   case 10:
   varb_3=274+varb_2;break;
   case 11:
   varb_3=305+varb_2;break;
   case 12:
   varb_3=335+varb_2;break;
   return varb_3;
   }
}
",7
6,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int li(int);
void zhang(int,int,int);
int main()
{
  int a,b,c;
  scanf(""%d  %d  %d"",&a,&b,&c);
  zhang( a, b, c);
  return 0;
 }
int li(int a)
{ 
  if((a%4==0&&a%100!=0)||(a%400==0))
  return 1;
  else
  return 0;
 }
void zhang(int a,int b,int c)
{
  int e,f=0,sum;
  for(e=1;e<=c;e++)
  {
    if((e==1)||(e==3)||(e==5)||(e==7)||(e==8)||(e==10)||(e==12))
    f++;
   }
  if(li(a)==1)
  { sum=(b-2-f)*30+(31*f)+29+c;
   printf(""该天是本年的第%d天"",sum);
  } 
   else
   {
   sum=(b-2-f)*30+(31*f)+28+c;
   printf(""该天是本年的第%d天"",sum);
   }
 }
   ",0.0,"#include<stdio.h>
int func_0(int);
void func_1(int,int,int);
int main()
{
  int varb_0,varb_1,varb_2;
  scanf(""%d  %d  %d"",&varb_0,&varb_1,&varb_2);
  func_1( varb_0, varb_1, varb_2);
  return 0;
 }
int func_0(int varb_0)
{ 
  if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
  return 1;
  else
  return 0;
 }
void func_1(int varb_0,int varb_1,int varb_2)
{
  int varb_6,varb_7=0,varb_8;
  for(varb_6=1;varb_6<=varb_2;varb_6++)
  {
    if((varb_6==1)||(varb_6==3)||(varb_6==5)||(varb_6==7)||(varb_6==8)||(varb_6==10)||(varb_6==12))
    varb_7++;
   }
  if(func_0(varb_0)==1)
  { varb_8=(varb_1-2-varb_7)*30+(31*varb_7)+29+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
  } 
   else
   {
   varb_8=(varb_1-2-varb_7)*30+(31*varb_7)+28+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
   }
 }
",15
7,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int li(int);
void zhang(int,int,int);
int main()
{
  int a,b,c;
  scanf(""%d  %d  %d"",&a,&b,&c);
  zhang( a, b, c);
  return 0;
 }
int li(int a)
{ 
  if((a%4==0&&a%100!=0)||(a%400==0))
  return 1;
  else
  return 0;
 }
void zhang(int a,int b,int c)
{
  int e,f=0,sum;
  for(e=1;e<=c;e++)
  {
    if((e==1)||(e==3)||(e==5)||(e==7)||(e==8)||(e==10)||(e==12))
    f++;
   }
  if(li(a)==1)
  { sum=(b-2-f)*30+(31*f)+29+c;
   printf(""该天是本年的第%d天"",sum);
  }
  if(b==3)
 { sum=59+c;
   printf(""该天是本年的第%d天"",sum);
  }
   else
   {
   sum=(b-2-f)*30+(31*f)+28+c;
   printf(""该天是本年的第%d天"",sum);
   }
 }
   ",0.0,"#include<stdio.h>
int func_0(int);
void func_1(int,int,int);
int main()
{
  int varb_0,varb_1,varb_2;
  scanf(""%d  %d  %d"",&varb_0,&varb_1,&varb_2);
  func_1( varb_0, varb_1, varb_2);
  return 0;
 }
int func_0(int varb_0)
{ 
  if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
  return 1;
  else
  return 0;
 }
void func_1(int varb_0,int varb_1,int varb_2)
{
  int varb_6,varb_7=0,varb_8;
  for(varb_6=1;varb_6<=varb_2;varb_6++)
  {
    if((varb_6==1)||(varb_6==3)||(varb_6==5)||(varb_6==7)||(varb_6==8)||(varb_6==10)||(varb_6==12))
    varb_7++;
   }
  if(func_0(varb_0)==1)
  { varb_8=(varb_1-2-varb_7)*30+(31*varb_7)+29+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
  }
  if(varb_1==3)
 { varb_8=59+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
  }
   else
   {
   varb_8=(varb_1-2-varb_7)*30+(31*varb_7)+28+varb_2;
   printf(""该天是本年的第%d天"",varb_8);
   }
 }
",15
8,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int days(int n,int a[]);
int main()
{
	int a,b,c;
    int d[]={31,28,31,30,31,30,31,31,30,31,30,31};
	scanf(""%d %d %d"",&a,&b,&c);
	    if(((!(a%4))&&(a%100))||!(a%400))c++;
	a=days(b,d)+c;
    printf(""该天是本年的第315天"");
    return 0;
}
int days(int n,int a[])
{
	int sum=0;
	int step=0;
	for(step=0;step<n-1;step++)
	{
		sum=a[step]+sum;
	}
}",0.0,"#include<stdio.h>
int func_0(int varb_0,int varb_1[]);
int main()
{
	int varb_1,varb_3,varb_4;
    int varb_5[]={31,28,31,30,31,30,31,31,30,31,30,31};
	scanf(""%d %d %d"",&varb_1,&varb_3,&varb_4);
	    if(((!(varb_1%4))&&(varb_1%100))||!(varb_1%400))varb_4++;
	varb_1=func_0(varb_3,varb_5)+varb_4;
    printf(""该天是本年的第315天"");
    return 0;
}
int func_0(int varb_0,int varb_1[])
{
	int varb_8=0;
	int varb_9=0;
	for(varb_9=0;varb_9<varb_0-1;varb_9++)
	{
		varb_8=varb_1[varb_9]+varb_8;
	}
}",10
9,2c9f30a56e1ebafc016e40b391581c2b,"#include<stdio.h>
int days(int,int);
int run(int);
main()
{   int i,sum,y,m,d;
     int runnian[12]={31,29,31,30,31,30,31,31,30,31,30,31};
     int nian[12]={31,28,31,30,31,30,31,31,30,31,30,31};
    scanf(""%d%d%d"",&y,&m,&d);
    if(run(y)==1)
      {for(i=1;i<m;i++)
       sum+=runnian[i];}
    else
       {for(i=1;i<m;i++)
       sum+=nian[i];}
     printf(""该天是本年的第%d天"",sum+d);
  }
int run(int year)
{
  if(year%4==0||year%400==0)
    return 1;
  else
    return 0;
}",0.0,"#include<stdio.h>
int days(int,int);
int func_0(int);
main()
{   int varb_0,varb_1,varb_2,varb_3,varb_4;
     int varb_5[12]={31,29,31,30,31,30,31,31,30,31,30,31};
     int varb_6[12]={31,28,31,30,31,30,31,31,30,31,30,31};
    scanf(""%d%d%d"",&varb_2,&varb_3,&varb_4);
    if(func_0(varb_2)==1)
      {for(varb_0=1;varb_0<varb_3;varb_0++)
       varb_1+=varb_5[varb_0];}
    else
       {for(varb_0=1;varb_0<varb_3;varb_0++)
       varb_1+=varb_6[varb_0];}
     printf(""该天是本年的第%d天"",varb_1+varb_4);
  }
int func_0(int year)
{
  if(year%4==0||year%400==0)
    return 1;
  else
    return 0;
}",2
