,id,code,is_true,format_code,errorline
0,2c9f30a56e1ebafc016e50bf60ae28df,"#include<stdio.h>

int fact(int);

int main()

{

    int number;

    int p,q;

    int a;

    scanf(""%d"",&number);

    for(p=1;p<number;p++) 

    {

        for(q=1;q<number;q++){

        if(fact(q)==1&&fact(p)==1&&p+q==number&&p>1&&q>1)

        {printf(""%d=%d+%d"",number,p,q);

        a=0;

        break;

        }

        }

        if(a==0)

        break;

    }   

    

}

int fact(int a)

{

    int b;

    int i;

    for(i=2;i<a;i++)

    {

        if(a%i==0)

        return 0;

        

    }

    return 1;

}",0.0,"#include<stdio.h>
int func_0(int);
int main()
{
    int varb_0;
    int varb_1,varb_2;
    int varb_3;
    scanf(""%d"",&varb_0);
    for(varb_1=1;varb_1<varb_0;varb_1++) 
    {
        for(varb_2=1;varb_2<varb_0;varb_2++){
        if(func_0(varb_2)==1&&func_0(varb_1)==1&&varb_1+varb_2==varb_0&&varb_1>1&&varb_2>1)
        {printf(""%d=%d+%d"",varb_0,varb_1,varb_2);
        varb_3=0;
        break;
        }
        }
        if(varb_3==0)
        break;
    }   
}
int func_0(int varb_3)
{
    int varb_4;
    int varb_5;
    for(varb_5=2;varb_5<varb_3;varb_5++)
    {
        if(varb_3%varb_5==0)
        return 0;
    }
    return 1;
}",7
1,2c9f30a56e1ebafc016e50bf60ae28df,"#include<stdio.h>

int zhi(int);
int main()
{
int n,i,p,q;
scanf(""%d"",&i);
for(p=2;p<=i;++p)
{
q=i-p;

if(zhi(p)==1&&zhi(q)==1)
{printf(""%d = %d + %d"",i,p,q);
break;
}




}


return 0;
}




int zhi(int n)
{
int i,j=1;
for(i=2;i<=n;++i)
{
if(n%i==0)
++j;
}
if(j==1)
return 1;
else return 0;

}




",0.0,"#include<stdio.h>
int func_0(int);
int main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_1);
for(varb_2=2;varb_2<=varb_1;++varb_2)
{
varb_3=varb_1-varb_2;
if(func_0(varb_2)==1&&func_0(varb_3)==1)
{printf(""%d = %d + %d"",varb_1,varb_2,varb_3);
break;
}
}
return 0;
}
int func_0(int varb_0)
{
int varb_1,varb_5=1;
for(varb_1=2;varb_1<=varb_0;++varb_1)
{
if(varb_0%varb_1==0)
++varb_5;
}
if(varb_5==1)
return 1;
else return 0;
}
",20
2,2c9f30a56e1ebafc016e50bf60ae28df,"#include <stdio.h>
#include <math.h>
int Fxmin(int);

int main()
{
  int n,a;
   scanf(""%d"",&n);
   if(n>2&&n<=5000)
  {    
    for(a=2;a<=n;a++)
    {
      if(Fxmin(a)&&Fxmin(n-a))
      {
      printf(""%d = %d + %d "",n,a,n-a);
      break;
      }
    }
  }
 } 
 
 
int Fxmin(int n)
{
int i, m;
   m=sqrt(n);
     for(i=2;i<=m;i++)
     {   
       if(n%i==0)
			{continue
	;
			}
		}	
	return 1; 
}",0.0,"#include <stdio.h>
#include <math.h>
int func_0(int);
int main()
{
  int varb_0,varb_1;
   scanf(""%d"",&varb_0);
   if(varb_0>2&&varb_0<=5000)
  {    
    for(varb_1=2;varb_1<=varb_0;varb_1++)
    {
      if(func_0(varb_1)&&func_0(varb_0-varb_1))
      {
      printf(""%d = %d + %d "",varb_0,varb_1,varb_0-varb_1);
      break;
      }
    }
  }
 } 
int func_0(int varb_0)
{
int varb_2, varb_3;
   varb_3=sqrt(varb_0);
     for(varb_2=2;varb_2<=varb_3;varb_2++)
     {   
       if(varb_0%varb_2==0)
			{continue
	;
			}
		}	
	return 1; 
}",27
3,2c9f30a56e1ebafc016e50bf60ae28df,"#include<stdio.h>
int y(int);
int main()
{
	int n,i,j;
	scanf(""%d"",&n);
	for(i=1;i<n;i++)
	{
		for(j=1;j<n;j++)
		{
			if(y(j)+y(i)==n )
			{
			printf(""%d = %d + %d"",n,y(i),y(j));
			break;	
			}	
		}
		
		if(y(j)+y(i)==n )
		break;
	}	
}

int y(int num)
{  
	int a,i; 
		if(num==1)
		a=0;
    for(i=2;i<num; i++) 
    {
    	a=num%i;
    	if(a==0)
    	break;
    }
        if(a==0) 
 		;
        else
    return num;
}
	
	
",0.0,"#include<stdio.h>
int func_0(int);
int main()
{
	int varb_0,varb_1,varb_2;
	scanf(""%d"",&varb_0);
	for(varb_1=1;varb_1<varb_0;varb_1++)
	{
		for(varb_2=1;varb_2<varb_0;varb_2++)
		{
			if(func_0(varb_2)+func_0(varb_1)==varb_0 )
			{
			printf(""%d = %d + %d"",varb_0,func_0(varb_1),func_0(varb_2));
			break;	
			}	
		}
		if(func_0(varb_2)+func_0(varb_1)==varb_0 )
		break;
	}	
}
int func_0(int num)
{  
	int varb_3,varb_1; 
		if(num==1)
		varb_3=0;
    for(varb_1=2;varb_1<num; varb_1++) 
    {
    	varb_3=num%varb_1;
    	if(varb_3==0)
    	break;
    }
        if(varb_3==0) 
 		;
        else
    return num;
}
",32
4,2c9f30a56e1ebafc016e50bf60ae28df,"#include<stdio.h>
int is_Prime(int x)
{
int a;
for(a=2;a<x;a++)
{
if(x%a==0)
return 0;
}
return 1;
}
main()
{
int p,q,N;
scanf(""%d"",&N);
for(p=3;p<=4999;p+=2)
{
q=N-p;
if(is_Prime(p)==1&&is_Prime(q)==1)
break;
}
printf(""%d=%d+%d"",N,p,q);
}
",0.0,"#include<stdio.h>
int func_0(int x)
{
int varb_0;
for(varb_0=2;varb_0<x;varb_0++)
{
if(x%varb_0==0)
return 0;
}
return 1;
}
main()
{
int varb_1,varb_2,varb_3;
scanf(""%d"",&varb_3);
for(varb_1=3;varb_1<=4999;varb_1+=2)
{
varb_2=varb_3-varb_1;
if(func_0(varb_1)==1&&func_0(varb_2)==1)
break;
}
printf(""%d=%d+%d"",varb_3,varb_1,varb_2);
}
",9
5,2c9f30a56e1ebafc016e50bf60ae28df,"#include <stdio.h>
#include <math.h>
int Fxmin(int);

int main()
{
  int n,p,i;
   scanf(""%d"",&n);
   if(n>2&&n<=5000)
  {    
    for(i=2;i<=n;i++)
    {
      if(Fxmin(p)&&Fxmin(n-p))
      {
      printf(""%d = %d + %d "",n,p,n-p);
      break;
      }
    }
  }
 } 
 
 
int Fxmin(int n)
{
int i, m;
   m=sqrt(n);
     for(i=2;i<=m;i++)
     {   
       if(n%i==0)
			{
			 return 0;
			}
		}	
	return 1; 
}
   
   
   
   
   
   ",0.0,"#include <stdio.h>
#include <math.h>
int func_0(int);
int main()
{
  int varb_0,varb_1,varb_2;
   scanf(""%d"",&varb_0);
   if(varb_0>2&&varb_0<=5000)
  {    
    for(varb_2=2;varb_2<=varb_0;varb_2++)
    {
      if(func_0(varb_1)&&func_0(varb_0-varb_1))
      {
      printf(""%d = %d + %d "",varb_0,varb_1,varb_0-varb_1);
      break;
      }
    }
  }
 } 
int func_0(int varb_0)
{
int varb_2, varb_4;
   varb_4=sqrt(varb_0);
     for(varb_2=2;varb_2<=varb_4;varb_2++)
     {   
       if(varb_0%varb_2==0)
			{
			 return 0;
			}
		}	
	return 1; 
}
",12
6,2c9f30a56e1ebafc016e50bf60ae28df,"#include <stdio.h>
#include <math.h>
int Fxmin(int);

int main()
{
  int n,p,i;
   scanf(""%d"",&n);
   if(n>2&&n<=5000)
  {    
    for(i=2;i<=n;i++)
    {
      if(Fxmin(i)&&Fxmin(n-i))
      {
      printf(""%d = %d + %d "",n,i,n-i);
      break;
      }
    }
  }
 } 
 
 
int Fxmin(int j)
{
int i,m;
   m=sqrt(j);
     for(i=2;i<m;i++)
     {   
       if(j%i==0)
			 return 0;
		}	
	return i; 
}
",0.0,"#include <stdio.h>
#include <math.h>
int func_0(int);
int main()
{
  int varb_0,varb_1,varb_2;
   scanf(""%d"",&varb_0);
   if(varb_0>2&&varb_0<=5000)
  {    
    for(varb_2=2;varb_2<=varb_0;varb_2++)
    {
      if(func_0(varb_2)&&func_0(varb_0-varb_2))
      {
      printf(""%d = %d + %d "",varb_0,varb_2,varb_0-varb_2);
      break;
      }
    }
  }
 } 
int func_0(int j)
{
int varb_2,varb_4;
   varb_4=sqrt(j);
     for(varb_2=2;varb_2<varb_4;varb_2++)
     {   
       if(j%varb_2==0)
			 return 0;
		}	
	return varb_2; 
}
",24
7,2c9f30a56e1ebafc016e50bf60ae28df,"#include<stdio.h>

int fact(int);

int main()

{

    int number;

    int p,q;

    int a;

    scanf(""%d"",&number);

    for(p=1;p<number;p++) 

    {

        for(q=1;q<number;q++){

        if(fact(q)==1&&fact(p)==1&&p+q==number&&p>1&&q>1)

        {printf(""%d = %d + %d\n"",number,p,q);

        a=0;

        break;

        }

        }

        if(a==0)

        break;

    }   

    

}

int fact(int a)

{

    int b;

    int i;

    for(i=2;i<a;i++)

    {

        if(a%i==0)

        return 0;

        

    }

    return 1;

}",0.0,"#include<stdio.h>
int func_0(int);
int main()
{
    int varb_0;
    int varb_1,varb_2;
    int varb_3;
    scanf(""%d"",&varb_0);
    for(varb_1=1;varb_1<varb_0;varb_1++) 
    {
        for(varb_2=1;varb_2<varb_0;varb_2++){
        if(func_0(varb_2)==1&&func_0(varb_1)==1&&varb_1+varb_2==varb_0&&varb_1>1&&varb_2>1)
        {printf(""%d = %d + %d\n"",varb_0,varb_1,varb_2);
        varb_3=0;
        break;
        }
        }
        if(varb_3==0)
        break;
    }   
}
int func_0(int varb_3)
{
    int varb_4;
    int varb_5;
    for(varb_5=2;varb_5<varb_3;varb_5++)
    {
        if(varb_3%varb_5==0)
        return 0;
    }
    return 1;
}",7
8,2c9f30a56e1ebafc016e50bf60ae28df,"#include<stdio.h>
#include<math.h>
int susu(int);
int main()
{
    int N,q,p;
    scanf(""%d"",&N);
    for(q=2; q<=N; q++)
    {
        if(susu(q)&&susu(N-q))
        {
            p=N-q;
            printf(""%d=%d+%d"",N,q,p);
            break;
        }
    }
    return 0;
}
int susu(int n)
{
    int m,i;
    for(m=1;m<=n; m++)
        {
        if(n%m==0)
        {   i++;
         if(i>2)
         break;
         else
         return n;
         }
         }
}",0.0,"#include<stdio.h>
#include<math.h>
int func_0(int);
int main()
{
    int varb_0,varb_1,varb_2;
    scanf(""%d"",&varb_0);
    for(varb_1=2; varb_1<=varb_0; varb_1++)
    {
        if(func_0(varb_1)&&func_0(varb_0-varb_1))
        {
            varb_2=varb_0-varb_1;
            printf(""%d=%d+%d"",varb_0,varb_1,varb_2);
            break;
        }
    }
    return 0;
}
int func_0(int n)
{
    int varb_3,varb_4;
    for(varb_3=1;varb_3<=n; varb_3++)
        {
        if(n%varb_3==0)
        {   varb_4++;
         if(varb_4>2)
         break;
         else
         return n;
         }
         }
}",14
9,2c9f30a56e1ebafc016e50bf60ae28df,"#include<stdio.h>

int zhi(int);
int main()
{
int n,i,p,q;
scanf(""%d"",&i);
for(p=1;p<=i;++p)
{
q=i-p;

if(zhi(p)==1&&zhi(q)==1)
{printf(""%d = %d + %d"",i,p,q);
break;
}




}


return 0;
}




int zhi(int n)
{
int i,j=1;
for(i=2;i<n;++i)
{
if(n%i==0)
++j;
}
if(j==1)
return 1;
else return 0;

}




",0.0,"#include<stdio.h>
int func_0(int);
int main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_1);
for(varb_2=1;varb_2<=varb_1;++varb_2)
{
varb_3=varb_1-varb_2;
if(func_0(varb_2)==1&&func_0(varb_3)==1)
{printf(""%d = %d + %d"",varb_1,varb_2,varb_3);
break;
}
}
return 0;
}
int func_0(int varb_0)
{
int varb_1,varb_5=1;
for(varb_1=2;varb_1<varb_0;++varb_1)
{
if(varb_0%varb_1==0)
++varb_5;
}
if(varb_5==1)
return 1;
else return 0;
}
",7
