,id,code,is_true,format_code,errorline
0,2c9f30a56e72f8ae016e782d1b3a0340,"#include <stdio.h>
int main()
{
	char string1[40];
	int i=0;
    gets(string1);
	while(string1[i]!='\0')
	{
	if(string1[i]<'z'&&string1[i]>'a')
	{
		string1[i]-=32;
			
	}
    i++;
	}
	puts(string1);
	return 0;
}",0.0,"#include <stdio.h>
int main()
{
	char varb_0[40];
	int varb_1=0;
    gets(varb_0);
	while(varb_0[varb_1]!='\0')
	{
	if(varb_0[varb_1]<'z'&&varb_0[varb_1]>'a')
	{
		varb_0[varb_1]-=32;
	}
    varb_1++;
	}
	puts(varb_0);
	return 0;
}",9
1,2c9f30a56e72f8ae016e782d1b3a0340,"#include<stdio.h>
#include<ctype.h>
int main()
{
	int b;
	char a[30];
    gets(a);
    for(b=0;b<30;b++)
    {
    	toupper(a[b]);
    	if(a[b]='/0')
    	break;
	}
    puts(a);
}",0.0,"#include<stdio.h>
#include<ctype.h>
int main()
{
	int varb_0;
	char varb_1[30];
    gets(varb_1);
    for(varb_0=0;varb_0<30;varb_0++)
    {
    	toupper(varb_1[varb_0]);
    	if(varb_1[varb_0]='/0')
    	break;
	}
    puts(varb_1);
}",10
2,2c9f30a56e72f8ae016e782d1b3a0340,"#include <stdio.h>
#include<string.h>
int main()
{
	char a[100]=""NchuChangHang"";
	int i;
	for(i=0;i<strlen(a);i++)
	{
	  if(a[i]>96&&a[i]<123)
     {
       a[i]=a[i]-32;
       continue;
     }
    }  
 printf(""%s"",a);
 return 0;
}",0.0,"#include <stdio.h>
#include<string.h>
int main()
{
	char varb_0[100]=""NchuChangHang"";
	int varb_1;
	for(varb_1=0;varb_1<strlen(varb_0);varb_1++)
	{
	  if(varb_0[varb_1]>96&&varb_0[varb_1]<123)
     {
       varb_0[varb_1]=varb_0[varb_1]-32;
       continue;
     }
    }  
 printf(""%s"",varb_0);
 return 0;
}",5
3,2c9f30a56e72f8ae016e782d1b3a0340,"#include <stdio.h>
#include<string.h>
int main()
{
int i;
char a[30];
gets(a);
for(i=1;i<strlen(a);i++)
{
if(a[i]>='a'&&a[i]<='z')
a[i]=a[i]-32;
}
puts(a);
return 0;
}
",0.0,"#include <stdio.h>
#include<string.h>
int main()
{
int varb_0;
char varb_1[30];
gets(varb_1);
for(varb_0=1;varb_0<strlen(varb_1);varb_0++)
{
if(varb_1[varb_0]>='a'&&varb_1[varb_0]<='z')
varb_1[varb_0]=varb_1[varb_0]-32;
}
puts(varb_1);
return 0;
}
",8
4,2c9f30a56e72f8ae016e782d1b3a0340,"#include<stdio.h>
#include<ctype.h>
int main()
{
	int b;
	char a[30];
    gets(a);
    for(b=0;b<30;b++)
    {
    	toupper(a[b]);
    	if(a[b]=='\0')
    	break;
	}
    puts(a);
}",0.0,"#include<stdio.h>
#include<ctype.h>
int main()
{
	int varb_0;
	char varb_1[30];
    gets(varb_1);
    for(varb_0=0;varb_0<30;varb_0++)
    {
    	toupper(varb_1[varb_0]);
    	if(varb_1[varb_0]=='\0')
    	break;
	}
    puts(varb_1);
}",10
5,2c9f30a56e72f8ae016e782d1b3a0340,"#include<stdio.h>
#include<ctype.h>
int main()
{
 int i,n;
 char str[30];
 void convertToUpper(char str[]);
 gets(str);
convertToUpper(str);
printf(""%c"",str);

}
void convertToUpper(char str[])
{
int i;
for(i=0;str[i]!='\0';i++)
str[i]=toupper(str[i]);
}",0.0,"#include<stdio.h>
#include<ctype.h>
int main()
{
 int varb_0,varb_1;
 char varb_2[30];
 void func_0(char varb_2[]);
 gets(varb_2);
func_0(varb_2);
printf(""%c"",varb_2);
}
void func_0(char varb_2[])
{
int varb_0;
for(varb_0=0;varb_2[varb_0]!='\0';varb_0++)
varb_2[varb_0]=toupper(varb_2[varb_0]);
}",10
6,2c9f30a56e72f8ae016e782d1b3a0340,"#include<stdio.h>
#include<string.h>
int main()
{
char s[30];
int i;
gets(s);
for(i=0;s[i]!='\0';i++);
{
if(s[i]>='a'&&s[i]<='z');
{
s[i]=s[i]-32;
}
}
puts(s);
return 0;
}
",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[30];
int varb_1;
gets(varb_0);
for(varb_1=0;varb_0[varb_1]!='\0';varb_1++);
{
if(varb_0[varb_1]>='a'&&varb_0[varb_1]<='z');
{
varb_0[varb_1]=varb_0[varb_1]-32;
}
}
puts(varb_0);
return 0;
}
",8
7,2c9f30a56e72f8ae016e782d1b3a0340,"#include<stdio.h>
#include<ctype.h>
#include<string.h>
int main()
{
#define MAXCHARS 30
char str[MAXCHARS],n;
gets(str);
int i,a,b;
i=0;
b=strlen(str);
for(a=0;a<b;a++)
{
n=toupper(str[a]);
puts(n);
}
}
  ",0.0,"#include<stdio.h>
#include<ctype.h>
#include<string.h>
int main()
{
#define MAXCHARS 30
char varb_0[MAXCHARS],n;
gets(varb_0);
int varb_1,varb_2,varb_3;
varb_1=0;
varb_3=strlen(varb_0);
for(varb_2=0;varb_2<varb_3;varb_2++)
{
n=toupper(varb_0[varb_2]);
puts(n);
}
}
",15
8,2c9f30a56e72f8ae016e782d1b3a0340,"#include<stdio.h>
#include<string.h>
int main()
{ char a[1000];
  gets(a);
  strupr(a);
  puts(a);
  }",0.0,"#include<stdio.h>
#include<string.h>
int main()
{ char varb_0[1000];
  gets(varb_0);
  strupr(varb_0);
  puts(varb_0);
  }",4
9,2c9f30a56e72f8ae016e782d1b3a0340,"#include <stdio.h>
int main()
{
	int i;
	char a[30];
	for(i=0;i<30;i++)
	{
		scanf(""%c"",&a[i]);
		if(a[i]=='\n')
		{
			a[i]='\0';
			break;
		}
		
	}
	for(i=0;i<30;i++)
	{
		if(a[i]>='a'&&a[i]<='z')
		{
			a[i]=a[i]-32;
		}
    }
	for(i=0;i<30;i++)
	{
		printf(""%c"",a[i]);
		if(a[i]=='\0')
		break;
	}
	return 0;
 } ",0.0,"#include <stdio.h>
int main()
{
	int varb_0;
	char varb_1[30];
	for(varb_0=0;varb_0<30;varb_0++)
	{
		scanf(""%c"",&varb_1[varb_0]);
		if(varb_1[varb_0]=='\n')
		{
			varb_1[varb_0]='\0';
			break;
		}
	}
	for(varb_0=0;varb_0<30;varb_0++)
	{
		if(varb_1[varb_0]>='a'&&varb_1[varb_0]<='z')
		{
			varb_1[varb_0]=varb_1[varb_0]-32;
		}
    }
	for(varb_0=0;varb_0<30;varb_0++)
	{
		printf(""%c"",varb_1[varb_0]);
		if(varb_1[varb_0]=='\0')
		break;
	}
	return 0;
 } ",24
