,id,code,is_true,format_code,errorline
0,2c9f30a56e72f8ae016e78356a6c0352,"#include<stdio.h>
int main()
{
	int str[10];
	int i,a,b,n,count; 
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
	 scanf(""%d"",&str[i]);
	}
	for(i=0;i<n-1;i++)
	{
		a=str[i];
		b=str[i+1];
		str[i]=a-b;
	 } 
	for(i=0,count=1;i<n-1;i++)
	{
		printf(""%d "",str[i]);
		count++;
		if(count%3==0)
		printf(""\n"");
		
	}
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0[10];
	int varb_1,varb_2,varb_3,varb_4,varb_5; 
	scanf(""%d"",&varb_4);
	for(varb_1=0;varb_1<varb_4;varb_1++)
	{
	 scanf(""%d"",&varb_0[varb_1]);
	}
	for(varb_1=0;varb_1<varb_4-1;varb_1++)
	{
		varb_2=varb_0[varb_1];
		varb_3=varb_0[varb_1+1];
		varb_0[varb_1]=varb_2-varb_3;
	 } 
	for(varb_1=0,varb_5=1;varb_1<varb_4-1;varb_1++)
	{
		printf(""%d "",varb_0[varb_1]);
		varb_5++;
		if(varb_5%3==0)
		printf(""\n"");
	}
}",15
1,2c9f30a56e72f8ae016e78356a6c0352,"#include<stdio.h>
main()
{
	char a[10];
	int num,step,t;
	int v;
	scanf(""%d"",&num);
	for(t=0;t<num;t++)
	{
		scanf(""%s"",&a[t]);
	}
	for(step=0;step<num-1;step++)
	{
		printf(""%s "",a[step+1]-a[step]);
	    v++;
	    if(v%3==0)
	    printf(""\n"");	    
	}
	return 0;
 } ",0.0,"#include<stdio.h>
main()
{
	char varb_0[10];
	int varb_1,varb_2,varb_3;
	int varb_4;
	scanf(""%d"",&varb_1);
	for(varb_3=0;varb_3<varb_1;varb_3++)
	{
		scanf(""%s"",&varb_0[varb_3]);
	}
	for(varb_2=0;varb_2<varb_1-1;varb_2++)
	{
		printf(""%s "",varb_0[varb_2+1]-varb_0[varb_2]);
	    varb_4++;
	    if(varb_4%3==0)
	    printf(""\n"");	    
	}
	return 0;
 } ",4
2,2c9f30a56e72f8ae016e78356a6c0352,"#include <stdio.h>
int main()
{
	int n,m,a[10],i,j;
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
		scanf(""%d"",&a[i]);
	}
	for(i=0;i<n-1;i++)
	{
		j=i;
		a[j]=a[i+1]-a[i];		
	}
	for(i=0,m=1;i<n-1;i++,m++)
	{		
		if(i+1==n-1)
		{
		   printf(""%d\n"",a[i]);
		}
		else
		{
			printf(""%d "",a[i]);
		}
		if(m%3==0)
		printf(""\n"");	
	}
	
}",0.0,"#include <stdio.h>
int main()
{
	int varb_0,varb_1,varb_2[10],varb_3,varb_4;
	scanf(""%d"",&varb_0);
	for(varb_3=0;varb_3<varb_0;varb_3++)
	{
		scanf(""%d"",&varb_2[varb_3]);
	}
	for(varb_3=0;varb_3<varb_0-1;varb_3++)
	{
		varb_4=varb_3;
		varb_2[varb_4]=varb_2[varb_3+1]-varb_2[varb_3];		
	}
	for(varb_3=0,varb_1=1;varb_3<varb_0-1;varb_3++,varb_1++)
	{		
		if(varb_3+1==varb_0-1)
		{
		   printf(""%d\n"",varb_2[varb_3]);
		}
		else
		{
			printf(""%d "",varb_2[varb_3]);
		}
		if(varb_1%3==0)
		printf(""\n"");	
	}
}",19
3,2c9f30a56e72f8ae016e78356a6c0352,"#include<stdio.h>
int main()
{
   int sb[100];int a,b,c,n;
   scanf(""%d"",&n);
  for(a=1;a<=n;a++)
      scanf(""%d"",&sb[a]);
    for(b=1;b<=n;b++)
    {
    c=sb[b+1]-sb[b];
    printf(""%d "",c);
    if(b%3==0)printf(""\n"");
    }

}",0.0,"#include<stdio.h>
int main()
{
   int varb_0[100];int varb_1,varb_2,varb_3,varb_4;
   scanf(""%d"",&varb_4);
  for(varb_1=1;varb_1<=varb_4;varb_1++)
      scanf(""%d"",&varb_0[varb_1]);
    for(varb_2=1;varb_2<=varb_4;varb_2++)
    {
    varb_3=varb_0[varb_2+1]-varb_0[varb_2];
    printf(""%d "",varb_3);
    if(varb_2%3==0)printf(""\n"");
    }
}",8
4,2c9f30a56e72f8ae016e78356a6c0352,"#include<stdio.h>
int main()
{
	int a[10],length,b,d,i,g=1;
    scanf(""%d"",&length);
	for(b=0;b<10;b++)
	{
		scanf(""%d"",&a[b]);
	}
	for(d=0;d<length;d++)
	{
	    g++;
		i=a[d+1]-a[d];
        if(g%3==0)
		printf(""%d\n"",i);
		else
		printf(""%d "",i);
	}
	
}
",0.0,"#include<stdio.h>
int main()
{
	int varb_0[10],length,b,d,i,g=1;
    scanf(""%d"",&length);
	for(b=0;b<10;b++)
	{
		scanf(""%d"",&varb_0[b]);
	}
	for(d=0;d<length;d++)
	{
	    g++;
		i=varb_0[d+1]-varb_0[d];
        if(g%3==0)
		printf(""%d\n"",i);
		else
		printf(""%d "",i);
	}
}
",10
5,2c9f30a56e72f8ae016e78356a6c0352,"#include<stdio.h>
main()
{
	char a[10];
	int num,step,t;
	int v;
	scanf(""%d"",&num);
	for(t=0;t<num;t++)
	{
		scanf(""%d"",&a[t]);
	}
	for(step=0;step<num;step++)
	{
		printf(""%d "",a[step+1]-a[step]);
	    v++;
	    if(v%3==0)
	    printf(""\n"");
	    
	}
	return 0;
 } ",0.0,"#include<stdio.h>
main()
{
	char varb_0[10];
	int varb_1,varb_2,varb_3;
	int varb_4;
	scanf(""%d"",&varb_1);
	for(varb_3=0;varb_3<varb_1;varb_3++)
	{
		scanf(""%d"",&varb_0[varb_3]);
	}
	for(varb_2=0;varb_2<varb_1;varb_2++)
	{
		printf(""%d "",varb_0[varb_2+1]-varb_0[varb_2]);
	    varb_4++;
	    if(varb_4%3==0)
	    printf(""\n"");
	}
	return 0;
 } ",4
6,2c9f30a56e72f8ae016e78356a6c0352,"#include<stdio.h>

int main()

{
  int i,n,a[n];
  scanf(""%d"",&n);
  printf(""\n"");
  for(i=0;i<n;i++)
  scanf(""%d "",&a[i]);
  for(i=0;i<n-1;i++)
   a[i]=a[i+1]-a[i];
  for(i=0;i<n;i++)
  if((i+1)%3==0)
    printf(""%d\n"",a[i]);
  else
    printf(""%d "",a[i]);
return 0;
  
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2[varb_1];
  scanf(""%d"",&varb_1);
  printf(""\n"");
  for(varb_0=0;varb_0<varb_1;varb_0++)
  scanf(""%d "",&varb_2[varb_0]);
  for(varb_0=0;varb_0<varb_1-1;varb_0++)
   varb_2[varb_0]=varb_2[varb_0+1]-varb_2[varb_0];
  for(varb_0=0;varb_0<varb_1;varb_0++)
  if((varb_0+1)%3==0)
    printf(""%d\n"",varb_2[varb_0]);
  else
    printf(""%d "",varb_2[varb_0]);
return 0;
}",4
7,2c9f30a56e72f8ae016e78356a6c0352,"#include <stdio.h>
int main()
{
int n,i;
scanf(""%d\n"",&n);
int a[n];
for(i=0;i<n;i++)
{
scanf(""%d"",&a[i]);
}
printf(""%d\n"",n);
for(i=0;i<n-1;i++)
{
a[i]=a[i+1]-a[i];
}
for(i=0;i<n-1;i++)
{
printf(""%d "",a[i]);
if((i+1)%3==0)
printf(""\n"");
}
}










",0.0,"#include <stdio.h>
int main()
{
int varb_0,varb_1;
scanf(""%d\n"",&varb_0);
int varb_2[varb_0];
for(varb_1=0;varb_1<varb_0;varb_1++)
{
scanf(""%d"",&varb_2[varb_1]);
}
printf(""%d\n"",varb_0);
for(varb_1=0;varb_1<varb_0-1;varb_1++)
{
varb_2[varb_1]=varb_2[varb_1+1]-varb_2[varb_1];
}
for(varb_1=0;varb_1<varb_0-1;varb_1++)
{
printf(""%d "",varb_2[varb_1]);
if((varb_1+1)%3==0)
printf(""\n"");
}
}
",11
8,2c9f30a56e72f8ae016e78356a6c0352,"#include<stdio.h>
int main()
{
int n;
scanf(""%d"",&n);
int a[n],i,j,num[9];
for(i=0;i<n;i++)
scanf(""%d"",&a[i]);
for(j=0,i=1;j<9&&i<=9;j++,i++)
{num[j]=a[i]-a[i-1];
scanf(""%d"",&num[j]);}
for(j=0;j<9;j++)
{
if((j+1)%3!=0)
printf(""%d "",num[j]);
else
printf(""%d\n"",num[j]);
}
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0;
scanf(""%d"",&varb_0);
int varb_1[varb_0],i,j,num[9];
for(i=0;i<varb_0;i++)
scanf(""%d"",&varb_1[i]);
for(j=0,i=1;j<9&&i<=9;j++,i++)
{num[j]=varb_1[i]-varb_1[i-1];
scanf(""%d"",&num[j]);}
for(j=0;j<9;j++)
{
if((j+1)%3!=0)
printf(""%d "",num[j]);
else
printf(""%d\n"",num[j]);
}
return 0;
}",6
9,2c9f30a56e72f8ae016e78356a6c0352,"#include<stdio.h>
#include<math.h>
int main()
{
    int n;
    scanf(""%d"",&n);
    int i,num[100],js[100];
    scanf(""%d"",&num[0]);
    for(i=1;i<n;i++)
    {
    	scanf(""%d"",&num[i]);
    	js[i-1]=num[i]-num[i-1];
	}
	for(i=1;i<=n;i++)
	{
		printf(""%2d"",num[i-1]);
		
		
			if(i%3!=0&&i!=n)
		printf("" "");
				else if(i%3==0&&i!=n)
		printf(""\n"");
		
	}
}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
    int varb_0;
    scanf(""%d"",&varb_0);
    int varb_1,varb_2[100],varb_3[100];
    scanf(""%d"",&varb_2[0]);
    for(varb_1=1;varb_1<varb_0;varb_1++)
    {
    	scanf(""%d"",&varb_2[varb_1]);
    	varb_3[varb_1-1]=varb_2[varb_1]-varb_2[varb_1-1];
	}
	for(varb_1=1;varb_1<=varb_0;varb_1++)
	{
		printf(""%2d"",varb_2[varb_1-1]);
			if(varb_1%3!=0&&varb_1!=varb_0)
		printf("" "");
				else if(varb_1%3==0&&varb_1!=varb_0)
		printf(""\n"");
	}
}",14
