,id,code,is_true,format_code,errorline
0,2c9f30a56e72f8ae016e78909af70433,"#include <stdio.h>  
int main()  
{  
int a[6][6],n;  
scanf(""%d"",&n);  
int i,j;  
for(i=0; i<n; i++)  
   for(j=0; j<n; j++)   
      scanf(""%d"",&a[i][j]);   
int k=0,y=0,flag=1,p=0;  
if(n==1)  
   printf(""0 0"");
else  
 {  
  for(i=0; i<n; i++)  
    {                        
       for(p=0; p<n; p++)
         {  
          if(a[i][k]<=a[i][p]) 
             k=p;               
         }  
       for(j=0; j<n; j++)
         {  
          if(a[i][k]>=a[j][k]) 
            {  
             y=j;  
            
            }  
         }  
       if(i==y)
        {  
         flag=0;  
         break;  
        }  
    }  
  if(flag==0)  
     printf(""%d %d"",i,k);  
  else 
	    		printf(""NONE"");  
 }     
    return 0;  
}  ",0.0,"#include <stdio.h>  
int main()  
{  
int varb_0[6][6],n;  
scanf(""%d"",&n);  
int varb_1,varb_2;  
for(varb_1=0; varb_1<n; varb_1++)  
   for(varb_2=0; varb_2<n; varb_2++)   
      scanf(""%d"",&varb_0[varb_1][varb_2]);   
int varb_3=0,y=0,flag=1,p=0;  
if(n==1)  
   printf(""0 0"");
else  
 {  
  for(varb_1=0; varb_1<n; varb_1++)  
    {                        
       for(p=0; p<n; p++)
         {  
          if(varb_0[varb_1][varb_3]<=varb_0[varb_1][p]) 
             varb_3=p;               
         }  
       for(varb_2=0; varb_2<n; varb_2++)
         {  
          if(varb_0[varb_1][varb_3]>=varb_0[varb_2][varb_3]) 
            {  
             y=varb_2;  
            }  
         }  
       if(varb_1==y)
        {  
         flag=0;  
         break;  
        }  
    }  
  if(flag==0)  
     printf(""%d %d"",varb_1,varb_3);  
  else 
	    		printf(""NONE"");  
 }     
    return 0;  
}  ",24
1,2c9f30a56e72f8ae016e78909af70433,"#include <stdio.h>  
int main()  
{  
    int a[6][6],n;  
    scanf(""%d"",&n);  
    int i,j;  
    for(i=0; i<n; i++)  
        for(j=0; j<n; j++)  
        {  
            scanf(""%d"",&a[i][j]);  
        }  
    int k=0,y=0,flag=1,p=0;  
    if(n==1)  
        printf(""0 0"");
    else  
    {  
        for(i=0; i<n; i++)  
        {  
           
            for(p=0; p<n; p++)
            {  
                if(a[i][k]<=a[i][p])  
                    k=p;             
            }  
            for(j=0; j<n; j++)
            {  
                if(a[i][k]>a[j][k]) 
                {  
                    y=j;  
                    break;  
                }  
            }  
            if(i==y)
            {  
                flag=0;  
                break;  
            }  
        }  
        if(flag==0)  
            printf(""%d %d"",i,k);  
        else 
			printf(""NONE"");  
    }  
    return 0;  
}  ",0.0,"#include <stdio.h>  
int main()  
{  
    int varb_0[6][6],n;  
    scanf(""%d"",&n);  
    int varb_1,varb_2;  
    for(varb_1=0; varb_1<n; varb_1++)  
        for(varb_2=0; varb_2<n; varb_2++)  
        {  
            scanf(""%d"",&varb_0[varb_1][varb_2]);  
        }  
    int varb_3=0,y=0,flag=1,p=0;  
    if(n==1)  
        printf(""0 0"");
    else  
    {  
        for(varb_1=0; varb_1<n; varb_1++)  
        {  
            for(p=0; p<n; p++)
            {  
                if(varb_0[varb_1][varb_3]<=varb_0[varb_1][p])  
                    varb_3=p;             
            }  
            for(varb_2=0; varb_2<n; varb_2++)
            {  
                if(varb_0[varb_1][varb_3]>varb_0[varb_2][varb_3]) 
                {  
                    y=varb_2;  
                    break;  
                }  
            }  
            if(varb_1==y)
            {  
                flag=0;  
                break;  
            }  
        }  
        if(flag==0)  
            printf(""%d %d"",varb_1,varb_3);  
        else 
			printf(""NONE"");  
    }  
    return 0;  
}  ",26
2,2c9f30a56e72f8ae016e78909af70433,"#include<stdio.h>
main()
{
int n,max,min,i,j,m,N;
scanf(""%d"",&n);
int a[n][n];
for(i=0;i<n;i++)
{ for(j=0;j<n;j++)
  scanf(""%d"",&a[i][j]);
}
for(i=0;i<n;i++)
 {max=a[i][0];
  for(j=0;j<n;j++)
   {if(max<a[i][j])
    {max=a[i][j];
     m=j;
     }
   }
  min=a[0][m];
  for(j=0;j<n;j++)
  {if(min>a[j][m])
   {min=a[j][m];
   N=j;
   }
   }
   if(min==max)
   printf(""%d %d"",N,m);
}
}",0.0,"#include<stdio.h>
main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6;
scanf(""%d"",&varb_0);
int varb_7[varb_0][varb_0];
for(varb_3=0;varb_3<varb_0;varb_3++)
{ for(varb_4=0;varb_4<varb_0;varb_4++)
  scanf(""%d"",&varb_7[varb_3][varb_4]);
}
for(varb_3=0;varb_3<varb_0;varb_3++)
 {varb_1=varb_7[varb_3][0];
  for(varb_4=0;varb_4<varb_0;varb_4++)
   {if(varb_1<varb_7[varb_3][varb_4])
    {varb_1=varb_7[varb_3][varb_4];
     varb_5=varb_4;
     }
   }
  varb_2=varb_7[0][varb_5];
  for(varb_4=0;varb_4<varb_0;varb_4++)
  {if(varb_2>varb_7[varb_4][varb_5])
   {varb_2=varb_7[varb_4][varb_5];
   varb_6=varb_4;
   }
   }
   if(varb_2==varb_1)
   printf(""%d %d"",varb_6,varb_5);
}
}",27
3,2c9f30a56e72f8ae016e78909af70433,"#include <stdio.h>  
int main()  
{  
int a[6][6],n;  
scanf(""%d"",&n);  
int i,j;  
for(i=0; i<n; i++)  
   for(j=0; j<n; j++)   
      scanf(""%d"",&a[i][j]);   
int k=0,y=0,flag=1,p=0;  
if(n==1)  
   printf(""0 0"");
else  
 {  
  for(i=0; i<n; i++)  
    {                        
       for(p=0; p<n; p++)
         {  
          if(a[i][k]<=a[i][p]) 
             k=p;               
         }  
       for(j=0; j<n; j++)
         {  
          if(a[i][k]>a[j][k]) 
            {  
             y=j;  
            break;
            }  
         }  
       if(i==y)
        {  
         flag=0;  
         break;  
        }  
    }  
  if(flag==0)  
     printf(""%d %d"",i,k);  
  else 
	    		printf(""NONE"");  
 }     
    return 0;  
}  ",0.0,"#include <stdio.h>  
int main()  
{  
int varb_0[6][6],n;  
scanf(""%d"",&n);  
int varb_1,varb_2;  
for(varb_1=0; varb_1<n; varb_1++)  
   for(varb_2=0; varb_2<n; varb_2++)   
      scanf(""%d"",&varb_0[varb_1][varb_2]);   
int varb_3=0,y=0,flag=1,p=0;  
if(n==1)  
   printf(""0 0"");
else  
 {  
  for(varb_1=0; varb_1<n; varb_1++)  
    {                        
       for(p=0; p<n; p++)
         {  
          if(varb_0[varb_1][varb_3]<=varb_0[varb_1][p]) 
             varb_3=p;               
         }  
       for(varb_2=0; varb_2<n; varb_2++)
         {  
          if(varb_0[varb_1][varb_3]>varb_0[varb_2][varb_3]) 
            {  
             y=varb_2;  
            break;
            }  
         }  
       if(varb_1==y)
        {  
         flag=0;  
         break;  
        }  
    }  
  if(flag==0)  
     printf(""%d %d"",varb_1,varb_3);  
  else 
	    		printf(""NONE"");  
 }     
    return 0;  
}  ",24
4,2c9f30a56e72f8ae016e78909af70433,"#include<stdio.h>
int main()
{
    int n,i,j,k,l,m,ret=1,temp;
    scanf(""%d"",&n);
    int a[n][n];
    for(i=0;i<n;i++)
    {
        for(j=0;j<n;j++)
        {
            scanf(""%d"",&a[i][j]);
         }
     }
     for(i=0;i<n;i++)
    {
        
        for(j=0;j<n;j++)
        {
        ret=0;
            for(k=0;k<n;k++)
            {
                if(a[i][j]>=a[i][k]) ret=1,l=i;
                else break;
                if(a[i][j]<=a[k][j]) ret=1,m=j;
                else break;
                 
                     
             }
          }
     }
     if(ret==1)
     printf(""%d %d"",i,j);
     else
    printf(""NONE"");
 }
         ",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6=1,varb_7;
    scanf(""%d"",&varb_0);
    int varb_8[varb_0][varb_0];
    for(varb_1=0;varb_1<varb_0;varb_1++)
    {
        for(varb_2=0;varb_2<varb_0;varb_2++)
        {
            scanf(""%d"",&varb_8[varb_1][varb_2]);
         }
     }
     for(varb_1=0;varb_1<varb_0;varb_1++)
    {
        for(varb_2=0;varb_2<varb_0;varb_2++)
        {
        varb_6=0;
            for(varb_3=0;varb_3<varb_0;varb_3++)
            {
                if(varb_8[varb_1][varb_2]>=varb_8[varb_1][varb_3]) varb_6=1,varb_4=varb_1;
                else break;
                if(varb_8[varb_1][varb_2]<=varb_8[varb_3][varb_2]) varb_6=1,varb_5=varb_2;
                else break;
             }
          }
     }
     if(varb_6==1)
     printf(""%d %d"",varb_1,varb_2);
     else
    printf(""NONE"");
 }
",18
5,2c9f30a56e72f8ae016e78909af70433,"#include <stdio.h>
#include <string.h>
int hang( int a[6][6], int j, int k, int n);
int lie( int a[6][6], int j, int k, int n);

int main()
{
	int n,j,k,p=0;
	int a[6][6]={0};
	scanf(""%d"",&n);
	for(j=0;j<n;j++)
	{
		for(k=0;k<n;k++)
		{
			scanf(""%d"",a[j]+k);
		}
	} 
	
	for(j=0;j<n;j++)
	{
		for(k=0;k<n;k++)
		{
			if( hang(a,j,k,n) && lie(a,j,k,n))
			{
				printf(""%d %d"",j,k);
				p=1;
				break;
			}
		}
	}
	if(p==0)
		printf(""NONE"");
			 
}

int hang(int a[6][6], int j, int k, int n)
{
	int i,p=0;
	for(i=0;i<n;i++)
	   {
	   		if(a[j][k]>=a[j][i])
	   		p=1;
	   		break;
	   }
	return p;
}

int lie(int a[6][6], int j, int k, int n)
{
	int i,p=0;
	for(i=0;i<n;i++)
	   {
	   		if(a[j][k]<=a[i][k])
	   		p=1;
	   }
	return p;
}
	   
	   
	   
	   
	   
	   ",0.0,"#include <stdio.h>
#include <string.h>
int func_0( int varb_0[6][6], int varb_1, int varb_2, int varb_3);
int func_2( int varb_0[6][6], int varb_1, int varb_2, int varb_3);
int main()
{
	int varb_3,varb_1,varb_2,varb_7=0;
	int varb_0[6][6]={0};
	scanf(""%d"",&varb_3);
	for(varb_1=0;varb_1<varb_3;varb_1++)
	{
		for(varb_2=0;varb_2<varb_3;varb_2++)
		{
			scanf(""%d"",varb_0[varb_1]+varb_2);
		}
	} 
	for(varb_1=0;varb_1<varb_3;varb_1++)
	{
		for(varb_2=0;varb_2<varb_3;varb_2++)
		{
			if( func_0(varb_0,varb_1,varb_2,varb_3) && func_2(varb_0,varb_1,varb_2,varb_3))
			{
				printf(""%d %d"",varb_1,varb_2);
				varb_7=1;
				break;
			}
		}
	}
	if(varb_7==0)
		printf(""NONE"");
}
int func_0(int varb_0[6][6], int varb_1, int varb_2, int varb_3)
{
	int varb_12,varb_7=0;
	for(varb_12=0;varb_12<varb_3;varb_12++)
	   {
	   		if(varb_0[varb_1][varb_2]>=varb_0[varb_1][varb_12])
	   		varb_7=1;
	   		break;
	   }
	return varb_7;
}
int func_2(int varb_0[6][6], int varb_1, int varb_2, int varb_3)
{
	int varb_12,varb_7=0;
	for(varb_12=0;varb_12<varb_3;varb_12++)
	   {
	   		if(varb_0[varb_1][varb_2]<=varb_0[varb_12][varb_2])
	   		varb_7=1;
	   }
	return varb_7;
}
",23
6,2c9f30a56e72f8ae016e78909af70433,"#include <stdio.h>
int main()	
{	
   	int found,i,j,n;
   	int b=0,c,d;
    int flag=1;
   	int a[10][10];
   	scanf (""%d"",&n);
   	for(i=0;i<n;i++)	
   		for(j=0;j<n;j++)
			scanf(""%d"",&a[i][j]);
    for(i=0;i<n;i++)
    {
       d=i;
		for(j=0;j<n;j++)//循环找出每行中最大的数
   		  if(a[i][b]<=a[i][j])
   			   b=j; 
		for(c=0;c<n;c++)//循环判断最大数所在的列是否为最小数
		   if(a[d][b]>a[c][b])
		   {
		   	   d=c;
           flag=0;
			    break;
		   } 
	   if(flag=1)
       break;
      /* if(i==d)
     { 
        flag=0;
	     break;
     }*/
   	}
	if(flag==1)
	  printf(""%d %d"",i,j);
	else
	  printf(""NONE"");
	return 0; 
}",0.0,"#include <stdio.h>
int main()	
{	
   	int varb_0,varb_1,varb_2,varb_3;
   	int varb_4=0,c,d;
    int varb_5=1;
   	int varb_6[10][10];
   	scanf(""%d"",&varb_3);
   	for(varb_1=0;varb_1<varb_3;varb_1++)	
   		for(varb_2=0;varb_2<varb_3;varb_2++)
			scanf(""%d"",&varb_6[varb_1][varb_2]);
    for(varb_1=0;varb_1<varb_3;varb_1++)
    {
       d=varb_1;
		for(varb_2=0;varb_2<varb_3;varb_2++)
   		  if(varb_6[varb_1][varb_4]<=varb_6[varb_1][varb_2])
   			   varb_4=varb_2; 
		for(c=0;c<varb_3;c++)
		   if(varb_6[d][varb_4]>varb_6[c][varb_4])
		   {
		   	   d=c;
           varb_5=0;
			    break;
		   } 
	   if(varb_5=1)
       break;
   	}
	if(varb_5==1)
	  printf(""%d %d"",varb_1,varb_2);
	else
	  printf(""NONE"");
	return 0; 
}",22
7,2c9f30a56e72f8ae016e78909af70433,"#include <stdio.h>
#include <string.h>
int main()
{
	int n,j,i,max,min,t;
	scanf(""%d"",&n);
	int num[n][n];
	for(i=0; i<n; i++)
	{    
	for(j=0; j<n; j++)
	{       
	 scanf(""%d"",&num[i][j]);
	}
	}
	for(i=0;i<n;i++)
	{
	j=0;
	max=num[i][j];
	for(;j<n;j++)
	{
	if(max<num[i][j])
	{
	max=num[i][j];	
	}
	}
	for(t=0;t<n;t++)
	{
	    if(num[t][j]<=max&&t!=i)
	{
		break;
	}		
	}
	if(t==n)
	{
		printf(""%d %d"",i,j);
		break;
	}
	}
	if(i==n)
	{
		printf(""NONE"");
	}
}",0.0,"#include <stdio.h>
#include <string.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
	scanf(""%d"",&varb_0);
	int varb_6[varb_0][varb_0];
	for(varb_2=0; varb_2<varb_0; varb_2++)
	{    
	for(varb_1=0; varb_1<varb_0; varb_1++)
	{       
	 scanf(""%d"",&varb_6[varb_2][varb_1]);
	}
	}
	for(varb_2=0;varb_2<varb_0;varb_2++)
	{
	varb_1=0;
	varb_3=varb_6[varb_2][varb_1];
	for(;varb_1<varb_0;varb_1++)
	{
	if(varb_3<varb_6[varb_2][varb_1])
	{
	varb_3=varb_6[varb_2][varb_1];	
	}
	}
	for(varb_5=0;varb_5<varb_0;varb_5++)
	{
	    if(varb_6[varb_5][varb_1]<=varb_3&&varb_5!=varb_2)
	{
		break;
	}		
	}
	if(varb_5==varb_0)
	{
		printf(""%d %d"",varb_2,varb_1);
		break;
	}
	}
	if(varb_2==varb_0)
	{
		printf(""NONE"");
	}
}",5
8,2c9f30a56e72f8ae016e78909af70433,"#include <stdio.h>
#include <stdlib.h>

int main()
{
    int n;
    int i,j,k;
    int hang,lie;
    scanf(""%d"",&n);
    int a[6][6]={0};
    for(i=0;i<n;i++)//输入矩阵
    {
        for(j=0;j<n;j++)
        {
            scanf(""%d"",&a[i][j]);
        }
    }
    int max;
    for(i=0;i<n;i++)//找一行中最大的数
    {
        max=a[i][0];
        for(j=0;j<n;j++)
        {
            if(a[i][j]>max)
                {
                    max=a[i][j];
                    hang=i;
                    lie=j;
                }
        }
        for(k=0;k<n;k++)//这个数在这一列是不是最小的
        {
            if(a[k][lie]<a[hang][lie])
                break;
        }
        if(k==n)
        {
            printf(""%d %d\n"",hang,lie);
            break;
        }
    }
    if(k!=n)
        printf(""None"");
    return 0;
}

",0.0,"#include <stdio.h>
#include <stdlib.h>
int main()
{
    int varb_0;
    int varb_1,varb_2,varb_3;
    int varb_4,varb_5;
    scanf(""%d"",&varb_0);
    int varb_6[6][6]={0};
    for(varb_1=0;varb_1<varb_0;varb_1++)
    {
        for(varb_2=0;varb_2<varb_0;varb_2++)
        {
            scanf(""%d"",&varb_6[varb_1][varb_2]);
        }
    }
    int varb_7;
    for(varb_1=0;varb_1<varb_0;varb_1++)
    {
        varb_7=varb_6[varb_1][0];
        for(varb_2=0;varb_2<varb_0;varb_2++)
        {
            if(varb_6[varb_1][varb_2]>varb_7)
                {
                    varb_7=varb_6[varb_1][varb_2];
                    varb_4=varb_1;
                    varb_5=varb_2;
                }
        }
        for(varb_3=0;varb_3<varb_0;varb_3++)
        {
            if(varb_6[varb_3][varb_5]<varb_6[varb_4][varb_5])
                break;
        }
        if(varb_3==varb_0)
        {
            printf(""%d %d\n"",varb_4,varb_5);
            break;
        }
    }
    if(varb_3!=varb_0)
        printf(""None"");
    return 0;
}
",42
9,2c9f30a56e72f8ae016e78909af70433,"#include<stdio.h>
int main()
{
    int i,j,n,m,temp,max,min,k,flag;
    int a[100][100];
    scanf(""%d"",&n);
    for(i=0; i<n; i++)
    {
        for(j=0; j<n; j++)
        {
            scanf(""%d"",&a[i][j]);
        }
    }
    for(i=0,temp=0; i<n; i++)
    {
        max=a[i][0];
        for(j=1; j<n; j++)
        {
            if(a[i][j]>max)
                max=a[i][j],temp=j;
        }
        min=a[i][temp];
        for(k=0; k<n; k++)
        {
            if(a[k][temp]<min)
                min=a[k][temp];
        }
        if(max==min)
            printf(""%d %d"",i,temp),flag=0;
    }
    if(flag)
        printf(""NONE"");
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6,varb_7,varb_8;
    int varb_9[100][100];
    scanf(""%d"",&varb_2);
    for(varb_0=0; varb_0<varb_2; varb_0++)
    {
        for(varb_1=0; varb_1<varb_2; varb_1++)
        {
            scanf(""%d"",&varb_9[varb_0][varb_1]);
        }
    }
    for(varb_0=0,varb_4=0; varb_0<varb_2; varb_0++)
    {
        varb_5=varb_9[varb_0][0];
        for(varb_1=1; varb_1<varb_2; varb_1++)
        {
            if(varb_9[varb_0][varb_1]>varb_5)
                varb_5=varb_9[varb_0][varb_1],varb_4=varb_1;
        }
        varb_6=varb_9[varb_0][varb_4];
        for(varb_7=0; varb_7<varb_2; varb_7++)
        {
            if(varb_9[varb_7][varb_4]<varb_6)
                varb_6=varb_9[varb_7][varb_4];
        }
        if(varb_5==varb_6)
            printf(""%d %d"",varb_0,varb_4),varb_8=0;
    }
    if(varb_8)
        printf(""NONE"");
}",4
