,id,code,is_true,format_code,errorline
0,2c9f30a56eaa009f016eb4b00bf8147b,"#include<stdio.h>
int main()
{   int a,b,c,e,f;
    scanf(""%d"",&a);
    int d[a];
    for(b=0; b<a; b++)
        scanf(""%d"",&d[b]);
    for(b=0; b<a; b++)
        for(e=0; e<a; e++)
            if(d[e]>=d[e+1])
            {   c=d[e+1];
                d[e+1]=d[e];
                d[e]=c;
            }
    for(b=0; b<a; b++)
        printf("" %d "",d[b]);
}",0.0,"#include<stdio.h>
int main()
{   int varb_0,varb_1,varb_2,varb_3,varb_4;
    scanf(""%d"",&varb_0);
    int varb_5[varb_0];
    for(varb_1=0; varb_1<varb_0; varb_1++)
        scanf(""%d"",&varb_5[varb_1]);
    for(varb_1=0; varb_1<varb_0; varb_1++)
        for(varb_3=0; varb_3<varb_0; varb_3++)
            if(varb_5[varb_3]>=varb_5[varb_3+1])
            {   varb_2=varb_5[varb_3+1];
                varb_5[varb_3+1]=varb_5[varb_3];
                varb_5[varb_3]=varb_2;
            }
    for(varb_1=0; varb_1<varb_0; varb_1++)
        printf("" %d "",varb_5[varb_1]);
}",9
1,2c9f30a56eaa009f016eb4b00bf8147b,"#include <stdio.h>
int main ()
{
int a[10];
int i,j,t,n;
scanf(""%d"",&n);
for(i=0;i<n;i++)
scanf(""%d"",&a[i]);
for(i=n-1;i>0;--i)
{
for(j=0;j<i;j++)
{
if(a[j]>a[j+1])
{
t=a[j];
a[j]=a[j+1];
a[j+1]=t;
}}
printf(""%d "",a[i]);
}
}",0.0,"#include <stdio.h>
int main()
{
int varb_0[10];
int varb_1,varb_2,varb_3,varb_4;
scanf(""%d"",&varb_4);
for(varb_1=0;varb_1<varb_4;varb_1++)
scanf(""%d"",&varb_0[varb_1]);
for(varb_1=varb_4-1;varb_1>0;--varb_1)
{
for(varb_2=0;varb_2<varb_1;varb_2++)
{
if(varb_0[varb_2]>varb_0[varb_2+1])
{
varb_3=varb_0[varb_2];
varb_0[varb_2]=varb_0[varb_2+1];
varb_0[varb_2+1]=varb_3;
}}
printf(""%d "",varb_0[varb_1]);
}
}",9
2,2c9f30a56eaa009f016eb4b00bf8147b,"#include<stdio.h>
int main()
{
int n,i,j,temp,a[n];
scanf(""%d"",&n);
for(i=n-1;i>0;--i)
{
for(j=0;j<i-1;++j)
{
if(a[j]>a[j+1])
{
temp=a[j];
a[j]=a[j+1];
a[j+1]=temp;
}
}
}
for(i=0;i<=n-1;i++)
{
printf(""%d"",a[i]);
}
return 0;
}
",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4[varb_0];
scanf(""%d"",&varb_0);
for(varb_1=varb_0-1;varb_1>0;--varb_1)
{
for(varb_2=0;varb_2<varb_1-1;++varb_2)
{
if(varb_4[varb_2]>varb_4[varb_2+1])
{
varb_3=varb_4[varb_2];
varb_4[varb_2]=varb_4[varb_2+1];
varb_4[varb_2+1]=varb_3;
}
}
}
for(varb_1=0;varb_1<=varb_0-1;varb_1++)
{
printf(""%d"",varb_4[varb_1]);
}
return 0;
}
",4
3,2c9f30a56eaa009f016eb4b00bf8147b,"#include<stdio.h>
int main()
{
   
  int i,j,n,temp;
  scanf(""%d"",&n);
   int a[n];
  for(i=0;i<n;i++)
   scanf(""%d"",&a[i]);
   for(i=0;i<n;i++)
  { for(j=0;j<n-i;j++)
   if(a[j]>a[j+1])
   {
   temp=a[j];
   a[j]=a[j+1];
   a[j+1]=temp;
   }
  }
for(i=0;i<n;i++)
   printf(""%d "",a[i]);
   
   return 0;}",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3;
  scanf(""%d"",&varb_2);
   int varb_4[varb_2];
  for(varb_0=0;varb_0<varb_2;varb_0++)
   scanf(""%d"",&varb_4[varb_0]);
   for(varb_0=0;varb_0<varb_2;varb_0++)
  { for(varb_1=0;varb_1<varb_2-varb_0;varb_1++)
   if(varb_4[varb_1]>varb_4[varb_1+1])
   {
   varb_3=varb_4[varb_1];
   varb_4[varb_1]=varb_4[varb_1+1];
   varb_4[varb_1+1]=varb_3;
   }
  }
for(varb_0=0;varb_0<varb_2;varb_0++)
   printf(""%d "",varb_4[varb_0]);
   return 0;}",10
4,2c9f30a56eaa009f016eb4b00bf8147b,"#include<stdio.h>

int main()
{
    int n,a,b,c,d;
    scanf(""%d"",&n);
    int sb[n];
    for(a=0;a<n;a++)
    scanf(""%6d"",&sb[a]);
    for(c=0;c<n-1;c++)
    {
        for(d=0;d<n-c;d++)
        {
           if(sb[d]>=sb[d+1])
        {b=sb[d];sb[d]=sb[d+1];sb[d+1]=b;}    
        }  
    }
    for(a=0;a<n;a++)
    if(a<n) printf(""%d "",sb[a]);
     
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4;
    scanf(""%d"",&varb_0);
    int varb_5[varb_0];
    for(varb_1=0;varb_1<varb_0;varb_1++)
    scanf(""%6d"",&varb_5[varb_1]);
    for(varb_3=0;varb_3<varb_0-1;varb_3++)
    {
        for(varb_4=0;varb_4<varb_0-varb_3;varb_4++)
        {
           if(varb_5[varb_4]>=varb_5[varb_4+1])
        {varb_2=varb_5[varb_4];varb_5[varb_4]=varb_5[varb_4+1];varb_5[varb_4+1]=varb_2;}    
        }  
    }
    for(varb_1=0;varb_1<varb_0;varb_1++)
    if(varb_1<varb_0) printf(""%d "",varb_5[varb_1]);
    return 0;
}",7
5,2c9f30a56eaa009f016eb4b00bf8147b,"#include <stdio.h>
 main()
{
int sort(int a[], int size);
int num[10],i,n;
scanf(""%d"",&n);
for(i=0;i<n;i++)
scanf(""%d"",&num[i]);
sort(num, n);
}
int sort(int a[], int size)
{
int i, j, temp;
for(i= size-1;i>0;--i) 
{ 
for(j=0;j<i;++j)
{
 if(a[j]>a[j+1])
temp=a[j];
a[j]=a[j+1];
a[j+1]=temp;
}
}
for(j=0;j<size;j++)
printf(""%d "",a[j]);
}",0.0,"#include <stdio.h>
 main()
{
int func_0(int varb_0[], int size);
int varb_1[10],varb_2,n;
scanf(""%d"",&n);
for(varb_2=0;varb_2<n;varb_2++)
scanf(""%d"",&varb_1[varb_2]);
func_0(varb_1, n);
}
int func_0(int varb_0[], int size)
{
int varb_2, varb_3, varb_4;
for(varb_2= size-1;varb_2>0;--varb_2) 
{ 
for(varb_3=0;varb_3<varb_2;++varb_3)
{
 if(varb_0[varb_3]>varb_0[varb_3+1])
varb_4=varb_0[varb_3];
varb_0[varb_3]=varb_0[varb_3+1];
varb_0[varb_3+1]=varb_4;
}
}
for(varb_3=0;varb_3<size;varb_3++)
printf(""%d "",varb_0[varb_3]);
}",4
6,2c9f30a56eaa009f016eb4b00bf8147b,"#include<stdio.h>
int main()
{
	int a,n,b,z;
	scanf(""%d"",&n);
	int x[n];
	for(a=0;n>a;a++)
	{
		scanf(""%d"",&x[a]);
	}
	for(a=n;a>1;a--) 
	{
		for(b=a-1;b>0;b--)
		{
			if(x[b]<x[b-1])
			{
				z=x[b];
				x[b]=x[b-1];
				x[b-1]=z;
			}
		}
	}
	for(a=0;a<n;a++)
	{
		printf(""%d "",x[a]);
	}
 }",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	scanf(""%d"",&varb_1);
	int varb_4[varb_1];
	for(varb_0=0;varb_1>varb_0;varb_0++)
	{
		scanf(""%d"",&varb_4[varb_0]);
	}
	for(varb_0=varb_1;varb_0>1;varb_0--) 
	{
		for(varb_2=varb_0-1;varb_2>0;varb_2--)
		{
			if(varb_4[varb_2]<varb_4[varb_2-1])
			{
				varb_3=varb_4[varb_2];
				varb_4[varb_2]=varb_4[varb_2-1];
				varb_4[varb_2-1]=varb_3;
			}
		}
	}
	for(varb_0=0;varb_0<varb_1;varb_0++)
	{
		printf(""%d "",varb_4[varb_0]);
	}
 }",11
7,2c9f30a56eaa009f016eb4b00bf8147b,"#include <stdio.h>
int main()
{
    int i,j,n,temp;
    scanf(""%d"",&n);
    int num[n];
    for(i=0; i<n; i++)
        scanf(""%d"",&num[i]);

    for(i=0; i<n; i++)

    {
        for(j=(n-i-1); j>=0; j--)
        {
            if(num[j]<num[j-1])
            {
                temp=num[j];
                num[j]=num[j-1];
                num[j-1]=temp;
            }
        }
    }
    for(i=0; i<n; i++)
        printf(""%d "",num[i]);
    return 0;
}",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    scanf(""%d"",&varb_2);
    int varb_4[varb_2];
    for(varb_0=0; varb_0<varb_2; varb_0++)
        scanf(""%d"",&varb_4[varb_0]);
    for(varb_0=0; varb_0<varb_2; varb_0++)
    {
        for(varb_1=(varb_2-varb_0-1); varb_1>=0; varb_1--)
        {
            if(varb_4[varb_1]<varb_4[varb_1-1])
            {
                varb_3=varb_4[varb_1];
                varb_4[varb_1]=varb_4[varb_1-1];
                varb_4[varb_1-1]=varb_3;
            }
        }
    }
    for(varb_0=0; varb_0<varb_2; varb_0++)
        printf(""%d "",varb_4[varb_0]);
    return 0;
}",11
8,2c9f30a56eaa009f016eb4b00bf8147b,"#include<stdio.h>
#include<string.h> 
int main()
{
	int n,i,j,num;
	scanf(""%d"",&n);
	int a[n];
	for(i=0;i<n;i++)
		scanf(""%d"",&a[i]);
	for(j=0;j<n;j++)
	{
		for(i=0;i<n-j;i++)
		{
			if(a[i]>a[i+1])
			{
				num=a[i];
				a[i]=a[i+1];
				a[i+1]=num;
			}
			for(i=0;i<n;i++)
				printf(""%d"",a[i]);
			printf(""\n"");
		}
	}
	for(i=0;i<n;i++)
		printf(""%d"",a[i]);
}",0.0,"#include<stdio.h>
#include<string.h> 
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	scanf(""%d"",&varb_0);
	int varb_4[varb_0];
	for(varb_1=0;varb_1<varb_0;varb_1++)
		scanf(""%d"",&varb_4[varb_1]);
	for(varb_2=0;varb_2<varb_0;varb_2++)
	{
		for(varb_1=0;varb_1<varb_0-varb_2;varb_1++)
		{
			if(varb_4[varb_1]>varb_4[varb_1+1])
			{
				varb_3=varb_4[varb_1];
				varb_4[varb_1]=varb_4[varb_1+1];
				varb_4[varb_1+1]=varb_3;
			}
			for(varb_1=0;varb_1<varb_0;varb_1++)
				printf(""%d"",varb_4[varb_1]);
			printf(""\n"");
		}
	}
	for(varb_1=0;varb_1<varb_0;varb_1++)
		printf(""%d"",varb_4[varb_1]);
}",12
9,2c9f30a56eaa009f016eb4b00bf8147b,"#include<stdio.h>
main()
{
	int i,n,a[i],p,temp;
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
		scanf(""%d"",&a[i]);
	}
	for(i=1;i<n;i++)
	{
		for(p=n-1;p>=i;p--)
		{
			if(a[p]<=a[p-1])
			{
			  temp=a[p-1];
			  a[p-1]=a[p];
			  a[p]=temp;
			}
		}
	}
	
	
	for(i=0;i<n;i++)
	{
	printf(""%d "",a[i]);
	}
}",0.0,"#include<stdio.h>
main()
{
	int varb_0,varb_1,varb_2[varb_0],varb_4,varb_5;
	scanf(""%d"",&varb_1);
	for(varb_0=0;varb_0<varb_1;varb_0++)
	{
		scanf(""%d"",&varb_2[varb_0]);
	}
	for(varb_0=1;varb_0<varb_1;varb_0++)
	{
		for(varb_4=varb_1-1;varb_4>=varb_0;varb_4--)
		{
			if(varb_2[varb_4]<=varb_2[varb_4-1])
			{
			  varb_5=varb_2[varb_4-1];
			  varb_2[varb_4-1]=varb_2[varb_4];
			  varb_2[varb_4]=varb_5;
			}
		}
	}
	for(varb_0=0;varb_0<varb_1;varb_0++)
	{
	printf(""%d "",varb_2[varb_0]);
	}
}",4
