,id,code,is_true,format_code,errorline
0,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
void fm(int,int b[],int);
int main()
{  
  int n,m,key,i,j,k;
 scanf(""%d"",&n);
  int b[n]; 
  for(m=0;m<n;m++)
   scanf(""%d "",&b[m]);
   scanf(""%d"",&key);
for(i=n-1;i>0;i--)
{
  for(j=0;j<i;j++)
 {
   if(b[j]>b[j+1])
  {
     k=b[j];
     b[j]=b[j+1];
     b[j+1]=k;
             }
              }
                }
 fm(key,b,n);
}
void fm(int key,int b[],int n)
{
  int low=0,high,mid,l=0;
  high=n-1; 
  while(low<high)
{
  mid=(low+high)/2;
  if(key<b[mid])
  high=mid-1;
  else if(key>b[mid])
  low=mid+1;
  else if(key==b[mid])
  {
    printf(""Found"");
    l++;
    break;
   }
 }
    if(l==0)
   printf(""Not exist"");
}",0.0,"#include<stdio.h>
void func_0(int,int varb_0[],int);
int main()
{  
  int varb_1,varb_2,varb_3,varb_4,varb_5,varb_6;
 scanf(""%d"",&varb_1);
  int varb_0[varb_1]; 
  for(varb_2=0;varb_2<varb_1;varb_2++)
   scanf(""%d "",&varb_0[varb_2]);
   scanf(""%d"",&varb_3);
for(varb_4=varb_1-1;varb_4>0;varb_4--)
{
  for(varb_5=0;varb_5<varb_4;varb_5++)
 {
   if(varb_0[varb_5]>varb_0[varb_5+1])
  {
     varb_6=varb_0[varb_5];
     varb_0[varb_5]=varb_0[varb_5+1];
     varb_0[varb_5+1]=varb_6;
             }
              }
                }
 func_0(varb_3,varb_0,varb_1);
}
void func_0(int varb_3,int varb_0[],int varb_1)
{
  int varb_9=0,varb_10,varb_11,varb_12=0;
  varb_10=varb_1-1; 
  while(varb_9<varb_10)
{
  varb_11=(varb_9+varb_10)/2;
  if(varb_3<varb_0[varb_11])
  varb_10=varb_11-1;
  else if(varb_3>varb_0[varb_11])
  varb_9=varb_11+1;
  else if(varb_3==varb_0[varb_11])
  {
    printf(""Found"");
    varb_12++;
    break;
   }
 }
    if(varb_12==0)
   printf(""Not exist"");
}",29
1,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
int main()
{
	int n,key,beg=0,end,mid,a,b,z;
	scanf(""%d"",&n);
	int x[10];
	for(a=0;a<n;a++)
	{
		scanf(""%d"",&x[a]);
	}
	scanf(""%d"",&key);
	for(a=0;a<n;a++) 
	{
		for(b=a;b<n;b++)
		{
			if(x[b]<x[a])
			{
				z=x[b];
				x[b]=x[a];
				x[a]=z;
			}
		}
	}
	end=n;
	mid=n/2;
	while(beg<end)
	{
		if(x[mid]==key)
		{
			printf(""Found"");
			break;
		}
		else if(x[mid]<key)
		{
			beg=mid+1;
			mid=(beg+end)/2;
		}
		else if(x[mid]>key)
		{
			end=mid-1;
			mid=(beg+end)/2;
		}
	}
	if(beg>=end)
	{
		printf(""Not exist"");
	}
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2=0,varb_3,varb_4,varb_5,varb_6,varb_7;
	scanf(""%d"",&varb_0);
	int varb_8[10];
	for(varb_5=0;varb_5<varb_0;varb_5++)
	{
		scanf(""%d"",&varb_8[varb_5]);
	}
	scanf(""%d"",&varb_1);
	for(varb_5=0;varb_5<varb_0;varb_5++) 
	{
		for(varb_6=varb_5;varb_6<varb_0;varb_6++)
		{
			if(varb_8[varb_6]<varb_8[varb_5])
			{
				varb_7=varb_8[varb_6];
				varb_8[varb_6]=varb_8[varb_5];
				varb_8[varb_5]=varb_7;
			}
		}
	}
	varb_3=varb_0;
	varb_4=varb_0/2;
	while(varb_2<varb_3)
	{
		if(varb_8[varb_4]==varb_1)
		{
			printf(""Found"");
			break;
		}
		else if(varb_8[varb_4]<varb_1)
		{
			varb_2=varb_4+1;
			varb_4=(varb_2+varb_3)/2;
		}
		else if(varb_8[varb_4]>varb_1)
		{
			varb_3=varb_4-1;
			varb_4=(varb_2+varb_3)/2;
		}
	}
	if(varb_2>=varb_3)
	{
		printf(""Not exist"");
	}
	return 0;
}",24
2,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
void fm(int,int b[],int);
int main()
{  
  int n,m,key,i,j,k;
 scanf(""%d"",&n);
  int b[n]; 
  for(m=0;m<n;m++)
   scanf(""%d "",&b[m]);
   scanf(""%d"",&key);
for(i=n-1;i>0;i--)
{
  for(j=0;j<i;j++)
 {
   if(b[j]>b[j+1])
  {
     k=b[j];
     b[j]=b[j+1];
     b[j+1]=k;
             }
              }
                }
 fm(key,b,n);
}
void fm(int key,int b[],int n)
{
  int low=0,high,mid,l=0;
  high=n-1; 
  while(low<high)
{
  mid=(low+high)/2;
  if(key==b[mid])
  {
    printf(""Found"");
    l++;
    break;
   }
  else if(key<b[mid])
  high=mid-1;
  else
  low=mid+1;
 }
    if(l==0)
   printf(""Not exist"");
}",0.0,"#include<stdio.h>
void func_0(int,int varb_0[],int);
int main()
{  
  int varb_1,varb_2,varb_3,varb_4,varb_5,varb_6;
 scanf(""%d"",&varb_1);
  int varb_0[varb_1]; 
  for(varb_2=0;varb_2<varb_1;varb_2++)
   scanf(""%d "",&varb_0[varb_2]);
   scanf(""%d"",&varb_3);
for(varb_4=varb_1-1;varb_4>0;varb_4--)
{
  for(varb_5=0;varb_5<varb_4;varb_5++)
 {
   if(varb_0[varb_5]>varb_0[varb_5+1])
  {
     varb_6=varb_0[varb_5];
     varb_0[varb_5]=varb_0[varb_5+1];
     varb_0[varb_5+1]=varb_6;
             }
              }
                }
 func_0(varb_3,varb_0,varb_1);
}
void func_0(int varb_3,int varb_0[],int varb_1)
{
  int varb_9=0,varb_10,varb_11,varb_12=0;
  varb_10=varb_1-1; 
  while(varb_9<varb_10)
{
  varb_11=(varb_9+varb_10)/2;
  if(varb_3==varb_0[varb_11])
  {
    printf(""Found"");
    varb_12++;
    break;
   }
  else if(varb_3<varb_0[varb_11])
  varb_10=varb_11-1;
  else
  varb_9=varb_11+1;
 }
    if(varb_12==0)
   printf(""Not exist"");
}",29
3,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
main()
{
int n,key,temp;
scanf(""%d"",&n);
int a[n];
int i,j,start,end;
for(i=0;i<=n-1;i++)
{
scanf(""%d"",&a[i]);
}
scanf(""%d"",&key);
start=0; end=n-1;
for(i=n-1;i>0;i--)
{
for(j=0;j<i;j++)
{
if(a[j]>a[j+1])
{
temp=a[j];
a[j]=a[j+1];
a[j+1]=a[j];
}
}
}

while(start<=end)
{
j=(start+end)/2;
if(a[j]==key)
{
printf(""Found"");
return 0;
}
else if(a[j]<key)
end=j-1;
else 
start=j+1;
}

printf(""No exist"");
return 0;


}",0.0,"#include<stdio.h>
main()
{
int varb_0,varb_1,varb_2;
scanf(""%d"",&varb_0);
int varb_3[varb_0];
int varb_4,varb_5,varb_6,varb_7;
for(varb_4=0;varb_4<=varb_0-1;varb_4++)
{
scanf(""%d"",&varb_3[varb_4]);
}
scanf(""%d"",&varb_1);
varb_6=0; varb_7=varb_0-1;
for(varb_4=varb_0-1;varb_4>0;varb_4--)
{
for(varb_5=0;varb_5<varb_4;varb_5++)
{
if(varb_3[varb_5]>varb_3[varb_5+1])
{
varb_2=varb_3[varb_5];
varb_3[varb_5]=varb_3[varb_5+1];
varb_3[varb_5+1]=varb_3[varb_5];
}
}
}
while(varb_6<=varb_7)
{
varb_5=(varb_6+varb_7)/2;
if(varb_3[varb_5]==varb_1)
{
printf(""Found"");
return 0;
}
else if(varb_3[varb_5]<varb_1)
varb_7=varb_5-1;
else 
varb_6=varb_5+1;
}
printf(""No exist"");
return 0;
}",39
4,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
int main()
{
	int num[4000]={0};
	int n,i,j,sz;
	scanf(""%d"",&n);
	int nub[n+1];
	int key;
	
	for(i=0;i<n;i++)
	{   scanf(""%d"",&sz);
		num[sz]+=1;}

	scanf(""%d"",&key);
	
	int k=0;
	for(i=0;i<4000;i++){
	    if(num[i]!=0){
	      for(j=1;j<=num[i];j++)
	         nub[++k]=i;}}
	

	
	int left=1,right=n;
	int mid,flag=1;
	while(left<right){
	     mid=(left+right)>>1;
	     if(nub[mid]==key){flag=0;break;}
	     if(key>nub[mid]) left=mid+1;
	     if(key<nub[mid]) right=mid-1;}
	     
	     if(flag==0) printf(""Found"");
	     else  printf(""Not exist"");
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0[4000]={0};
	int varb_1,varb_2,varb_3,varb_4;
	scanf(""%d"",&varb_1);
	int varb_5[varb_1+1];
	int varb_6;
	for(varb_2=0;varb_2<varb_1;varb_2++)
	{   scanf(""%d"",&varb_4);
		varb_0[varb_4]+=1;}
	scanf(""%d"",&varb_6);
	int varb_7=0;
	for(varb_2=0;varb_2<4000;varb_2++){
	    if(varb_0[varb_2]!=0){
	      for(varb_3=1;varb_3<=varb_0[varb_2];varb_3++)
	         varb_5[++varb_7]=varb_2;}}
	int varb_8=1,right=varb_1;
	int varb_9,varb_10=1;
	while(varb_8<right){
	     varb_9=(varb_8+right)>>1;
	     if(varb_5[varb_9]==varb_6){varb_10=0;break;}
	     if(varb_6>varb_5[varb_9]) varb_8=varb_9+1;
	     if(varb_6<varb_5[varb_9]) right=varb_9-1;}
	     if(varb_10==0) printf(""Found"");
	     else  printf(""Not exist"");
}",4
5,2c9f30a56eaa009f016eb4b343651481,"#include <stdio.h>
int fun(int[],int,int);
int main()
{
    int a,n,i,b,key;
    scanf(""%d"",&n);
    int nums[n];
    for(i=0;
    i<n;
    i++)
    scanf(""%d"",&nums[i]);
    scanf(""%d"",&key);
    b=fun(nums,n,key);
    if(b==0)
    printf(""Found"");
    else
    printf(""Not exist"");
}

int fun (int list[],int size,int key)
{
    int i;
    for(i=0;i<size-1;i++)
    { if(list[i]==key)
      return 0;
      else 
      continue;
    }
   return 1;
}",0.0,"#include <stdio.h>
int func_0(int[],int,int);
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4;
    scanf(""%d"",&varb_1);
    int varb_5[varb_1];
    for(varb_2=0;
    varb_2<varb_1;
    varb_2++)
    scanf(""%d"",&varb_5[varb_2]);
    scanf(""%d"",&varb_4);
    varb_3=func_0(varb_5,varb_1,varb_4);
    if(varb_3==0)
    printf(""Found"");
    else
    printf(""Not exist"");
}
int func_0(int varb_6[],int varb_7,int varb_4)
{
    int varb_2;
    for(varb_2=0;varb_2<varb_7-1;varb_2++)
    { if(varb_6[varb_2]==varb_4)
      return 0;
      else 
      continue;
    }
   return 1;
}",22
6,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
int main()
{
	int num[40001]={0};
	int n,i,j,sz;
	scanf(""%d"",&n);
	int nub[n+1];
	int key;
	scanf(""%d"",&key);
	for(i=0;i<n;i++)
	{   scanf(""%d"",&sz);
		num[sz]+=1;}
	 int k=0;
	for(i=0;i<40001;i++){
	    if(num[i]!=0){
	      for(j=1;j<=num[i];j++)
	         nub[++k]=i;}}
	
	int left=1,right=n;
	int mid,flag=1;
	while(left<right){
	     mid=(left+right)>>1;
	     if(nub[mid]==key){flag=0;break;}
	     if(key>nub[mid]) left=mid+1;
	     if(key<nub[mid]) right=mid;}
	     
	     if(flag==0) printf(""Found"");
	     else  printf(""Not exist"");
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0[40001]={0};
	int varb_1,varb_2,varb_3,varb_4;
	scanf(""%d"",&varb_1);
	int varb_5[varb_1+1];
	int varb_6;
	scanf(""%d"",&varb_6);
	for(varb_2=0;varb_2<varb_1;varb_2++)
	{   scanf(""%d"",&varb_4);
		varb_0[varb_4]+=1;}
	 int varb_7=0;
	for(varb_2=0;varb_2<40001;varb_2++){
	    if(varb_0[varb_2]!=0){
	      for(varb_3=1;varb_3<=varb_0[varb_2];varb_3++)
	         varb_5[++varb_7]=varb_2;}}
	int varb_8=1,right=varb_1;
	int varb_9,varb_10=1;
	while(varb_8<right){
	     varb_9=(varb_8+right)>>1;
	     if(varb_5[varb_9]==varb_6){varb_10=0;break;}
	     if(varb_6>varb_5[varb_9]) varb_8=varb_9+1;
	     if(varb_6<varb_5[varb_9]) right=varb_9;}
	     if(varb_10==0) printf(""Found"");
	     else  printf(""Not exist"");
}",4
7,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
main()
{
int n,key,temp;
scanf(""%d"",&n);
int a[n];
int i,j,start,end;
for(i=0;i<=n-1;i++)
{
scanf(""%d"",&a[i]);
}
scanf(""%d"",&key);
start=0; end=n-1;
for(i=n-1;i>0;i--)
{
for(j=0;j<i;j++)
{
if(a[j]>a[j+1])
{
temp=a[j];
a[j]=a[j+1];
a[j+1]=a[j];
}
}
}
j=(start+end)/2;
while(start<=end)
{
if(a[j]==key)
{
printf(""Found"");
return 0;
}
else if(a[j]<key)
end=j-1;
else 
start=j+1;
}

printf(""No exist"");
return 0;


}",0.0,"#include<stdio.h>
main()
{
int varb_0,varb_1,varb_2;
scanf(""%d"",&varb_0);
int varb_3[varb_0];
int varb_4,varb_5,varb_6,varb_7;
for(varb_4=0;varb_4<=varb_0-1;varb_4++)
{
scanf(""%d"",&varb_3[varb_4]);
}
scanf(""%d"",&varb_1);
varb_6=0; varb_7=varb_0-1;
for(varb_4=varb_0-1;varb_4>0;varb_4--)
{
for(varb_5=0;varb_5<varb_4;varb_5++)
{
if(varb_3[varb_5]>varb_3[varb_5+1])
{
varb_2=varb_3[varb_5];
varb_3[varb_5]=varb_3[varb_5+1];
varb_3[varb_5+1]=varb_3[varb_5];
}
}
}
varb_5=(varb_6+varb_7)/2;
while(varb_6<=varb_7)
{
if(varb_3[varb_5]==varb_1)
{
printf(""Found"");
return 0;
}
else if(varb_3[varb_5]<varb_1)
varb_7=varb_5-1;
else 
varb_6=varb_5+1;
}
printf(""No exist"");
return 0;
}",26
8,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
int num[10];
int main()
{
 int i,j,k,n,a,b,mid,low,high,key;
 scanf(""%d"",&n);
 low=0;high=n-1,b=0;
 for(i=0;i<=n-1;i++)
  {
    scanf(""%d"",&num[i]);
  }
  for(j=n-1;j>0;j--)
  {
   for(k=0;k<j;k++)
   {
    if(num[k]<num[k+1])
    {
     a=num[k+1];
     num[k+1]=num[k];
     num[k]=a;
     }
   }
   }
 scanf(""%d"",&key);
 while(low<=high)
 {
   mid=(low+high)/2;
   if(key==num[mid])
   {
   b++;
   break;
   }
   if(key<num[mid])
   {
    high=mid-1;
   }
   if(key>num[mid])
   { 
   low=mid+1;
   }
}
 if(b==0)
 printf(""Not exist"");
 else
 printf(""Found"");
        return 0;
}
        ",0.0,"#include<stdio.h>
int varb_0[10];
int main()
{
 int varb_1,varb_2,varb_3,varb_4,varb_5,varb_6,varb_7,varb_8,varb_9,varb_10;
 scanf(""%d"",&varb_4);
 varb_8=0;varb_9=varb_4-1,varb_6=0;
 for(varb_1=0;varb_1<=varb_4-1;varb_1++)
  {
    scanf(""%d"",&varb_0[varb_1]);
  }
  for(varb_2=varb_4-1;varb_2>0;varb_2--)
  {
   for(varb_3=0;varb_3<varb_2;varb_3++)
   {
    if(varb_0[varb_3]<varb_0[varb_3+1])
    {
     varb_5=varb_0[varb_3+1];
     varb_0[varb_3+1]=varb_0[varb_3];
     varb_0[varb_3]=varb_5;
     }
   }
   }
 scanf(""%d"",&varb_10);
 while(varb_8<=varb_9)
 {
   varb_7=(varb_8+varb_9)/2;
   if(varb_10==varb_0[varb_7])
   {
   varb_6++;
   break;
   }
   if(varb_10<varb_0[varb_7])
   {
    varb_9=varb_7-1;
   }
   if(varb_10>varb_0[varb_7])
   { 
   varb_8=varb_7+1;
   }
}
 if(varb_6==0)
 printf(""Not exist"");
 else
 printf(""Found"");
        return 0;
}
",16
9,2c9f30a56eaa009f016eb4b343651481,"#include<stdio.h>
int main()
{
	int n,key,beg,end,mid,a,b,z;
	scanf(""%d"",&n);
	int x[n];
	for(a=0;a<n;a++)
	{
		scanf(""%d"",&x[a]);
	}
	scanf(""%d"",&key);
	for(a=0;a<n-1;a++) 
	{
		for(b=a+1;b<n;b++)
		{
			if(x[b]<x[a])
			{
				z=x[b];
				x[b]=x[a];
				x[a]=z;
			}
		}
	}
	beg=0;
	end=n-1;
	mid=n/2;
	while(beg<end)
	{
		if(x[mid]==key)
		{
			printf(""Found"");
			break;
		}
		else if(x[mid]<key)
		{
			beg=mid+1;
			mid=(beg+end)/2;
		}
		else if(x[mid]>key)
		{
			end=mid-1;
			mid=(beg+end)/2;
		}
	}
	if(beg>=end)
	{
		printf(""Not exist"");
	}
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6,varb_7;
	scanf(""%d"",&varb_0);
	int varb_8[varb_0];
	for(varb_5=0;varb_5<varb_0;varb_5++)
	{
		scanf(""%d"",&varb_8[varb_5]);
	}
	scanf(""%d"",&varb_1);
	for(varb_5=0;varb_5<varb_0-1;varb_5++) 
	{
		for(varb_6=varb_5+1;varb_6<varb_0;varb_6++)
		{
			if(varb_8[varb_6]<varb_8[varb_5])
			{
				varb_7=varb_8[varb_6];
				varb_8[varb_6]=varb_8[varb_5];
				varb_8[varb_5]=varb_7;
			}
		}
	}
	varb_2=0;
	varb_3=varb_0-1;
	varb_4=varb_0/2;
	while(varb_2<varb_3)
	{
		if(varb_8[varb_4]==varb_1)
		{
			printf(""Found"");
			break;
		}
		else if(varb_8[varb_4]<varb_1)
		{
			varb_2=varb_4+1;
			varb_4=(varb_2+varb_3)/2;
		}
		else if(varb_8[varb_4]>varb_1)
		{
			varb_3=varb_4-1;
			varb_4=(varb_2+varb_3)/2;
		}
	}
	if(varb_2>=varb_3)
	{
		printf(""Not exist"");
	}
	return 0;
}",4
