,id,code,is_true,format_code,errorline
0,2c9f30a56ef37e1f016f0e0306282d2d,"#include<stdio.h>
#define MAXN 6
typedef struct student
{
	int num;
   	char name[10];
	int egrade;
	int mgrade;
	int grade; 
}Stu;
main()
{
	Stu stu[MAXN] ;
	int i,j,m;
	Stu temp;
	for(i=0;i<MAXN;i++)
		scanf(""%d %s %d %d %d"",&stu[i].num,&stu[i].name,&stu[i].egrade,&stu[i].mgrade,&stu[i].grade);
		scanf(""%d"",&m);
	for(j=0;j<6;j++)	
	 {
	  for(i=0;i<5;i++)
	  {
	    if(stu[i].grade<stu[i+1].grade)
	    {
	    temp=stu[i];
	    stu[i]=stu[i+1];	
	    stu[i+1]=temp;
		}
      }
	}
	scanf(""%d"",&m);
	for(i=m;i<MAXN;i++)
	printf(""%d %s %d %d %d"",stu[i].num,stu[i].name,stu[i].egrade,stu[i].mgrade,stu[i].grade);
}",0.0,"#include<stdio.h>
#define MAXN 6
typedef struct student
{
	int varb_0;
   	char varb_1[10];
	int varb_2;
	int varb_3;
	int varb_4; 
}Stu;
main()
{
	Stu stu[MAXN] ;
	int varb_5,varb_6,varb_7;
	Stu temp;
	for(varb_5=0;varb_5<MAXN;varb_5++)
		scanf(""%d %s %d %d %d"",&stu[varb_5].varb_0,&stu[varb_5].varb_1,&stu[varb_5].varb_2,&stu[varb_5].varb_3,&stu[varb_5].varb_4);
		scanf(""%d"",&varb_7);
	for(varb_6=0;varb_6<6;varb_6++)	
	 {
	  for(varb_5=0;varb_5<5;varb_5++)
	  {
	    if(stu[varb_5].varb_4<stu[varb_5+1].varb_4)
	    {
	    temp=stu[varb_5];
	    stu[varb_5]=stu[varb_5+1];	
	    stu[varb_5+1]=temp;
		}
      }
	}
	scanf(""%d"",&varb_7);
	for(varb_5=varb_7;varb_5<MAXN;varb_5++)
	printf(""%d %s %d %d %d"",stu[varb_5].varb_0,stu[varb_5].varb_1,stu[varb_5].varb_2,stu[varb_5].varb_3,stu[varb_5].varb_4);
}",17
1,2c9f30a56ef37e1f016f0e0306282d2d,"#include <stdio.h>
struct y
{
   int num;
   char name[10];
   int score,math,english;
};
struct y t[6];
void sort(struct y s[6],int n);
int main()
{
   struct y s[6];
   int i,t;
   for(i=0;i<6;i++)
   {
	scanf(""%d %s %d %d"",&s[i].num,s[i].name,&s[i].math,&s[i].english);
	s[i].score=s[i].math+s[i].english;
   }
   
   sort(s,6);
   
   for(i=5;i>=0;i--)
   {
   	printf(""%8d %10s %5d %5d %5d\n"",s[i].num,s[i].name,s[i].math,s[i].english,s[i].score);
   }
}
void sort(struct y s[6],int n)
{
	int i,j;
	for(i=0;i<n;i++)
	{
		for(j=i+1;j<n;j++)
		{
			if(s[i].score<s[j].score)
			{
				t[0]=s[i];
				s[i]=s[j];
				s[j]=t[0];
			}
		}
	}
}",0.0,"#include <stdio.h>
struct varb_5
{
   int varb_0;
   char varb_1[10];
   int varb_2,varb_3,varb_4;
};
struct varb_5 varb_6[6];
void func_0(struct varb_5 varb_8[6],int n);
int main()
{
   struct varb_5 varb_8[6];
   int varb_9,varb_6;
   for(varb_9=0;varb_9<6;varb_9++)
   {
	scanf(""%d %s %d %d"",&varb_8[varb_9].varb_0,varb_8[varb_9].varb_1,&varb_8[varb_9].varb_3,&varb_8[varb_9].varb_4);
	varb_8[varb_9].varb_2=varb_8[varb_9].varb_3+varb_8[varb_9].varb_4;
   }
   func_0(varb_8,6);
   for(varb_9=5;varb_9>=0;varb_9--)
   {
   	printf(""%8d %10s %5d %5d %5d\n"",varb_8[varb_9].varb_0,varb_8[varb_9].varb_1,varb_8[varb_9].varb_3,varb_8[varb_9].varb_4,varb_8[varb_9].varb_2);
   }
}
void func_0(struct varb_5 varb_8[6],int n)
{
	int varb_9,varb_12;
	for(varb_9=0;varb_9<n;varb_9++)
	{
		for(varb_12=varb_9+1;varb_12<n;varb_12++)
		{
			if(varb_8[varb_9].varb_2<varb_8[varb_12].varb_2)
			{
				varb_6[0]=varb_8[varb_9];
				varb_8[varb_9]=varb_8[varb_12];
				varb_8[varb_12]=varb_6[0];
			}
		}
	}
}",13
2,2c9f30a56ef37e1f016f0e0306282d2d,"#include<stdio.h>

struct member
{
	int num;
	char name[10];
	int egrade;
	int mgrade;
	int sum;
};

int main()
{
	int i,j,n;
	struct member students[6],temp;
	for(i=0;i<6;i++)
	{
		scanf(""%d%s%d%d"",&students[i].num,students[i].name,&students[i].egrade,&students[i].mgrade);
		students[i].sum=students[i].egrade+students[i].mgrade;
	}
	for(i=0;i<6;i++)
	{
		for(j=i;j<6;j++)
		{
			if(students[i].sum>students[j].sum)
			{
				temp=students[i];
				students[i]=students[j];
				students[i]=temp;
			}
		}
	}
	scanf(""%d"",&n);
	for(i=n;i<6;i++)
	{
		printf(""%8d%10s%5d%5d%5d\n"",students[i].num,students[i].name,students[i].egrade,students[i].mgrade,students[i].sum);
	}
}",0.0,"#include<stdio.h>
struct varb_8
{
	int varb_0;
	char varb_1[10];
	int varb_2;
	int varb_3;
	int varb_4;
};
int main()
{
	int varb_5,varb_6,varb_7;
	struct varb_8 varb_9[6],temp;
	for(varb_5=0;varb_5<6;varb_5++)
	{
		scanf(""%d%s%d%d"",&varb_9[varb_5].varb_0,varb_9[varb_5].varb_1,&varb_9[varb_5].varb_2,&varb_9[varb_5].varb_3);
		varb_9[varb_5].varb_4=varb_9[varb_5].varb_2+varb_9[varb_5].varb_3;
	}
	for(varb_5=0;varb_5<6;varb_5++)
	{
		for(varb_6=varb_5;varb_6<6;varb_6++)
		{
			if(varb_9[varb_5].varb_4>varb_9[varb_6].varb_4)
			{
				temp=varb_9[varb_5];
				varb_9[varb_5]=varb_9[varb_6];
				varb_9[varb_5]=temp;
			}
		}
	}
	scanf(""%d"",&varb_7);
	for(varb_5=varb_7;varb_5<6;varb_5++)
	{
		printf(""%8d%10s%5d%5d%5d\n"",varb_9[varb_5].varb_0,varb_9[varb_5].varb_1,varb_9[varb_5].varb_2,varb_9[varb_5].varb_3,varb_9[varb_5].varb_4);
	}
}",27
3,2c9f30a56ef37e1f016f0e0306282d2d,"#include<stdio.h>
struct Student
{
int num;
char name[20];
int e;
int m;
int sum;
};
int main()
{
struct Student stu[6];
int i,j,k;
for(i=0;i<6;i++)
{
scanf(""%d%s%d%d"",&stu[i].num,&stu[i].name,&stu[i].e,&stu[i].m);
stu[i].sum=stu[i].e+stu[i].m;
}
struct Student temp;
for(i=0;i<5;i++)
{
k=i;
for(j=i+1;j<6;j++)
if(stu[j].sum<stu[k].sum)
k=j;
temp=stu[k];stu[k]=stu[i];stu[i]=temp;
}
for(i=0;i<6;i++){

printf(""%8d%10s%5d%5d%5d\n"",stu[i].num,stu[i].name,stu[i].e,stu[i].m,stu[i].sum);
}}",0.0,"#include<stdio.h>
struct varb_5
{
int varb_0;
char varb_1[20];
int varb_2;
int varb_3;
int varb_4;
};
int main()
{
struct varb_5 varb_6[6];
int varb_7,varb_8,varb_9;
for(varb_7=0;varb_7<6;varb_7++)
{
scanf(""%d%s%d%d"",&varb_6[varb_7].varb_0,&varb_6[varb_7].varb_1,&varb_6[varb_7].varb_2,&varb_6[varb_7].varb_3);
varb_6[varb_7].varb_4=varb_6[varb_7].varb_2+varb_6[varb_7].varb_3;
}
struct varb_5 varb_11;
for(varb_7=0;varb_7<5;varb_7++)
{
varb_9=varb_7;
for(varb_8=varb_7+1;varb_8<6;varb_8++)
if(varb_6[varb_8].varb_4<varb_6[varb_9].varb_4)
varb_9=varb_8;
varb_11=varb_6[varb_9];varb_6[varb_9]=varb_6[varb_7];varb_6[varb_7]=varb_11;
}
for(varb_7=0;varb_7<6;varb_7++){
printf(""%8d%10s%5d%5d%5d\n"",varb_6[varb_7].varb_0,varb_6[varb_7].varb_1,varb_6[varb_7].varb_2,varb_6[varb_7].varb_3,varb_6[varb_7].varb_4);
}}",28
4,2c9f30a56ef37e1f016f0e0306282d2d,"#include<stdio.h>
typedef struct student
{
	int num;
	char name[10];
	int eng;
	int math;
	int sum;
} s1;
int main()
{
	s1 a[6],temp;
	int i,m,j;
	for(i=0;i<6;i++)
	{
		scanf(""%d %s %d %d "",&a[i].num,a[i].name,&a[i].eng,&a[i].math);
		a[i].sum=a[i].eng+a[i].math;
	}
	scanf(""%d"",&m);
    for(i=0;i<6;i++)
	for(j=i;j<6;j++)
		{
			if(a[j].sum>a[j+1].sum)
			{
			temp=a[j];
			a[j]=a[j+1];
			a[j+1]=temp;
			}
		}
		for(j=m;j<6;j++)
		printf(""%8d%10s%5d%5d%5d\n"",a[j].num,a[j].name,a[j].eng,a[j].math,a[j].sum);
		return 0;
}",0.0,"#include<stdio.h>
typedef struct student
{
	int varb_0;
	char varb_1[10];
	int varb_2;
	int varb_3;
	int varb_4;
} s1;
int main()
{
	s1 a[6],temp;
	int varb_5,varb_6,varb_7;
	for(varb_5=0;varb_5<6;varb_5++)
	{
		scanf(""%d %s %d %d "",&a[varb_5].varb_0,a[varb_5].varb_1,&a[varb_5].varb_2,&a[varb_5].varb_3);
		a[varb_5].varb_4=a[varb_5].varb_2+a[varb_5].varb_3;
	}
	scanf(""%d"",&varb_6);
    for(varb_5=0;varb_5<6;varb_5++)
	for(varb_7=varb_5;varb_7<6;varb_7++)
		{
			if(a[varb_7].varb_4>a[varb_7+1].varb_4)
			{
			temp=a[varb_7];
			a[varb_7]=a[varb_7+1];
			a[varb_7+1]=temp;
			}
		}
		for(varb_7=varb_6;varb_7<6;varb_7++)
		printf(""%8d%10s%5d%5d%5d\n"",a[varb_7].varb_0,a[varb_7].varb_1,a[varb_7].varb_2,a[varb_7].varb_3,a[varb_7].varb_4);
		return 0;
}",21
5,2c9f30a56ef37e1f016f0e0306282d2d,"#include <stdio.h>
struct student{
    int num;
    char name[10];
    int Escore;
    int Mscore;
    int totalscore;
};
int main()
{
	int i,n,j;
    struct student stu[6];
    struct student t;   
	for(i=0;i<6;i++)
	{
		scanf(""%d %s %d %d"",&stu[i].num,stu[i].name,&stu[i].Escore,&stu[i].Mscore);
		stu[i].totalscore=stu[i].Escore+stu[i].Mscore;
	}
	for(i=0;i<6;i++)
	{
		
		for(j=i;j<6;j++)
		{
			if(stu[j].totalscore<stu[i].totalscore)
			{			
			  t=stu[i];
			  stu[i]=stu[j];
			  stu[j]=t;
		    }
			
		}
	}
	for(;n<6;n++)
	{
		printf(""%8d%10s%5d%5d%5d"",stu[n].num,stu[n].name,stu[n].Escore,stu[n].Mscore,stu[n].totalscore);
		printf(""\n"");
	}
}




",0.0,"#include <stdio.h>
struct varb_8{
    int varb_0;
    char varb_1[10];
    int varb_2;
    int varb_3;
    int varb_4;
};
int main()
{
	int varb_5,varb_6,varb_7;
    struct varb_8 varb_9[6];
    struct varb_8 varb_11;   
	for(varb_5=0;varb_5<6;varb_5++)
	{
		scanf(""%d %s %d %d"",&varb_9[varb_5].varb_0,varb_9[varb_5].varb_1,&varb_9[varb_5].varb_2,&varb_9[varb_5].varb_3);
		varb_9[varb_5].varb_4=varb_9[varb_5].varb_2+varb_9[varb_5].varb_3;
	}
	for(varb_5=0;varb_5<6;varb_5++)
	{
		for(varb_7=varb_5;varb_7<6;varb_7++)
		{
			if(varb_9[varb_7].varb_4<varb_9[varb_5].varb_4)
			{			
			  varb_11=varb_9[varb_5];
			  varb_9[varb_5]=varb_9[varb_7];
			  varb_9[varb_7]=varb_11;
		    }
		}
	}
	for(;varb_6<6;varb_6++)
	{
		printf(""%8d%10s%5d%5d%5d"",varb_9[varb_6].varb_0,varb_9[varb_6].varb_1,varb_9[varb_6].varb_2,varb_9[varb_6].varb_3,varb_9[varb_6].varb_4);
		printf(""\n"");
	}
}
",2
6,2c9f30a56ef37e1f016f0e0306282d2d,"#include <stdio.h>
#define MAXN 6

struct student{
    int num;
    char name[20];
    int sx;
    int yy;
    int sum;
};
int main()
{   struct student stu[MAXN];
    struct student min;
    int n, i, j, m;

    for(i = 0; i < MAXN;i++){
       scanf(""%d%s%d%d"", &stu[i].num, stu[i].name, &stu[i].sx,&stu[i].yy);
       stu[i].sum=stu[i].sx+stu[i].yy;
    }
	 scanf(""%d"", &n);
for(i=0;i<6;i++)
	{
		for(j=i+1;j<6;j++)
		{
			if(stu[i].sum<stu[j].sum)
			{
				min=stu[i];
				stu[i]=stu[j];
				stu[j]=min;
			}
		}
	}
	for(i=5;i>=n;i--)
	 printf(""%8d %10s %5d %5d %5d\n"", stu[i].num, stu[i].name, stu[i].sx, stu[i].yy, stu[i].sum);
    return 0;
}",0.0,"#include <stdio.h>
#define MAXN 6
struct varb_5{
    int varb_0;
    char varb_1[20];
    int varb_2;
    int varb_3;
    int varb_4;
};
int main()
{   struct varb_5 varb_6[MAXN];
    struct varb_5 varb_8;
    int varb_9, varb_10, varb_11, varb_12;
    for(varb_10 = 0; varb_10 < MAXN;varb_10++){
       scanf(""%d%s%d%d"", &varb_6[varb_10].varb_0, varb_6[varb_10].varb_1, &varb_6[varb_10].varb_2,&varb_6[varb_10].varb_3);
       varb_6[varb_10].varb_4=varb_6[varb_10].varb_2+varb_6[varb_10].varb_3;
    }
	 scanf(""%d"", &varb_9);
for(varb_10=0;varb_10<6;varb_10++)
	{
		for(varb_11=varb_10+1;varb_11<6;varb_11++)
		{
			if(varb_6[varb_10].varb_4<varb_6[varb_11].varb_4)
			{
				varb_8=varb_6[varb_10];
				varb_6[varb_10]=varb_6[varb_11];
				varb_6[varb_11]=varb_8;
			}
		}
	}
	for(varb_10=5;varb_10>=varb_9;varb_10--)
	 printf(""%8d %10s %5d %5d %5d\n"", varb_6[varb_10].varb_0, varb_6[varb_10].varb_1, varb_6[varb_10].varb_2, varb_6[varb_10].varb_3, varb_6[varb_10].varb_4);
    return 0;
}",31
7,2c9f30a56ef37e1f016f0e0306282d2d,"#include <stdio.h>
#define MAXN 6

struct student{
    int num;
    char name[10];
    int englishscore;
    int mathscore;
    int allscore;
};

int main()
{   
    struct student stu[MAXN];
    int n,i;
    int j;
     struct student temp;
    for( i = 0; i < 6 ; i++)
	{
		scanf(""%d%s%d%d"", &stu[i].num, stu[i].name, &stu[i].englishscore,&stu[i].mathscore);
		stu[i].allscore=stu[i].englishscore+stu[i].mathscore;
    } 
    for(j=0;j<6;j++)	
	 {
	  for(i=0;i<5;i++)
	  {
	    if(stu[i].allscore<stu[i+1].allscore)
	    {
	    temp=stu[i];
	    stu[i]=stu[i+1];	
	    stu[i+1]=temp;
		}
      }
	}
   scanf(""%d"",&n);
   
   for(i = n; i < 6 ; i++)
       printf(""%8d%10s%5d%5d%5d\n"", stu[i].num, stu[i].name, stu[i].englishscore,stu[i].mathscore,stu[i].allscore);
       
    return 0;
}


",0.0,"#include <stdio.h>
#define MAXN 6
struct varb_5{
    int varb_0;
    char varb_1[10];
    int varb_2;
    int varb_3;
    int varb_4;
};
int main()
{   
    struct varb_5 varb_6[MAXN];
    int varb_7,varb_8;
    int varb_9;
     struct varb_5 varb_11;
    for( varb_8 = 0; varb_8 < 6 ; varb_8++)
	{
		scanf(""%d%s%d%d"", &varb_6[varb_8].varb_0, varb_6[varb_8].varb_1, &varb_6[varb_8].varb_2,&varb_6[varb_8].varb_3);
		varb_6[varb_8].varb_4=varb_6[varb_8].varb_2+varb_6[varb_8].varb_3;
    } 
    for(varb_9=0;varb_9<6;varb_9++)	
	 {
	  for(varb_8=0;varb_8<5;varb_8++)
	  {
	    if(varb_6[varb_8].varb_4<varb_6[varb_8+1].varb_4)
	    {
	    varb_11=varb_6[varb_8];
	    varb_6[varb_8]=varb_6[varb_8+1];	
	    varb_6[varb_8+1]=varb_11;
		}
      }
	}
   scanf(""%d"",&varb_7);
   for(varb_8 = varb_7; varb_8 < 6 ; varb_8++)
       printf(""%8d%10s%5d%5d%5d\n"", varb_6[varb_8].varb_0, varb_6[varb_8].varb_1, varb_6[varb_8].varb_2,varb_6[varb_8].varb_3,varb_6[varb_8].varb_4);
    return 0;
}
",25
8,2c9f30a56ef37e1f016f0e0306282d2d,"#include <stdio.h>
struct student
{
  int num;
  char name[10];
  int english;
  int math;
  int grade;
};
int main()
{
  struct student stu[6];
  struct student temp;
  int n,i=0,j;
  for(i=0;i<6;i++)
    scanf(""%d%s%d%d"", &stu[i].num, stu[i].name, &stu[i].english,&stu[i].math);    
  for(i=0;i<6;i++)
    stu[i].grade=stu[i].english+stu[i].math;       
  scanf(""%d"",&n);
  for(i=n;i<6;i++)
    for(j=i+1;j<6;j++)
    {  
       if(stu[i].grade>stu[j].grade)
       {
          temp=stu[j];
          stu[j]=stu[i];
          stu[i]=temp;
       }
    }
  for(i=0;i<6;i++)
    printf(""%8d%10s%5d%5d%5d\n"",stu[i].num,stu[i].name,stu[i].english,stu[i].math,stu[i].grade);
 return 0;
}",0.0,"#include <stdio.h>
struct varb_5
{
  int varb_0;
  char varb_1[10];
  int varb_2;
  int varb_3;
  int varb_4;
};
int main()
{
  struct varb_5 varb_6[6];
  struct varb_5 varb_8;
  int varb_9,varb_10=0,varb_11;
  for(varb_10=0;varb_10<6;varb_10++)
    scanf(""%d%s%d%d"", &varb_6[varb_10].varb_0, varb_6[varb_10].varb_1, &varb_6[varb_10].varb_2,&varb_6[varb_10].varb_3);    
  for(varb_10=0;varb_10<6;varb_10++)
    varb_6[varb_10].varb_4=varb_6[varb_10].varb_2+varb_6[varb_10].varb_3;       
  scanf(""%d"",&varb_9);
  for(varb_10=varb_9;varb_10<6;varb_10++)
    for(varb_11=varb_10+1;varb_11<6;varb_11++)
    {  
       if(varb_6[varb_10].varb_4>varb_6[varb_11].varb_4)
       {
          varb_8=varb_6[varb_11];
          varb_6[varb_11]=varb_6[varb_10];
          varb_6[varb_10]=varb_8;
       }
    }
  for(varb_10=0;varb_10<6;varb_10++)
    printf(""%8d%10s%5d%5d%5d\n"",varb_6[varb_10].varb_0,varb_6[varb_10].varb_1,varb_6[varb_10].varb_2,varb_6[varb_10].varb_3,varb_6[varb_10].varb_4);
 return 0;
}",20
9,2c9f30a56ef37e1f016f0e0306282d2d,"#include<stdio.h>
typedef struct student
{
	int num;
	char name[10];
	int eng;
	int math;
	int sum;
} s1;
int main()
{
	s1 a[6];
	int i,m,j,temp;
	for(i=0;i<6;i++)
	{
		scanf(""%d %s %d %d "",&a[i].num,a[i].name,&a[i].eng,&a[i].math);
		a[i].sum=a[i].eng+a[i].math;
	}
	scanf(""%d"",&m);
    for(i=0;i<6;i++)
	for(j=i;j<6;j++)
		{
			if(a[j].sum>a[j+1].sum)
			{
				temp=a[j].sum;
				a[j].sum=a[j+1].sum;
				a[j+1].sum=temp;
			}
		}
		for(j=m;j<6;j++)
		printf(""%8d%10s%5d%5d%5d\n"",a[j].num,a[j].name,a[j].eng,a[j].math,a[j].sum);
		return 0;
}",0.0,"#include<stdio.h>
typedef struct student
{
	int varb_0;
	char varb_1[10];
	int varb_2;
	int varb_3;
	int varb_4;
} s1;
int main()
{
	s1 a[6];
	int varb_5,varb_6,varb_7,varb_8;
	for(varb_5=0;varb_5<6;varb_5++)
	{
		scanf(""%d %s %d %d "",&a[varb_5].varb_0,a[varb_5].varb_1,&a[varb_5].varb_2,&a[varb_5].varb_3);
		a[varb_5].varb_4=a[varb_5].varb_2+a[varb_5].varb_3;
	}
	scanf(""%d"",&varb_6);
    for(varb_5=0;varb_5<6;varb_5++)
	for(varb_7=varb_5;varb_7<6;varb_7++)
		{
			if(a[varb_7].varb_4>a[varb_7+1].varb_4)
			{
				varb_8=a[varb_7].varb_4;
				a[varb_7].varb_4=a[varb_7+1].varb_4;
				a[varb_7+1].varb_4=varb_8;
			}
		}
		for(varb_7=varb_6;varb_7<6;varb_7++)
		printf(""%8d%10s%5d%5d%5d\n"",a[varb_7].varb_0,a[varb_7].varb_1,a[varb_7].varb_2,a[varb_7].varb_3,a[varb_7].varb_4);
		return 0;
}",12
