,id,code,is_true,format_code,errorline
0,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include<stdio.h>
int main()
{
int n,i,j,a,b,c,d;
scanf(""%d"",&n);int s[n];
for(a=0;a<n;a++)
scanf(""%d"",&s[a]);j=s[0];a=n;
    while(n--)
{if(s[n]<j) {j=s[n];d=n;}}
s[d]=s[0];s[0]=j;//
   i=s[a];
   for(b=0;b<a;b++)
{if(s[b]>i) {i=s[b];c=b;}}
s[c]=s[a-1];s[a-1]=i;


for(b=0;b<a;b++)
{printf(""%d "",s[b]);}
return 0;



}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6;
scanf(""%d"",&varb_0);int varb_7[varb_0];
for(varb_3=0;varb_3<varb_0;varb_3++)
scanf(""%d"",&varb_7[varb_3]);varb_2=varb_7[0];varb_3=varb_0;
    while(varb_0--)
{if(varb_7[varb_0]<varb_2) {varb_2=varb_7[varb_0];varb_6=varb_0;}}
varb_7[varb_6]=varb_7[0];varb_7[0]=varb_2;
   varb_1=varb_7[varb_3];
   for(varb_4=0;varb_4<varb_3;varb_4++)
{if(varb_7[varb_4]>varb_1) {varb_1=varb_7[varb_4];varb_5=varb_4;}}
varb_7[varb_5]=varb_7[varb_3-1];varb_7[varb_3-1]=varb_1;
for(varb_4=0;varb_4<varb_3;varb_4++)
{printf(""%d "",varb_7[varb_4]);}
return 0;
}",8
1,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include <stdio.h>
int main()
{
	int n,i,b;
	int sign;
	int temp1,temp2;
	scanf(""%d"",&n);
	int a[n];
	for(i=0;i<n;i++)
	{
		scanf(""%d"",&a[i]);
		if(i!=n-1)
		scanf("" "");
	}
	for(i=0;i<n-1;i++)
	{
		if(a[i]<a[i+1])
		{
			temp1=a[i];
			if(i==0)
			b=i;
			sign=0;
		}
		else
		{
			temp1=a[i+1];
			if(i==0)
			b=i+1;
			sign=1;
		}
		if(i==0)
		temp2=temp1;
		else
		{
			if(temp1>temp2)
			{
				temp2=temp1;
				if(sign==0)
				b=i;
				else
				b=i+1;
			}
		}
	}
	a[b]=a[n-1];
	a[n-1]=temp2;
	for(i=0;i<n-1;i++)
	{
		if(a[i]<a[i+1])
		{
			temp1=a[i+1];
			if(i==0)
			b=i+1;
			sign=0;
		}
		else
		{
			temp1=a[i];
			if(i==0)
			b=i;
			sign=1;
		}
		if(i==0)
		temp2=temp1;
		else
		{
			if(temp1<temp2)
			{
				temp2=temp1;
				if(sign==0)
				b=i+1;
				else
				b=i;
			}
		}
	}
	a[b]=a[0];
	a[0]=temp2;
	for(i=0;i<n;i++)
	{
		printf(""%d"",a[i]);
		if(i!=n-1)
		printf("" "");
	}
	return 0;
}
",0.0,"#include <stdio.h>
int main()
{
	int varb_0,varb_1,varb_2;
	int varb_3;
	int varb_4,varb_5;
	scanf(""%d"",&varb_0);
	int varb_6[varb_0];
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		scanf(""%d"",&varb_6[varb_1]);
		if(varb_1!=varb_0-1)
		scanf("" "");
	}
	for(varb_1=0;varb_1<varb_0-1;varb_1++)
	{
		if(varb_6[varb_1]<varb_6[varb_1+1])
		{
			varb_4=varb_6[varb_1];
			if(varb_1==0)
			varb_2=varb_1;
			varb_3=0;
		}
		else
		{
			varb_4=varb_6[varb_1+1];
			if(varb_1==0)
			varb_2=varb_1+1;
			varb_3=1;
		}
		if(varb_1==0)
		varb_5=varb_4;
		else
		{
			if(varb_4>varb_5)
			{
				varb_5=varb_4;
				if(varb_3==0)
				varb_2=varb_1;
				else
				varb_2=varb_1+1;
			}
		}
	}
	varb_6[varb_2]=varb_6[varb_0-1];
	varb_6[varb_0-1]=varb_5;
	for(varb_1=0;varb_1<varb_0-1;varb_1++)
	{
		if(varb_6[varb_1]<varb_6[varb_1+1])
		{
			varb_4=varb_6[varb_1+1];
			if(varb_1==0)
			varb_2=varb_1+1;
			varb_3=0;
		}
		else
		{
			varb_4=varb_6[varb_1];
			if(varb_1==0)
			varb_2=varb_1;
			varb_3=1;
		}
		if(varb_1==0)
		varb_5=varb_4;
		else
		{
			if(varb_4<varb_5)
			{
				varb_5=varb_4;
				if(varb_3==0)
				varb_2=varb_1+1;
				else
				varb_2=varb_1;
			}
		}
	}
	varb_6[varb_2]=varb_6[0];
	varb_6[0]=varb_5;
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		printf(""%d"",varb_6[varb_1]);
		if(varb_1!=varb_0-1)
		printf("" "");
	}
	return 0;
}
",35
2,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include<stdio.h>
int main()
{
   int i,n,j,temp,b,k;
   int a[10];
   scanf(""%d"",&n);
   for(i=0;i<n;i++)
   scanf(""%d "",&a[i]);
   k=0;
   for(i=1;i<n;i++)
   {
      if(a[i]>a[k])
      {
         k=i;
       }
    }
   if(k!=(n-1))
   {
      temp=a[n-1];
      a[n-1]=a[k];
      a[k]=temp;
    }
   j=n-2;
   for(i=n-3;i>=0;i--)
   {
      if(a[i]<a[j])
      {
        j=i;
      }
   }
   if(j!=n-2)
   {
      b=a[0];
      a[0]=a[j];
      a[j]=b;
   }
   for(i=0;i<n;i++)
   printf(""%d "",a[i]);
   return 0;
   }",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
   int varb_6[10];
   scanf(""%d"",&varb_1);
   for(varb_0=0;varb_0<varb_1;varb_0++)
   scanf(""%d "",&varb_6[varb_0]);
   varb_5=0;
   for(varb_0=1;varb_0<varb_1;varb_0++)
   {
      if(varb_6[varb_0]>varb_6[varb_5])
      {
         varb_5=varb_0;
       }
    }
   if(varb_5!=(varb_1-1))
   {
      varb_3=varb_6[varb_1-1];
      varb_6[varb_1-1]=varb_6[varb_5];
      varb_6[varb_5]=varb_3;
    }
   varb_2=varb_1-2;
   for(varb_0=varb_1-3;varb_0>=0;varb_0--)
   {
      if(varb_6[varb_0]<varb_6[varb_2])
      {
        varb_2=varb_0;
      }
   }
   if(varb_2!=varb_1-2)
   {
      varb_4=varb_6[0];
      varb_6[0]=varb_6[varb_2];
      varb_6[varb_2]=varb_4;
   }
   for(varb_0=0;varb_0<varb_1;varb_0++)
   printf(""%d "",varb_6[varb_0]);
   return 0;
   }",31
3,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include<stdio.h>
int main()
{
    int n,i,j,k=0;
    int a[100];
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
     {
        scanf(""%d"",&a[i]);
     }
     for(i>0;i<n-1;i++)
     {
         
         if(a[k]>a[i])
         {
             k=i;
          }
      }       
      i=a[0];
      a[0]=a[k];
      a[k]=i;
      k=0;
      for(i>0;i<n-1;i++)
     {
         
         if(a[k]<a[i])
         {
             k=i;
          }
      }       
      i=a[n-1];
      a[n-1]=a[k];
      a[k]=i;
      for(i=0;i<n;i++)
      {
          printf(""%d "",a[i]);
      }
 }
    
    ",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3=0;
    int varb_4[100];
    scanf(""%d"",&varb_0);
    for(varb_1=0;varb_1<varb_0;varb_1++)
     {
        scanf(""%d"",&varb_4[varb_1]);
     }
     for(varb_1>0;varb_1<varb_0-1;varb_1++)
     {
         if(varb_4[varb_3]>varb_4[varb_1])
         {
             varb_3=varb_1;
          }
      }       
      varb_1=varb_4[0];
      varb_4[0]=varb_4[varb_3];
      varb_4[varb_3]=varb_1;
      varb_3=0;
      for(varb_1>0;varb_1<varb_0-1;varb_1++)
     {
         if(varb_4[varb_3]<varb_4[varb_1])
         {
             varb_3=varb_1;
          }
      }       
      varb_1=varb_4[varb_0-1];
      varb_4[varb_0-1]=varb_4[varb_3];
      varb_4[varb_3]=varb_1;
      for(varb_1=0;varb_1<varb_0;varb_1++)
      {
          printf(""%d "",varb_4[varb_1]);
      }
 }
",11
4,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include<stdio.h>
int main()
{
int n,i,j,a,b,c,d;
scanf(""%d"",&n);int s[n];
for(a=0;a<n;a++)
scanf(""%d"",&s[a]);j=s[0];a=n;
    while(n--)
{if(s[n]<j) {j=s[n];d=n;}}
s[d]=s[0];s[0]=j;//1 2 5 8 4
   i=s[0];
   for(b=0;b<a;b++)
{if(s[b]>i) {i=s[b];c=b;}}
s[c]=s[a-1];s[a-1]=i;


for(b=0;b<a;b++)
{printf(""%d "",s[b]);}
return 0;



}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6;
scanf(""%d"",&varb_0);int varb_7[varb_0];
for(varb_3=0;varb_3<varb_0;varb_3++)
scanf(""%d"",&varb_7[varb_3]);varb_2=varb_7[0];varb_3=varb_0;
    while(varb_0--)
{if(varb_7[varb_0]<varb_2) {varb_2=varb_7[varb_0];varb_6=varb_0;}}
varb_7[varb_6]=varb_7[0];varb_7[0]=varb_2;
   varb_1=varb_7[0];
   for(varb_4=0;varb_4<varb_3;varb_4++)
{if(varb_7[varb_4]>varb_1) {varb_1=varb_7[varb_4];varb_5=varb_4;}}
varb_7[varb_5]=varb_7[varb_3-1];varb_7[varb_3-1]=varb_1;
for(varb_4=0;varb_4<varb_3;varb_4++)
{printf(""%d "",varb_7[varb_4]);}
return 0;
}",8
5,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include<stdio.h>
int findmin(int a[],int n)
{
   int i,min,x;
   for(i=0;i<n;i++)
   {
     if(min>=a[i])
     {
        min=a[i];
        x=i;
     }
   }  
   return x,min;
}
int findmax(int a[],int n)
{
   int i,max,y;
   for(i=0;i<n;i++)
   {
     if(max<=a[i])
     {
        max=a[i];
        y=i;
     }
   }
   return y,max;
}
int main()
{
   int a[10];
   int i,n,min,max,b,c,x,y;
   scanf(""%d"",&n); 
    for(i=0;i<n;i++)
       scanf(""%d"",&a[i]);
   min=max=a[0];
   findmin(a,n);
   b=a[0];
   a[0]=min;
   a[x]=b;
   findmax(a,n);
   c=max;
   a[y]=a[n-1];
   a[n-1]=c;
   for(i=0;i<n;i++)
       printf(""%d "",a[i]);
}",0.0,"#include<stdio.h>
int func_0(int varb_0[],int varb_8)
{
   int varb_1,varb_2,varb_3;
   for(varb_1=0;varb_1<varb_8;varb_1++)
   {
     if(varb_2>=varb_0[varb_1])
     {
        varb_2=varb_0[varb_1];
        varb_3=varb_1;
     }
   }  
   return varb_3,varb_2;
}
int func_1(int varb_0[],int varb_8)
{
   int varb_1,varb_5,varb_6;
   for(varb_1=0;varb_1<varb_8;varb_1++)
   {
     if(varb_5<=varb_0[varb_1])
     {
        varb_5=varb_0[varb_1];
        varb_6=varb_1;
     }
   }
   return varb_6,varb_5;
}
int main()
{
   int varb_0[10];
   int varb_1,varb_8,varb_2,varb_5,varb_11,varb_12,varb_3,varb_6;
   scanf(""%d"",&varb_8); 
    for(varb_1=0;varb_1<varb_8;varb_1++)
       scanf(""%d"",&varb_0[varb_1]);
   varb_2=varb_5=varb_0[0];
   func_0(varb_0,varb_8);
   varb_11=varb_0[0];
   varb_0[0]=varb_2;
   varb_0[varb_3]=varb_11;
   func_1(varb_0,varb_8);
   varb_12=varb_5;
   varb_0[varb_6]=varb_0[varb_8-1];
   varb_0[varb_8-1]=varb_12;
   for(varb_1=0;varb_1<varb_8;varb_1++)
       printf(""%d "",varb_0[varb_1]);
}",36
6,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include <stdio.h>
int main()
{
	int n,i,b;
	int sign;
	int temp1,temp2;
	scanf(""%d"",&n);
	int a[n];
	for(i=0;i<n;i++)
	{
		scanf(""%d"",&a[i]);
		if(i!=n-1)
		scanf("" "");
	}
	for(i=0;i<n-1;i++)
	{
		if(a[i]<a[i+1])
		{
			temp1=a[i];
			b=i;
			sign=0;
		}
		else
		{
			temp1=a[i+1];
			b=i+1;
			sign=1;
		}
		if(i==0)
		temp2=temp1;
		else
		{
			if(temp1>temp2)
			{
				temp2=temp1;
				if(sign==0)
				b=i;
				else
				b=i+1;
			}
		}
	}
	a[b]=a[0];
	a[0]=temp2;
	for(i=0;i<n-1;i++)
	{
		if(a[i]<a[i+1])
		{
			temp1=a[i+1];
			b=i+1;
			sign=0;
		}
		else
		{
			temp1=a[i];
			b=i;
			sign=1;
		}
		if(i==0)
		temp2=temp1;
		else
		{
			if(temp1<temp2)
			{
				temp2=temp1;
				if(sign==0)
				b=i+1;
				else
				b=i;
			}
		}
	}
	a[b]=a[n-1];
	a[n-1]=temp2;
	for(i=0;i<n;i++)
	{
		printf(""%d"",a[i]);
		if(i!=n-1)
		printf("" "");
	}
	return 0;
}
",0.0,"#include <stdio.h>
int main()
{
	int varb_0,varb_1,varb_2;
	int varb_3;
	int varb_4,varb_5;
	scanf(""%d"",&varb_0);
	int varb_6[varb_0];
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		scanf(""%d"",&varb_6[varb_1]);
		if(varb_1!=varb_0-1)
		scanf("" "");
	}
	for(varb_1=0;varb_1<varb_0-1;varb_1++)
	{
		if(varb_6[varb_1]<varb_6[varb_1+1])
		{
			varb_4=varb_6[varb_1];
			varb_2=varb_1;
			varb_3=0;
		}
		else
		{
			varb_4=varb_6[varb_1+1];
			varb_2=varb_1+1;
			varb_3=1;
		}
		if(varb_1==0)
		varb_5=varb_4;
		else
		{
			if(varb_4>varb_5)
			{
				varb_5=varb_4;
				if(varb_3==0)
				varb_2=varb_1;
				else
				varb_2=varb_1+1;
			}
		}
	}
	varb_6[varb_2]=varb_6[0];
	varb_6[0]=varb_5;
	for(varb_1=0;varb_1<varb_0-1;varb_1++)
	{
		if(varb_6[varb_1]<varb_6[varb_1+1])
		{
			varb_4=varb_6[varb_1+1];
			varb_2=varb_1+1;
			varb_3=0;
		}
		else
		{
			varb_4=varb_6[varb_1];
			varb_2=varb_1;
			varb_3=1;
		}
		if(varb_1==0)
		varb_5=varb_4;
		else
		{
			if(varb_4<varb_5)
			{
				varb_5=varb_4;
				if(varb_3==0)
				varb_2=varb_1+1;
				else
				varb_2=varb_1;
			}
		}
	}
	varb_6[varb_2]=varb_6[varb_0-1];
	varb_6[varb_0-1]=varb_5;
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		printf(""%d"",varb_6[varb_1]);
		if(varb_1!=varb_0-1)
		printf("" "");
	}
	return 0;
}
",33
7,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include<stdio.h>
int findmax(int [],int);
int findmin(int [],int);
int main()
{ int n,i,a[10],c,d,min,max,j;
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
		scanf(""%d"",&a[i]);
	}
  d=a[findmin(a,n)];
  a[findmin(a,n)]=a[findmax(a,n)];
  a[findmax(a,n)]=d;
  c=a[findmax(a,n)];
  a[findmax(a,n)]=a[n-1];
  a[n-1]=c;
  for(i=0;i<n;i++)
  printf(""%d "",a[i]);
}

int findmax(int a[],int n)
{
	int max,i;
	max=0;
	for(i=1;i<n;i++)
	 {
	 	if(a[max]<a[i])
	 	 {
	 	 	max=i;
		  }
	 }

	 return max;
}

int findmin(int a[],int n)
{
	int min,i;
	min=0;
	for(i=1;i<n;i++)
	 {
	 	if(a[min]>a[i])
	 	 {
	 	 	min=i;
		  }
	 }
	 return min;
}",0.0,"#include<stdio.h>
int func_0(int [],int);
int func_1(int [],int);
int main()
{ int varb_0,varb_1,varb_2[10],varb_3,varb_4,varb_5,varb_6,varb_7;
	scanf(""%d"",&varb_0);
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		scanf(""%d"",&varb_2[varb_1]);
	}
  varb_4=varb_2[func_1(varb_2,varb_0)];
  varb_2[func_1(varb_2,varb_0)]=varb_2[func_0(varb_2,varb_0)];
  varb_2[func_0(varb_2,varb_0)]=varb_4;
  varb_3=varb_2[func_0(varb_2,varb_0)];
  varb_2[func_0(varb_2,varb_0)]=varb_2[varb_0-1];
  varb_2[varb_0-1]=varb_3;
  for(varb_1=0;varb_1<varb_0;varb_1++)
  printf(""%d "",varb_2[varb_1]);
}
int func_0(int varb_2[],int varb_0)
{
	int varb_6,varb_1;
	varb_6=0;
	for(varb_1=1;varb_1<varb_0;varb_1++)
	 {
	 	if(varb_2[varb_6]<varb_2[varb_1])
	 	 {
	 	 	varb_6=varb_1;
		  }
	 }
	 return varb_6;
}
int func_1(int varb_2[],int varb_0)
{
	int varb_5,varb_1;
	varb_5=0;
	for(varb_1=1;varb_1<varb_0;varb_1++)
	 {
	 	if(varb_2[varb_5]>varb_2[varb_1])
	 	 {
	 	 	varb_5=varb_1;
		  }
	 }
	 return varb_5;
}",12
8,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include<stdio.h>
int main()
{
    int n,i,j,k=0;
    int a[100];
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
     {
        scanf(""%d"",&a[i]);
     }
     for(i=1;i<n-1;i++)
     {
         
         if(a[k]>a[i])
         {
             k=i;
          }
      }       
      i=a[0];
      a[0]=a[k];
      a[k]=i;
      k=0;
      for(i=1;i<n-1;i++)
     {
         
         if(a[k]<a[i])
         {
             k=i;
          }
      }       
      i=a[n-1];
      a[n-1]=a[k];
      a[k]=i;
      for(i=0;i<n;i++)
      {
          printf(""%d "",a[i]);
      }
 }
    
    ",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3=0;
    int varb_4[100];
    scanf(""%d"",&varb_0);
    for(varb_1=0;varb_1<varb_0;varb_1++)
     {
        scanf(""%d"",&varb_4[varb_1]);
     }
     for(varb_1=1;varb_1<varb_0-1;varb_1++)
     {
         if(varb_4[varb_3]>varb_4[varb_1])
         {
             varb_3=varb_1;
          }
      }       
      varb_1=varb_4[0];
      varb_4[0]=varb_4[varb_3];
      varb_4[varb_3]=varb_1;
      varb_3=0;
      for(varb_1=1;varb_1<varb_0-1;varb_1++)
     {
         if(varb_4[varb_3]<varb_4[varb_1])
         {
             varb_3=varb_1;
          }
      }       
      varb_1=varb_4[varb_0-1];
      varb_4[varb_0-1]=varb_4[varb_3];
      varb_4[varb_3]=varb_1;
      for(varb_1=0;varb_1<varb_0;varb_1++)
      {
          printf(""%d "",varb_4[varb_1]);
      }
 }
",11
9,2c9f30a56ef37e1f016f1d7b788a4c3c,"#include <stdio.h>
int main()
{
	int min,max,i,a[10],j,c,n;
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
		scanf(""%d"",&a[i]);
	}
	min=a[0];
	for(i=0;i<n;i++)
	{
		if(a[i]<=min)
		{
			min=a[i];
			j=i;
		}
	}
	c=a[j];
	a[j]=a[0];
	a[0]=c;
	max=a[n-1];
	for(i=0;i<n;i++)
	{
		if(a[i]>=max)
		max=a[i];
		j=i;
	}
	c=a[j];
	a[j]=a[n-1]; 
	a[n-1]=a[j];
	for(i=0;i<n;i++)
	{
    printf(""%d "",a[i]);
}
}
",0.0,"#include <stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3[10],varb_4,varb_5,varb_6;
	scanf(""%d"",&varb_6);
	for(varb_2=0;varb_2<varb_6;varb_2++)
	{
		scanf(""%d"",&varb_3[varb_2]);
	}
	varb_0=varb_3[0];
	for(varb_2=0;varb_2<varb_6;varb_2++)
	{
		if(varb_3[varb_2]<=varb_0)
		{
			varb_0=varb_3[varb_2];
			varb_4=varb_2;
		}
	}
	varb_5=varb_3[varb_4];
	varb_3[varb_4]=varb_3[0];
	varb_3[0]=varb_5;
	varb_1=varb_3[varb_6-1];
	for(varb_2=0;varb_2<varb_6;varb_2++)
	{
		if(varb_3[varb_2]>=varb_1)
		varb_1=varb_3[varb_2];
		varb_4=varb_2;
	}
	varb_5=varb_3[varb_4];
	varb_3[varb_4]=varb_3[varb_6-1]; 
	varb_3[varb_6-1]=varb_3[varb_4];
	for(varb_2=0;varb_2<varb_6;varb_2++)
	{
    printf(""%d "",varb_3[varb_2]);
}
}
",4
