,id,code,is_true,format_code,errorline
0,2c9f30a56ef37e1f016f1e0a08ce5131,"#include<stdio.h>
int main()
{
char *a[3][10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX"","""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC"","""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};
int n,b,c,d;
scanf(""%d"",&n);
b=n/100;
printf(""%c"",a[3][b]);
c=(n%100)/10;
printf(""%c"",a[3][c]);
d=n%10;
printf(""%c"",a[3][d]);
return 0;
}





",0.0,"#include<stdio.h>
int main()
{
char *varb_0[3][10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX"","""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC"","""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};
int varb_1,varb_2,varb_3,varb_4;
scanf(""%d"",&varb_1);
varb_2=varb_1/100;
printf(""%c"",varb_0[3][varb_2]);
varb_3=(varb_1%100)/10;
printf(""%c"",varb_0[3][varb_3]);
varb_4=varb_1%10;
printf(""%c"",varb_0[3][varb_4]);
return 0;
}
",7
1,2c9f30a56ef37e1f016f1e0a08ce5131,"#include<stdio.h>

int main()

{

  char *a[3][10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX"","""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC"","""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};

  int n,e,f,g;

  scanf(""%d"",&n);

  e=n % 10;

  f = n / 10 % 10;

  g = n / 100;
  printf(""%s%s%s"",a[3][g],a[3][f],a[3][e]);
}




",0.0,"#include<stdio.h>
int main()
{
  char *varb_0[3][10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX"","""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC"","""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};
  int varb_1,varb_2,varb_3,varb_4;
  scanf(""%d"",&varb_1);
  varb_2=varb_1 % 10;
  varb_3 = varb_1 / 10 % 10;
  varb_4 = varb_1 / 100;
  printf(""%s%s%s"",varb_0[3][varb_4],varb_0[3][varb_3],varb_0[3][varb_2]);
}
",10
2,2c9f30a56ef37e1f016f1e0a08ce5131,"#include<stdio.h>
int main()
{
    int n,i=0,a,b,ar[100],j,k,m;
    int w[100],h,c,g;
    for(h=0; h<3; h++)
    {
        scanf(""%d"",&w[h]);
    }
    g=h;
    //for(h=0;h<3;h++)
    //printf(""%d "",w[h]);
    //printf(""%d\n"",g);
    for(c=0; c<=g-1; c++)
    {
        while(w[c])
        {
            a=w[c]%10;
            w[c]/=10;
            ar[i]=a;
            i++;
        }
        m=i;
        //printf(""%d\n"",m);
        for(j=m-1; j>=0; j--)
        {
            if(j==2)
            {
                if(ar[j]==1)
                    printf(""C"");
                if(ar[j]==2)
                    printf(""CC"");
                if(ar[j]==3)
                    printf(""CCC"");
                if(ar[j]==4)
                    printf(""CD"");
                if(ar[j]==5)
                    printf(""D"");
                if(ar[j]==6)
                    printf(""DC"");
                if(ar[j]==7)
                    printf(""DCC"");
                if(ar[j]==8)
                    printf(""DCCC"");
                if(ar[j]==9)
                    printf(""CM"");
            }
            if(j==1)
            {
                if(ar[j]==1)
                    printf(""X"");
                if(ar[j]==2)
                    printf(""XX"");
                if(ar[j]==3)
                    printf(""XXX"");
                if(ar[j]==4)
                    printf(""LX"");
                if(ar[j]==5)
                    printf(""X"");
                if(ar[j]==6)
                    printf(""XL"");
                if(ar[j]==7)
                    printf(""XLL"");
                if(ar[j]==8)
                    printf(""XLLL"");
                if(ar[j]==9)
                    printf(""XC"");
            }
            if(j==0)
            {
                if(ar[j]==1)
                    printf(""I"");
                if(ar[j]==2)
                    printf(""II"");
                if(ar[j]==3)
                    printf(""III"");
                if(ar[j]==4)
                    printf(""IV"");
                if(ar[j]==5)
                    printf(""V"");
                if(ar[j]==6)
                    printf(""VI"");
                if(ar[j]==7)
                    printf(""VII"");
                if(ar[j]==8)
                    printf(""VIII"");
                if(ar[j]==9)
                    printf(""IX"");
            printf(""\n"");
            }i=0;
        }
    }
}
",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1=0,varb_2,varb_3,varb_4[100],varb_5,varb_6,varb_7;
    int varb_8[100],h,c,g;
    for(h=0; h<3; h++)
    {
        scanf(""%d"",&varb_8[h]);
    }
    g=h;
    for(c=0; c<=g-1; c++)
    {
        while(varb_8[c])
        {
            varb_2=varb_8[c]%10;
            varb_8[c]/=10;
            varb_4[varb_1]=varb_2;
            varb_1++;
        }
        varb_7=varb_1;
        for(varb_5=varb_7-1; varb_5>=0; varb_5--)
        {
            if(varb_5==2)
            {
                if(varb_4[varb_5]==1)
                    printf(""C"");
                if(varb_4[varb_5]==2)
                    printf(""CC"");
                if(varb_4[varb_5]==3)
                    printf(""CCC"");
                if(varb_4[varb_5]==4)
                    printf(""CD"");
                if(varb_4[varb_5]==5)
                    printf(""D"");
                if(varb_4[varb_5]==6)
                    printf(""DC"");
                if(varb_4[varb_5]==7)
                    printf(""DCC"");
                if(varb_4[varb_5]==8)
                    printf(""DCCC"");
                if(varb_4[varb_5]==9)
                    printf(""CM"");
            }
            if(varb_5==1)
            {
                if(varb_4[varb_5]==1)
                    printf(""X"");
                if(varb_4[varb_5]==2)
                    printf(""XX"");
                if(varb_4[varb_5]==3)
                    printf(""XXX"");
                if(varb_4[varb_5]==4)
                    printf(""LX"");
                if(varb_4[varb_5]==5)
                    printf(""X"");
                if(varb_4[varb_5]==6)
                    printf(""XL"");
                if(varb_4[varb_5]==7)
                    printf(""XLL"");
                if(varb_4[varb_5]==8)
                    printf(""XLLL"");
                if(varb_4[varb_5]==9)
                    printf(""XC"");
            }
            if(varb_5==0)
            {
                if(varb_4[varb_5]==1)
                    printf(""I"");
                if(varb_4[varb_5]==2)
                    printf(""II"");
                if(varb_4[varb_5]==3)
                    printf(""III"");
                if(varb_4[varb_5]==4)
                    printf(""IV"");
                if(varb_4[varb_5]==5)
                    printf(""V"");
                if(varb_4[varb_5]==6)
                    printf(""VI"");
                if(varb_4[varb_5]==7)
                    printf(""VII"");
                if(varb_4[varb_5]==8)
                    printf(""VIII"");
                if(varb_4[varb_5]==9)
                    printf(""IX"");
            printf(""\n"");
            }varb_1=0;
        }
    }
}
",6
3,2c9f30a56ef37e1f016f1e0a08ce5131,"#include<stdio.h>
int main()
{
int n,a1,b1,c1;
scanf(""%d"",&n);
a1=n/100;
b1=n%100/10;
c1=n%100%10;
char *a[][10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX""}; 	 char *b[][10]={"""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC""};
char *c[][10]={"""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};
printf(""%s%s%s"",a[a1],b[b1],c[c1]);






}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_0);
varb_1=varb_0/100;
varb_2=varb_0%100/10;
varb_3=varb_0%100%10;
char *varb_4[][10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX""}; 	 char *varb_5[][10]={"""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC""};
char *varb_6[][10]={"""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};
printf(""%s%s%s"",varb_4[varb_1],varb_5[varb_2],varb_6[varb_3]);
}",6
4,2c9f30a56ef37e1f016f1e0a08ce5131,"#include <stdio.h>
#include <string.h>
 
int main()
{
 char* gw[10] = {"""", ""I"", ""II"", ""III"", ""IV"", ""V"", ""VI"", ""VII"", ""VIII"", ""IX""};
 char* sw[10] = {"""", ""X"", ""XX"", ""XXX"", ""XL"", ""L"", ""LX"", ""LXX"", ""LXXX"", ""XC""};
 char* bw[10] = {"""", ""C"", ""CC"", ""CCC"", ""CD"", ""D"", ""DC"", ""DCC"", ""DCCC"", ""CM""};
 int n; 
 while (scanf(""%d"", &n) != EOF)//在while循环中以EOF作为文件结束标志
 {
  printf(""%s"",bw[n/100]);
  printf(""%s"",sw[n/10]);
  printf(""%s"",gw[n%10]);
 }
}",0.0,"#include <stdio.h>
#include <string.h>
int main()
{
 char* varb_0[10] = {"""", ""I"", ""II"", ""III"", ""IV"", ""V"", ""VI"", ""VII"", ""VIII"", ""IX""};
 char* varb_1[10] = {"""", ""X"", ""XX"", ""XXX"", ""XL"", ""L"", ""LX"", ""LXX"", ""LXXX"", ""XC""};
 char* varb_2[10] = {"""", ""C"", ""CC"", ""CCC"", ""CD"", ""D"", ""DC"", ""DCC"", ""DCCC"", ""CM""};
 int varb_3; 
 while(scanf(""%d"", &varb_3) != EOF)
 {
  printf(""%s"",varb_2[varb_3/100]);
  printf(""%s"",varb_1[varb_3/10]);
  printf(""%s"",varb_0[varb_3%10]);
 }
}",12
5,2c9f30a56ef37e1f016f1e0a08ce5131,"#include<stdio.h>

int main()

{

  char *a[3][10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX"","""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC"","""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};

  int n,e,f,g;

  scanf(""%d"",&n);

  e=n % 10;

  f = n / 10 % 10;

  g = n / 100;

  printf(""%s%s%s"",a[3][g],a[3][f],a[3][e]);

}




",0.0,"#include<stdio.h>
int main()
{
  char *varb_0[3][10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX"","""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC"","""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};
  int varb_1,varb_2,varb_3,varb_4;
  scanf(""%d"",&varb_1);
  varb_2=varb_1 % 10;
  varb_3 = varb_1 / 10 % 10;
  varb_4 = varb_1 / 100;
  printf(""%s%s%s"",varb_0[3][varb_4],varb_0[3][varb_3],varb_0[3][varb_2]);
}
",10
6,2c9f30a56ef37e1f016f1e0a08ce5131,"#include <stdio.h>
#include <string.h>
int main()
{
 char* a[10]={"""", ""I"", ""II"", ""III"", ""IV"", ""V"", ""VI"", ""VII"", ""VIII"", ""IX""};
 char* b[10]={"""", ""X"", ""XX"", ""XXX"", ""XL"", ""L"", ""LX"", ""LXX"", ""LXXX"", ""XC""};
 char* c[10]={"""", ""C"", ""CC"", ""CCC"", ""CD"", ""D"", ""DC"", ""DCC"", ""DCCC"", ""CM""};
 int n; 
 scanf(""%d"",&n); 
  printf(""%s"",a[n/100]);
  printf(""%s"",b[n%100/10]);
  printf(""%s"",c[n%10]);
}",0.0,"#include <stdio.h>
#include <string.h>
int main()
{
 char* varb_0[10]={"""", ""I"", ""II"", ""III"", ""IV"", ""V"", ""VI"", ""VII"", ""VIII"", ""IX""};
 char* varb_1[10]={"""", ""X"", ""XX"", ""XXX"", ""XL"", ""L"", ""LX"", ""LXX"", ""LXXX"", ""XC""};
 char* varb_2[10]={"""", ""C"", ""CC"", ""CCC"", ""CD"", ""D"", ""DC"", ""DCC"", ""DCCC"", ""CM""};
 int varb_3; 
 scanf(""%d"",&varb_3); 
  printf(""%s"",varb_0[varb_3/100]);
  printf(""%s"",varb_1[varb_3%100/10]);
  printf(""%s"",varb_2[varb_3%10]);
}",10
7,2c9f30a56ef37e1f016f1e0a08ce5131,"#include<stdio.h>
main()
{
	char a[10][10]={""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX""};
	char b[10][10]={""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC""};
	char c[10][10]={""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCCC"",""CM""};
	int i,n,ge,shi,bai;
	scanf(""%d"",&n);
	if(n<10)
	{
	ge=n;
	printf(""%s"",a[ge-1]);	
	}
	else if(n>=10&&n<100)
	{
	shi=n/10;
	ge=n%10;
	printf(""%s%s"",a[shi-1],a[ge-1]);	
	}
	else if(n>=100)
	{
	bai=n/100;
	shi=(n-bai*100)/10;
	ge=n-shi*10-bai*100;
	printf(""%s%s%s"",a[bai-1],a[shi-1],a[ge-1]);	
	}
	
}",0.0,"#include<stdio.h>
main()
{
	char varb_0[10][10]={""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX""};
	char varb_1[10][10]={""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC""};
	char varb_2[10][10]={""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCCC"",""CM""};
	int varb_3,varb_4,varb_5,varb_6,varb_7;
	scanf(""%d"",&varb_4);
	if(varb_4<10)
	{
	varb_5=varb_4;
	printf(""%s"",varb_0[varb_5-1]);	
	}
	else if(varb_4>=10&&varb_4<100)
	{
	varb_6=varb_4/10;
	varb_5=varb_4%10;
	printf(""%s%s"",varb_0[varb_6-1],varb_0[varb_5-1]);	
	}
	else if(varb_4>=100)
	{
	varb_7=varb_4/100;
	varb_6=(varb_4-varb_7*100)/10;
	varb_5=varb_4-varb_6*10-varb_7*100;
	printf(""%s%s%s"",varb_0[varb_7-1],varb_0[varb_6-1],varb_0[varb_5-1]);	
	}
}",18
8,2c9f30a56ef37e1f016f1e0a08ce5131,"#include<stdio.h>
int main()
{
	int n,d,f,g;
	scanf(""%d"",&n);
	char *a[10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX""};
	char *b[10]={"""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC""};
	char *c[10]={"""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};
	if(n<10)
	{
	  printf(""%s"",a[n]);
	}
	if(n>=10&&n<100)
	{
		d=n%10;
		f=n/10;
		printf(""%s%s"",b[f],a[d]);
	}
	else
	{
		g=n/100;
		d=n%10;
		f=n/10;
		printf(""%s%s%s"",c[g],b[f],a[d]);
	}
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	scanf(""%d"",&varb_0);
	char *varb_4[10]={"""",""I"",""II"",""III"",""IV"",""V"",""VI"",""VII"",""VIII"",""IX""};
	char *varb_5[10]={"""",""X"",""XX"",""XXX"",""XL"",""L"",""LX"",""LXX"",""LXXX"",""XC""};
	char *varb_6[10]={"""",""C"",""CC"",""CCC"",""CD"",""D"",""DC"",""DCC"",""DCCC"",""CM""};
	if(varb_0<10)
	{
	  printf(""%s"",varb_4[varb_0]);
	}
	if(varb_0>=10&&varb_0<100)
	{
		varb_1=varb_0%10;
		varb_2=varb_0/10;
		printf(""%s%s"",varb_5[varb_2],varb_4[varb_1]);
	}
	else
	{
		varb_3=varb_0/100;
		varb_1=varb_0%10;
		varb_2=varb_0/10;
		printf(""%s%s%s"",varb_6[varb_3],varb_5[varb_2],varb_4[varb_1]);
	}
}",9
9,2c9f30a56ef37e1f016f1e0a08ce5131,"#include<stdio.h>
int main()
{
int a,b,c,d,i;
scanf(""%d"",&a);
b=a/100;
c=a/10;
d=((a%100)/10);
for(i=0;i<b;i++)
printf(""C"");
for(i=0;i<d;i++)
printf(""X"");
for(i=0;i<c;i++)
printf(""I"");
}

",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4;
scanf(""%d"",&varb_0);
varb_1=varb_0/100;
varb_2=varb_0/10;
varb_3=((varb_0%100)/10);
for(varb_4=0;varb_4<varb_1;varb_4++)
printf(""C"");
for(varb_4=0;varb_4<varb_3;varb_4++)
printf(""X"");
for(varb_4=0;varb_4<varb_2;varb_4++)
printf(""I"");
}
",7
