,id,code,is_true,format_code,errorline
0,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main()
{
  int a[10],i,j,n,x,k;
   scanf(""%d\n"",&n);
  for(i=0;i<n;i++)
   scanf(""%d "",&a[i]);  
  printf(""\n"");
   scanf(""%d"",&x);
  for(i=0;i<n;i++)
   if(x<a[i])
     break;
    for(j=n-1;j>=i;j--)
     a[j+1]=a[j];
      a[i]=x;
    for(i=0;i<=n;i++)
     printf(""%d "",a[i]);
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0[10],i,j,n,x,k;
   scanf(""%d\n"",&n);
  for(i=0;i<n;i++)
   scanf(""%d "",&varb_0[i]);  
  printf(""\n"");
   scanf(""%d"",&x);
  for(i=0;i<n;i++)
   if(x<varb_0[i])
     break;
    for(j=n-1;j>=i;j--)
     varb_0[j+1]=varb_0[j];
      varb_0[i]=x;
    for(i=0;i<=n;i++)
     printf(""%d "",varb_0[i]);
}",8
1,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main()
{
int n,i,j,k;
scanf(""%d"",&n);
int hyf[n];
int ai[n+1];
int lmp[n];
for(i=0;i<n;i++)
{
scanf(""%d"",&lmp[i]);
}
scanf(""%d"",&j);
k=0;
for(i=0;i<n;i++)
{
hyf[i]=lmp[i];
}
for(i=0;i<n;i++)
{
if(j>=lmp[i]&&j<lmp[i+1])
break;
else
i=-1;
break;
}
while(k<i+1)
{
ai[k]=hyf[k];
k++;
}
ai[i+1]=j;
for(k=i+1;k<=n;k++)
{
ai[k+1]=hyf[k];
}
for(i=0;i<=n;i++)
{
printf("" %d"",ai[i]);
}
return 0;
}

",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_0);
int varb_4[varb_0];
int varb_5[varb_0+1];
int varb_6[varb_0];
for(varb_1=0;varb_1<varb_0;varb_1++)
{
scanf(""%d"",&varb_6[varb_1]);
}
scanf(""%d"",&varb_2);
varb_3=0;
for(varb_1=0;varb_1<varb_0;varb_1++)
{
varb_4[varb_1]=varb_6[varb_1];
}
for(varb_1=0;varb_1<varb_0;varb_1++)
{
if(varb_2>=varb_6[varb_1]&&varb_2<varb_6[varb_1+1])
break;
else
varb_1=-1;
break;
}
while(varb_3<varb_1+1)
{
varb_5[varb_3]=varb_4[varb_3];
varb_3++;
}
varb_5[varb_1+1]=varb_2;
for(varb_3=varb_1+1;varb_3<=varb_0;varb_3++)
{
varb_5[varb_3+1]=varb_4[varb_3];
}
for(varb_1=0;varb_1<=varb_0;varb_1++)
{
printf("" %d"",varb_5[varb_1]);
}
return 0;
}
",21
2,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main()
{
int n,i,j,k;
scanf(""%d"",&n);
int hyf[n];
int ai[n+1];
int lmp[n];
for(i=0;i<n;i++)
{
scanf(""%d"",&lmp[i]);
}
scanf(""%d"",&j);
k=0;
for(i=0;i<n;i++)
{
hyf[i]=lmp[i];
}
for(i=0;i<n;i++)
{
if(j>=lmp[i]&&j<=lmp[i+1])
break;
else
i=-1;
break;
}
while(k<i+1)
{
ai[k]=hyf[k];
k++;
}
ai[i+1]=j;
for(k=i+1;k<=n;k++)
{
ai[k+1]=hyf[k];
}
for(i=0;i<=n;i++)
{
printf("" %d"",ai[i]);
}
return 0;
}

",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_0);
int varb_4[varb_0];
int varb_5[varb_0+1];
int varb_6[varb_0];
for(varb_1=0;varb_1<varb_0;varb_1++)
{
scanf(""%d"",&varb_6[varb_1]);
}
scanf(""%d"",&varb_2);
varb_3=0;
for(varb_1=0;varb_1<varb_0;varb_1++)
{
varb_4[varb_1]=varb_6[varb_1];
}
for(varb_1=0;varb_1<varb_0;varb_1++)
{
if(varb_2>=varb_6[varb_1]&&varb_2<=varb_6[varb_1+1])
break;
else
varb_1=-1;
break;
}
while(varb_3<varb_1+1)
{
varb_5[varb_3]=varb_4[varb_3];
varb_3++;
}
varb_5[varb_1+1]=varb_2;
for(varb_3=varb_1+1;varb_3<=varb_0;varb_3++)
{
varb_5[varb_3+1]=varb_4[varb_3];
}
for(varb_1=0;varb_1<=varb_0;varb_1++)
{
printf("" %d"",varb_5[varb_1]);
}
return 0;
}
",21
3,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int f(int a[][20], int b[][20], int n, int m,int p);
int inarrys(int a[][20], int n, int m);
int main()
{
	int n,i,x,temp,p;
	scanf(""%d"",&n);
	int a[10];	
	for(i=0;i<n;i++) 
		scanf(""%d"",&a[i]);
	scanf(""%d"",&x);
	for(i=0;i<n;i++)
		if(x<a[i])
		{
		p=a[i];
		a[i]=x;
		for(i++;i<n+1;i++)
			{
			temp=a[i];
			a[i]=p;
			p=temp;
			}	
		break;
		}
		if(x>a[n])
			a[n+1]=x;
		for(i=0;i<n+1;i++)		
			printf(""%d "",a[i]);
}


",0.0,"#include<stdio.h>
int func_0(int varb_0[][20], int varb_1[][20], int varb_2, int varb_3,int varb_4);
int inarrys(int varb_0[][20], int varb_2, int varb_3);
int main()
{
	int varb_2,varb_8,varb_9,varb_10,varb_4;
	scanf(""%d"",&varb_2);
	int varb_0[10];	
	for(varb_8=0;varb_8<varb_2;varb_8++) 
		scanf(""%d"",&varb_0[varb_8]);
	scanf(""%d"",&varb_9);
	for(varb_8=0;varb_8<varb_2;varb_8++)
		if(varb_9<varb_0[varb_8])
		{
		varb_4=varb_0[varb_8];
		varb_0[varb_8]=varb_9;
		for(varb_8++;varb_8<varb_2+1;varb_8++)
			{
			varb_10=varb_0[varb_8];
			varb_0[varb_8]=varb_4;
			varb_4=varb_10;
			}	
		break;
		}
		if(varb_9>varb_0[varb_2])
			varb_0[varb_2+1]=varb_9;
		for(varb_8=0;varb_8<varb_2+1;varb_8++)		
			printf(""%d "",varb_0[varb_8]);
}
",25
4,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main(){
    int n,i,num[10],x,y;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
      scanf(""%d"",&num[i]);
    scanf(""%d"",&x);
    for(i=0;i<n;i++)
    {
     if(x<num[0]&&i==0)
     printf(""%d "",x);
     printf(""%d "",num[i]);
if(x>num[i]&&num[i]<num[i+1])
    printf(""%d "",x);    
    }
   

}",0.0,"#include<stdio.h>
int main(){
    int varb_0,varb_1,varb_2[10],varb_3,varb_4;
    scanf(""%d"",&varb_0);
    for(varb_1=0;varb_1<varb_0;varb_1++)
      scanf(""%d"",&varb_2[varb_1]);
    scanf(""%d"",&varb_3);
    for(varb_1=0;varb_1<varb_0;varb_1++)
    {
     if(varb_3<varb_2[0]&&varb_1==0)
     printf(""%d "",varb_3);
     printf(""%d "",varb_2[varb_1]);
if(varb_3>varb_2[varb_1]&&varb_2[varb_1]<varb_2[varb_1+1])
    printf(""%d "",varb_3);    
    }
}",13
5,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main()
{
int n,x,num,i;
scanf(""%d"",&n);
int a[n+1];
for(i=0;i<n;i++)
scanf(""%d"",&a[i]);
scanf(""%d"",&x);
if(x>a[n-1])
{
a[n]=x;
for(i=0;i<n+1;i++)
printf(""%d "",a[i]);
return 0;
}
if(x<a[0])
{
for(i=n-1;i>0;i--)
a[i+1]=a[i];
a[0]=x;
for(i=0;i<n+1;i++)
printf(""%d "",a[i]);
return 0;
}

for(i=0;i<n;i++)
{
if(a[i]<x&&x>a[i+1])
num=i;
}
for(i=n-1;i>num;i--)
a[i+1]=a[i];
a[num+1]=x;
for(i=0;i<n+1;i++)
printf(""%d "",a[i]);
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_0);
int varb_4[varb_0+1];
for(varb_3=0;varb_3<varb_0;varb_3++)
scanf(""%d"",&varb_4[varb_3]);
scanf(""%d"",&varb_1);
if(varb_1>varb_4[varb_0-1])
{
varb_4[varb_0]=varb_1;
for(varb_3=0;varb_3<varb_0+1;varb_3++)
printf(""%d "",varb_4[varb_3]);
return 0;
}
if(varb_1<varb_4[0])
{
for(varb_3=varb_0-1;varb_3>0;varb_3--)
varb_4[varb_3+1]=varb_4[varb_3];
varb_4[0]=varb_1;
for(varb_3=0;varb_3<varb_0+1;varb_3++)
printf(""%d "",varb_4[varb_3]);
return 0;
}
for(varb_3=0;varb_3<varb_0;varb_3++)
{
if(varb_4[varb_3]<varb_1&&varb_1>varb_4[varb_3+1])
varb_2=varb_3;
}
for(varb_3=varb_0-1;varb_3>varb_2;varb_3--)
varb_4[varb_3+1]=varb_4[varb_3];
varb_4[varb_2+1]=varb_1;
for(varb_3=0;varb_3<varb_0+1;varb_3++)
printf(""%d "",varb_4[varb_3]);
return 0;
}",19
6,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main(){
    int n,i,num[10],x;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
      scanf(""%d"",&num[i]);
    scanf(""%d"",&x);
    for(i=0;i<n;i++)
    {
     if(x<num[0])
     printf(""%d "",x);
     printf(""%d "",num[i]);
    if(x>=num[i]&&num[i]<num[i+1])
    printf(""%d "",x);    
    }
   

}",0.0,"#include<stdio.h>
int main(){
    int varb_0,varb_1,varb_2[10],varb_3;
    scanf(""%d"",&varb_0);
    for(varb_1=0;varb_1<varb_0;varb_1++)
      scanf(""%d"",&varb_2[varb_1]);
    scanf(""%d"",&varb_3);
    for(varb_1=0;varb_1<varb_0;varb_1++)
    {
     if(varb_3<varb_2[0])
     printf(""%d "",varb_3);
     printf(""%d "",varb_2[varb_1]);
    if(varb_3>=varb_2[varb_1]&&varb_2[varb_1]<varb_2[varb_1+1])
    printf(""%d "",varb_3);    
    }
}",3
7,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main()
{
int n,i,j,k;
scanf(""%d"",&n);
int hyf[n];
int ai[n+1];
int lmp[n];
for(i=0;i<n;i++)
{
scanf(""%d"",&lmp[i]);
}
scanf(""%d"",&j);
k=0;
for(i=0;i<n;i++)
{
hyf[i]=lmp[i];
}
for(i=0;i<n;i++)
{
if(j>lmp[i]&&j<lmp[i+1])
break;
}
while(k<i)
{
ai[k]=hyf[k];
k++;
}
ai[i]=j;
for(k=i;k<=n;k++)
{
ai[k+1]=hyf[k];
}
for(i=0;i<=n;i++)
{
printf("" %d"",ai[i]);
}
return 0;
}

",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
scanf(""%d"",&varb_0);
int varb_4[varb_0];
int varb_5[varb_0+1];
int varb_6[varb_0];
for(varb_1=0;varb_1<varb_0;varb_1++)
{
scanf(""%d"",&varb_6[varb_1]);
}
scanf(""%d"",&varb_2);
varb_3=0;
for(varb_1=0;varb_1<varb_0;varb_1++)
{
varb_4[varb_1]=varb_6[varb_1];
}
for(varb_1=0;varb_1<varb_0;varb_1++)
{
if(varb_2>varb_6[varb_1]&&varb_2<varb_6[varb_1+1])
break;
}
while(varb_3<varb_1)
{
varb_5[varb_3]=varb_4[varb_3];
varb_3++;
}
varb_5[varb_1]=varb_2;
for(varb_3=varb_1;varb_3<=varb_0;varb_3++)
{
varb_5[varb_3+1]=varb_4[varb_3];
}
for(varb_1=0;varb_1<=varb_0;varb_1++)
{
printf("" %d"",varb_5[varb_1]);
}
return 0;
}
",24
8,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main()
{
    int a[10];
    int i,j,n,temp,x;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    scanf(""%d "",&a[i]);
    scanf(""%d"",&x);
    a[n]=x;
    for(i=0;i<n+1;i++)
    {
      for(j=0;j<n-i;j++)
       {
          if(a[j]>a[j+1])
          {temp=a[j];
          a[j]=a[j+1];
          a[j+1]=temp;
          }
        }
     printf(""%d "",a[i]);
     }
     return 0;
     }
          
    ",0.0,"#include<stdio.h>
int main()
{
    int varb_0[10];
    int varb_1,varb_2,varb_3,varb_4,varb_5;
    scanf(""%d"",&varb_3);
    for(varb_1=0;varb_1<varb_3;varb_1++)
    scanf(""%d "",&varb_0[varb_1]);
    scanf(""%d"",&varb_5);
    varb_0[varb_3]=varb_5;
    for(varb_1=0;varb_1<varb_3+1;varb_1++)
    {
      for(varb_2=0;varb_2<varb_3-varb_1;varb_2++)
       {
          if(varb_0[varb_2]>varb_0[varb_2+1])
          {varb_4=varb_0[varb_2];
          varb_0[varb_2]=varb_0[varb_2+1];
          varb_0[varb_2+1]=varb_4;
          }
        }
     printf(""%d "",varb_0[varb_1]);
     }
     return 0;
     }
",11
9,2c9f30a56ef37e1f016f1f10bd195741,"#include<stdio.h>
int main()
{
    int a[10];
    int i,j,n,temp,x;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    scanf(""%d "",&a[i]);
    scanf(""%d"",&x);
    a[n]=x;
    for(i=0;i<=n;i++)
    {
      for(j=0;j<=n-i-1;j++)
       {
          if(a[j]>a[j+1])
          {temp=a[j];
          a[j]=a[j+1];
          a[j+1]=temp;
          }
        }
     printf(""%d "",a[i]);
     }
     return 0;
     }
          
    ",0.0,"#include<stdio.h>
int main()
{
    int varb_0[10];
    int varb_1,varb_2,varb_3,varb_4,varb_5;
    scanf(""%d"",&varb_3);
    for(varb_1=0;varb_1<varb_3;varb_1++)
    scanf(""%d "",&varb_0[varb_1]);
    scanf(""%d"",&varb_5);
    varb_0[varb_3]=varb_5;
    for(varb_1=0;varb_1<=varb_3;varb_1++)
    {
      for(varb_2=0;varb_2<=varb_3-varb_1-1;varb_2++)
       {
          if(varb_0[varb_2]>varb_0[varb_2+1])
          {varb_4=varb_0[varb_2];
          varb_0[varb_2]=varb_0[varb_2+1];
          varb_0[varb_2+1]=varb_4;
          }
        }
     printf(""%d "",varb_0[varb_1]);
     }
     return 0;
     }
",19
