,id,code,is_true,format_code,errorline
0,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>
main()
{
    int a[3][3]={1,2,3,4,5,6,7,8,9},i,j,z=0;
    
    for(i=0;i<3;i++)  //将主对角线上的元素平方 
    	a[i][i]=(a[i][i])*(a[i][i]);
    	
    a[1][0]=a[1][0]*2;
    a[2][0]=a[2][0]*2;
    a[2][1]=a[2][1]*2;
    a[0][1]=a[0][1]+3;
    a[0][2]=a[0][2]+3;
    a[1][2]=a[1][2]+32;
    for(i=0;i<3;i++)
    {
    	for(j=0;j<3;j++)
    	{
    		printf(""%d "",a[i][j]);
    		z++;
    		if(z%3==0)
    		printf(""\n"");
    	}
    }
    
    
    	
   	
}",0.0,"#include<stdio.h>
main()
{
    int varb_0[3][3]={1,2,3,4,5,6,7,8,9},i,j,z=0;
    for(i=0;i<3;i++)  
    	varb_0[i][i]=(varb_0[i][i])*(varb_0[i][i]);
    varb_0[1][0]=varb_0[1][0]*2;
    varb_0[2][0]=varb_0[2][0]*2;
    varb_0[2][1]=varb_0[2][1]*2;
    varb_0[0][1]=varb_0[0][1]+3;
    varb_0[0][2]=varb_0[0][2]+3;
    varb_0[1][2]=varb_0[1][2]+32;
    for(i=0;i<3;i++)
    {
    	for(j=0;j<3;j++)
    	{
    		printf(""%d "",varb_0[i][j]);
    		z++;
    		if(z%3==0)
    		printf(""\n"");
    	}
    }
}",12
1,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>
int main()
{
   int a[3][3]={1,2,3,4,5,6,7,8,9};
     int i,j;
    for(i=0;i<3;i++)
      {
         for(j=0;j<3;j++)
           {
           if(i=j)
             {a[i][j]=a[i][j]*a[i][j];}
            if(i>j)
             {a[i][j]=2*a[i][j];}
            if(j>i)
             {a[i][j]=a[i][j]+3;}
         }
     }
         for(i=0;i<3;i++)
         {for(j=0;j<3;j++)
            {printf(""%d "",a[i][j]);}
             printf(""\n"");
         }
}",0.0,"#include<stdio.h>
int main()
{
   int varb_0[3][3]={1,2,3,4,5,6,7,8,9};
     int varb_1,varb_2;
    for(varb_1=0;varb_1<3;varb_1++)
      {
         for(varb_2=0;varb_2<3;varb_2++)
           {
           if(varb_1=varb_2)
             {varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]*varb_0[varb_1][varb_2];}
            if(varb_1>varb_2)
             {varb_0[varb_1][varb_2]=2*varb_0[varb_1][varb_2];}
            if(varb_2>varb_1)
             {varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]+3;}
         }
     }
         for(varb_1=0;varb_1<3;varb_1++)
         {for(varb_2=0;varb_2<3;varb_2++)
            {printf(""%d "",varb_0[varb_1][varb_2]);}
             printf(""\n"");
         }
}",4
2,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>

int main()

{

    int a[3][3]= {1,2,3,4,5,6,7,8,9};

    int i,j,t=0;

    for(i=0; i<3; i++)

    {

        for(j=0; j<3; j++)

        {

            if(i==j)

            {

                a[i][j]=a[i][j]*a[i][j];

            }

            else if(i>=1 && j>=0)

            {

                a[i][j]=a[i][j]*2;

            }

            else

                a[i][j]=a[i][j]+3;

        }

    }

    for(i=0; i<3; i++)

    {

        for(j=0; j<3; j++)

        {

            printf(""%d "",a[i][j]);

            t++;

            if(t%3==0)

            {

                printf(""\n"");

            }

        }

    }

}",0.0,"#include<stdio.h>
int main()
{
    int varb_0[3][3]= {1,2,3,4,5,6,7,8,9};
    int varb_1,varb_2,varb_3=0;
    for(varb_1=0; varb_1<3; varb_1++)
    {
        for(varb_2=0; varb_2<3; varb_2++)
        {
            if(varb_1==varb_2)
            {
                varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]*varb_0[varb_1][varb_2];
            }
            else if(varb_1>=1 && varb_2>=0)
            {
                varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]*2;
            }
            else
                varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]+3;
        }
    }
    for(varb_1=0; varb_1<3; varb_1++)
    {
        for(varb_2=0; varb_2<3; varb_2++)
        {
            printf(""%d "",varb_0[varb_1][varb_2]);
            varb_3++;
            if(varb_3%3==0)
            {
                printf(""\n"");
            }
        }
    }
}",14
3,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>
int main()
{ 
     int a[3][3]={1,2,3,4,5,6,7,8,9},i,j;
     for(i=0;i<3;i++) 
     {  
      for(j=0;j<3;j++)
      { 
        if(i==j)
      {a[i][j]=a[i][j]*a[i][j];
      }
        else if(j>i)
        {a[i][j]=a[i][j]+3;
        }
         else if(i>j)
        {a[i][j]=a[i][j]*2;
        }
      }
     }
     for(i=0;i<3;i++)
     { for(j=0;j<3;j++)
      {printf(""%d\t"",a[i][j]);
      }
     printf(""\n"");
     }
    return 0;
}",0.0,"#include<stdio.h>
int main()
{ 
     int varb_0[3][3]={1,2,3,4,5,6,7,8,9},i,j;
     for(i=0;i<3;i++) 
     {  
      for(j=0;j<3;j++)
      { 
        if(i==j)
      {varb_0[i][j]=varb_0[i][j]*varb_0[i][j];
      }
        else if(j>i)
        {varb_0[i][j]=varb_0[i][j]+3;
        }
         else if(i>j)
        {varb_0[i][j]=varb_0[i][j]*2;
        }
      }
     }
     for(i=0;i<3;i++)
     { for(j=0;j<3;j++)
      {printf(""%d\t"",varb_0[i][j]);
      }
     printf(""\n"");
     }
    return 0;
}",7
4,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>
int main()
{
  int a[3][3]={1,2,3,4,5,6,7,8,9};
  int i=0,j=0;
  for(;i<3;i++)
  {
  j=0;
  for(;j<3;j++)
  {
  if(i==j)
  printf(""%3d"",a[i][j]*a[i][j]);
  else
  printf(""%3d"",a[i][j]);
  if(j==2)
  printf(""\n"");
  }
  }
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0[3][3]={1,2,3,4,5,6,7,8,9};
  int varb_1=0,j=0;
  for(;varb_1<3;varb_1++)
  {
  j=0;
  for(;j<3;j++)
  {
  if(varb_1==j)
  printf(""%3d"",varb_0[varb_1][j]*varb_0[varb_1][j]);
  else
  printf(""%3d"",varb_0[varb_1][j]);
  if(j==2)
  printf(""\n"");
  }
  }
}",12
5,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>
#include<math.h>
int main()
{
int a[3][3]={1,2,3,4,5,6,7,8,9};
int i,j;
for(i=0;i<3;i++)
for(j=0;j<3;j++)
scanf(""%d"",a[i][j]);
for(i=0;i<3;i++){
for(j=0;j<3;j++){
if(i==j)
{
a[i][j]=pow(a[i][j],2);
}
else if((i==1&&j==0)||(i==2&&j!=2))
{
a[i][j]=2*a[i][j];
}
else
{
a[i][j]=a[i][j]+3;
}
printf(""%d "",a[i][j]);
if(j%3==0)
printf(""\n"");
}}}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
int varb_0[3][3]={1,2,3,4,5,6,7,8,9};
int varb_1,varb_2;
for(varb_1=0;varb_1<3;varb_1++)
for(varb_2=0;varb_2<3;varb_2++)
scanf(""%d"",varb_0[varb_1][varb_2]);
for(varb_1=0;varb_1<3;varb_1++){
for(varb_2=0;varb_2<3;varb_2++){
if(varb_1==varb_2)
{
varb_0[varb_1][varb_2]=pow(varb_0[varb_1][varb_2],2);
}
else if((varb_1==1&&varb_2==0)||(varb_1==2&&varb_2!=2))
{
varb_0[varb_1][varb_2]=2*varb_0[varb_1][varb_2];
}
else
{
varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]+3;
}
printf(""%d "",varb_0[varb_1][varb_2]);
if(varb_2%3==0)
printf(""\n"");
}}}",7
6,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>
int main()
{
     int i,j;
    int a[3][3]={1,2,3,4,5,6,7,8,9};
    a[1][1]=a[1][1]*a[1][1];
    a[2][2]=a[2][2]*a[2][2];
    a[0][1]=a[0][1]+3;
    a[0][2]=a[0][2]+3;
    a[1][2]=a[1][2]+3;
    a[1][0]=a[1][0]*2;
    a[2][0]=a[2][0]*2;
    a[2][1]=a[2][0]*2;
    for(i=0;i<3;i++)
    {for(j=0;j<3;j++){
        printf(""%d "",a[i][j]);}
        printf(""\n"");
    }
    
}",0.0,"#include<stdio.h>
int main()
{
     int varb_0,varb_1;
    int varb_2[3][3]={1,2,3,4,5,6,7,8,9};
    varb_2[1][1]=varb_2[1][1]*varb_2[1][1];
    varb_2[2][2]=varb_2[2][2]*varb_2[2][2];
    varb_2[0][1]=varb_2[0][1]+3;
    varb_2[0][2]=varb_2[0][2]+3;
    varb_2[1][2]=varb_2[1][2]+3;
    varb_2[1][0]=varb_2[1][0]*2;
    varb_2[2][0]=varb_2[2][0]*2;
    varb_2[2][1]=varb_2[2][0]*2;
    for(varb_0=0;varb_0<3;varb_0++)
    {for(varb_1=0;varb_1<3;varb_1++){
        printf(""%d "",varb_2[varb_0][varb_1]);}
        printf(""\n"");
    }
}",13
7,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>
int main()
{
	int a[3][3]={1,2,3,4,5,6,7,8,9};
	int i,j;
	for(i=0;i<3;i++)
	{
		for(j=0;j<3;j++)
		{
			if(i==j)
			printf(""%3d"",a[i][j]*a[i][j]);
			else
			printf(""%3d"",a[i][j]*2);
			if(j!=2)
			printf("" "");
			else
			printf(""\n"");
		}
	}
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0[3][3]={1,2,3,4,5,6,7,8,9};
	int varb_1,varb_2;
	for(varb_1=0;varb_1<3;varb_1++)
	{
		for(varb_2=0;varb_2<3;varb_2++)
		{
			if(varb_1==varb_2)
			printf(""%3d"",varb_0[varb_1][varb_2]*varb_0[varb_1][varb_2]);
			else
			printf(""%3d"",varb_0[varb_1][varb_2]*2);
			if(varb_2!=2)
			printf("" "");
			else
			printf(""\n"");
		}
	}
}",11
8,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>

int main()
{
    int a[3][3]= {1,2,3,4,5,6,7,8,9};
    int i,j,t=0;
    for(i=0; i<3; i++)
    {
        for(j=0; j<3; j++)
        {
            if(i==j)
            {
                a[i][j]=a[i][j]*a[i][j];
            }
            else if(i>=1 && j>=0)
            {
                a[i][j]=a[i][j]*2;
            }
            else
                a[i][j]=a[i][j]+3;
        }
    }
    for(i=0; i<3; i++)
    {
        for(j=0; j<3; j++)
        {
            printf(""%3d"",a[i][j]);
            t++;
            if(t%3==0 && t<9)
            {
                printf(""\n"");
            }
        }
    }
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0[3][3]= {1,2,3,4,5,6,7,8,9};
    int varb_1,varb_2,varb_3=0;
    for(varb_1=0; varb_1<3; varb_1++)
    {
        for(varb_2=0; varb_2<3; varb_2++)
        {
            if(varb_1==varb_2)
            {
                varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]*varb_0[varb_1][varb_2];
            }
            else if(varb_1>=1 && varb_2>=0)
            {
                varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]*2;
            }
            else
                varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]+3;
        }
    }
    for(varb_1=0; varb_1<3; varb_1++)
    {
        for(varb_2=0; varb_2<3; varb_2++)
        {
            printf(""%3d"",varb_0[varb_1][varb_2]);
            varb_3++;
            if(varb_3%3==0 && varb_3<9)
            {
                printf(""\n"");
            }
        }
    }
}",14
9,2c9f30a56ef37e1f016f31bad8ac6276,"#include<stdio.h>
#define FIRST 3
#define SECOND 3
int main()
{
	int a[FIRST][SECOND]={1,2,3,4,5,6,7,8,9};
	int i,j;
	for(i=0;i<3;i++){ 
	    
		for(j=0;j<3;j++)
			if(i==j)
			    a[i][j]=a[i][j]*a[i][j];
		
		for(j=i+1;j<3;j++)
		      a[i][j]=a[i][j]+3;
		
		for(j=0;j<i-1;j++)
			a[i][j]=a[i][j]*2;
	}
	    
	for(i=0;i<FIRST;i++){
	    for(j=0;j<SECOND;j++)
	        printf(""%d "",a[i][j]);
	   printf(""\n"");
	}
}
",0.0,"#include<stdio.h>
#define FIRST 3
#define SECOND 3
int main()
{
	int varb_0[FIRST][SECOND]={1,2,3,4,5,6,7,8,9};
	int varb_1,varb_2;
	for(varb_1=0;varb_1<3;varb_1++){ 
		for(varb_2=0;varb_2<3;varb_2++)
			if(varb_1==varb_2)
			    varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]*varb_0[varb_1][varb_2];
		for(varb_2=varb_1+1;varb_2<3;varb_2++)
		      varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]+3;
		for(varb_2=0;varb_2<varb_1-1;varb_2++)
			varb_0[varb_1][varb_2]=varb_0[varb_1][varb_2]*2;
	}
	for(varb_1=0;varb_1<FIRST;varb_1++){
	    for(varb_2=0;varb_2<SECOND;varb_2++)
	        printf(""%d "",varb_0[varb_1][varb_2]);
	   printf(""\n"");
	}
}
",14
