,id,code,is_true,format_code,errorline
0,2c9f30a56ef37e1f016f32e07f2a63f5,"#include <stdio.h>
#include <stdlib.h>

typedef int ElementType;
typedef struct Node *PtrToNode;
struct Node {
ElementType Data;
PtrToNode Next;
};
typedef PtrToNode List;

List Read(); 
void Print( List L ); 
List Insert( List L, ElementType X );

int main()
{
List L;
ElementType X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}

List Read()
{
List head,p,q;
int num,number;
head=(PtrToNode)malloc(sizeof(struct Node));
head->Next=NULL;
p=head;
scanf(""%d"",&num);
while(num>0)
{
scanf(""%d"",&number);
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=number;
p->Next=q;
p=q;
num--;
}
p->Next=NULL;
return head;
}

void Print( List L )
{
PtrToNode p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}

List Insert(List L, ElementType X)
{
	List p = L, q = p, s;
	s = (List)malloc(sizeof(struct Node));
	while (p)
	{
		if (p->Data>X) break;
		q = p;
		p = p->Next;
	}
	s->Data = X;
	s->Next = q->Next;
	q->Next = s;
	p = q;
	return L;
}",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert(List L, varb_0 X)
{
	List p = L, q = p, s;
	s =(List)malloc(sizeof(struct varb_1));
	while(p)
	{
		if(p->Data>X) break;
		q = p;
		p = p->Next;
	}
	s->Data = X;
	s->Next = q->Next;
	q->Next = s;
	p = q;
	return L;
}",55
1,2c9f30a56ef37e1f016f32e07f2a63f5,"#include <stdio.h>
#include <stdlib.h>

typedef int ElementType;
typedef struct Node *PtrToNode;
struct Node {
ElementType Data;
PtrToNode Next;
};
typedef PtrToNode List;

List Read(); 
void Print( List L ); 
List Insert( List L, ElementType X );

int main()
{
List L;
ElementType X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}

List Read()
{
List head,p,q;
int num,number;
head=(PtrToNode)malloc(sizeof(struct Node));
head->Next=NULL;
p=head;
scanf(""%d"",&num);
while(num>0)
{
scanf(""%d"",&number);
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=number;
p->Next=q;
p=q;
num--;
}
p->Next=NULL;
return head;
}

void Print( List L )
{
PtrToNode p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}

List Insert( List L, ElementType X )
{
int i=0;
List p,q;
p=L;
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=X;
q->Next=NULL;
while(p->Next!=NULL)
    {
     if(p->Next->Data>X)
       {
        q->Next=p->Next;
        p->Next=q;
        i=1;
        break;
       }
     p=p->Next;
    }
if(i==1)
  {
   p->Next=q;
   
  }
return L;
}",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, varb_0 X )
{
int varb_5=0;
List p,q;
p=L;
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=X;
q->Next=NULL;
while(p->Next!=NULL)
    {
     if(p->Next->Data>X)
       {
        q->Next=p->Next;
        p->Next=q;
        varb_5=1;
        break;
       }
     p=p->Next;
    }
if(varb_5==1)
  {
   p->Next=q;
  }
return L;
}",72
2,2c9f30a56ef37e1f016f32e07f2a63f5,"#include <stdio.h>
#include <stdlib.h>

typedef int ElementType;
typedef struct Node *PtrToNode;
struct Node {
ElementType Data;
PtrToNode Next;
};
typedef PtrToNode List;

List Read(); 
void Print( List L ); 
List Insert( List L, ElementType X );

int main()
{
List L;
ElementType X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}

List Read()
{
List head,p,q;
int num,number;
head=(PtrToNode)malloc(sizeof(struct Node));
head->Next=NULL;
p=head;
scanf(""%d"",&num);
while(num>0)
{
scanf(""%d"",&number);
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=number;
p->Next=q;
p=q;
num--;
}
p->Next=NULL;
return head;
}

void Print( List L )
{
PtrToNode p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, ElementType X )
{
	PtrToNode p,temp,q,head;
     head=p=L;		
    while(p->Next!=NULL)
	{    temp=p->Next;
		if((temp->Data)>X&&(p->Data)<X||(p->Data)==X)  
		{  q=(PtrToNode)malloc(sizeof(struct Node));
			q->Data=X;
			q->Next=p->Next;
			p->Next=q;			
		}
	p=p->Next;					
	}
	return head;
}",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, varb_0 X )
{
	varb_2 p,temp,q,head;
     head=p=L;		
    while(p->Next!=NULL)
	{    temp=p->Next;
		if((temp->Data)>X&&(p->Data)<X||(p->Data)==X)  
		{  q=(varb_2)malloc(sizeof(struct varb_1));
			q->Data=X;
			q->Next=p->Next;
			p->Next=q;			
		}
	p=p->Next;					
	}
	return head;
}",59
3,2c9f30a56ef37e1f016f32e07f2a63f5,"#include <stdio.h>

#include <stdlib.h>

typedef int ElementType;

typedef struct Node *PtrToNode;

struct Node {

ElementType Data;

PtrToNode Next;

};

typedef PtrToNode List;

List Read(); 

void Print( List L ); 

List Insert( List L, ElementType X );

int main()

{

List L;

ElementType X;

L = Read();

scanf(""%d"", &X);

L = Insert(L, X);

Print(L);

return 0;

}

List Read()

{

List head,p,q;

int num,number;

head=(PtrToNode)malloc(sizeof(struct Node));

head->Next=NULL;

p=head;

scanf(""%d"",&num);

while(num>0)

{

scanf(""%d"",&number);

q=(PtrToNode)malloc(sizeof(struct Node));

q->Data=number;

p->Next=q;

p=q;

num--;

}

p->Next=NULL;

return head;

}

void Print( List L )

{

PtrToNode p;

p=(L)->Next;

while(p!=NULL)

{

printf(""%d "",p->Data);

p=p->Next;

}

}

List Insert( List L, ElementType X )
{
List p,q;
q=(PtrToNode)malloc(sizeof(struct Node));
p=L;
q->Data=X;
while(p->Next!=NULL)
      { 
        if(X>p->Next->Data&&p->Next->Next==NULL) 
          {
           p->Next->Next=q;
           q->Next=NULL;
           break;
          }
        if(p->Next->Data>X)
          {
             q->Next=p->Next;
             p->Next=q;
             break;
          }
         p=p->Next;
      }
return L;
}",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, varb_0 X )
{
List p,q;
q=(varb_2)malloc(sizeof(struct varb_1));
p=L;
q->Data=X;
while(p->Next!=NULL)
      { 
        if(X>p->Next->Data&&p->Next->Next==NULL) 
          {
           p->Next->Next=q;
           q->Next=NULL;
           break;
          }
        if(p->Next->Data>X)
          {
             q->Next=p->Next;
             p->Next=q;
             break;
          }
         p=p->Next;
      }
return L;
}",61
4,2c9f30a56ef37e1f016f32e07f2a63f5,"#include <stdio.h>
#include <stdlib.h>

typedef int ElementType;
typedef struct Node *PtrToNode;
struct Node {
ElementType Data;
PtrToNode Next;
};
typedef PtrToNode List;

List Read(); 
void Print( List L ); 
List Insert( List L, ElementType X );

int main()
{
List L;
ElementType X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}

List Read()
{
List head,p,q;
int num,number;
head=(PtrToNode)malloc(sizeof(struct Node));
head->Next=NULL;
p=head;
scanf(""%d"",&num);
while(num>0)
{
scanf(""%d"",&number);
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=number;
p->Next=q;
p=q;
num--;
}
p->Next=NULL;
return head;
}

void Print( List L )
{
PtrToNode p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}

List Insert( List L, ElementType X )
{
int i=0;
List p,q;
p=L;
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=X;
q->Next=NULL;
while(p->Next!=NULL)
    {
     if(p->Next->Data>X)
       {
        q->Next=p->Next;
        p->Next=q;
        i=1;
        break;
       }
     p=p->Next;
    }
if(i==1)
   p->Next=q;
return L;
}",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, varb_0 X )
{
int varb_5=0;
List p,q;
p=L;
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=X;
q->Next=NULL;
while(p->Next!=NULL)
    {
     if(p->Next->Data>X)
       {
        q->Next=p->Next;
        p->Next=q;
        varb_5=1;
        break;
       }
     p=p->Next;
    }
if(varb_5==1)
   p->Next=q;
return L;
}",72
5,2c9f30a56ef37e1f016f32e07f2a63f5,"#include <stdio.h>
#include <stdlib.h>

typedef int ElementType;
typedef struct Node *PtrToNode;
struct Node {
ElementType Data;
PtrToNode Next;
};
typedef PtrToNode List;

List Read(); 
void Print( List L ); 
List Insert( List L, ElementType X );

int main()
{
List L;
ElementType X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}

List Read()
{
List head,p,q;
int num,number;
head=(PtrToNode)malloc(sizeof(struct Node));
head->Next=NULL;
p=head;
scanf(""%d"",&num);
while(num>0)
{
scanf(""%d"",&number);
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=number;
p->Next=q;
p=q;
num--;
}
p->Next=NULL;
return head;
}

void Print( List L )
{
PtrToNode p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}

List Insert( List L, ElementType X )
{
List p,q;
p=L;
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=X;
q->Next=NULL;
while(p->Next!=NULL)
    {
     if(p->Next->Data>X)
       {
        q->Next=p->Next;
        p->Next=q;
        break;
       }
     p=p->Next;
    }
return L;
}",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, varb_0 X )
{
List p,q;
p=L;
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=X;
q->Next=NULL;
while(p->Next!=NULL)
    {
     if(p->Next->Data>X)
       {
        q->Next=p->Next;
        p->Next=q;
        break;
       }
     p=p->Next;
    }
return L;
}",34
6,2c9f30a56ef37e1f016f32e07f2a63f5,"#include<stdio.h>
main()
{
	int n,i,j,m;
	scanf(""%d"",&n);
	int a[n+1];
	for(i=0;i<n;i++)
	scanf(""%d"",&a[i]);
	scanf(""%d"",&m);
	for(i=0;i<n;i++)
	{
		if(a[i]<m&&m<a[i+1])
		{
			for(j=n;j>i+1;j--)
		    a[j]=a[j-1];
		    a[i+1]=m;
		}	
	}
	for(i=0;i<=n;i++)
	printf(""%d "",a[i]);
}",0.0,"#include<stdio.h>
main()
{
	int varb_0,varb_1,varb_2,varb_3;
	scanf(""%d"",&varb_0);
	int varb_4[varb_0+1];
	for(varb_1=0;varb_1<varb_0;varb_1++)
	scanf(""%d"",&varb_4[varb_1]);
	scanf(""%d"",&varb_3);
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		if(varb_4[varb_1]<varb_3&&varb_3<varb_4[varb_1+1])
		{
			for(varb_2=varb_0;varb_2>varb_1+1;varb_2--)
		    varb_4[varb_2]=varb_4[varb_2-1];
		    varb_4[varb_1+1]=varb_3;
		}	
	}
	for(varb_1=0;varb_1<=varb_0;varb_1++)
	printf(""%d "",varb_4[varb_1]);
}",12
7,2c9f30a56ef37e1f016f32e07f2a63f5,"#include <stdio.h>
#include <stdlib.h>

typedef int ElementType;
typedef struct Node *PtrToNode;
struct Node {
ElementType Data;
PtrToNode Next;
};
typedef PtrToNode List;

List Read(); 
void Print( List L ); 
List Insert( List L, ElementType X );

int main()
{
List L;
ElementType X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}

List Read()
{
List head,p,q;
int num,number;
head=(PtrToNode)malloc(sizeof(struct Node));
head->Next=NULL;
p=head;
scanf(""%d"",&num);
while(num>0)
{
scanf(""%d"",&number);
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=number;
p->Next=q;
p=q;
num--;
}
p->Next=NULL;
return head;
}

void Print( List L )
{
PtrToNode p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, ElementType X )
{
    List t,p,q;
     p=L->Next;
     q=(List)malloc(sizeof(L));     
     q->Data=X;
     while(p){
        if(X>p->Data){
            t=p;
            p=p->Next;
        }
        else{
            break;
        }
        q->Next=p;
        t->Next=q;
        
    }return L;
}
        ",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, varb_0 X )
{
    List t,p,q;
     p=L->Next;
     q=(List)malloc(sizeof(L));     
     q->Data=X;
     while(p){
        if(X>p->Data){
            t=p;
            p=p->Next;
        }
        else{
            break;
        }
        q->Next=p;
        t->Next=q;
    }return L;
}
",55
8,2c9f30a56ef37e1f016f32e07f2a63f5,"#include <stdio.h>
#include <stdlib.h>

typedef int ElementType;
typedef struct Node *PtrToNode;
struct Node {
ElementType Data;
PtrToNode Next;
};
typedef PtrToNode List;

List Read(); 
void Print( List L ); 
List Insert( List L, ElementType X );

int main()
{
List L;
ElementType X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}

List Read()
{
List head,p,q;
int num,number;
head=(PtrToNode)malloc(sizeof(struct Node));
head->Next=NULL;
p=head;
scanf(""%d"",&num);
while(num+1>0)
{
scanf(""%d"",&number);
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=number;
p->Next=q;
p=q;
num--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
PtrToNode p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert(List L, ElementType X)
{
	List p = L, q = p, s;
	s = (List)malloc(sizeof(struct Node));
	while (p)
	{
		if (p->Data>X) break;
		q = p;
		p = p->Next;
	}
	s->Data = X;
	s->Next = q->Next;
	q->Next = s;
	p = q;
	return L;
}
",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3+1>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert(List L, varb_0 X)
{
	List p = L, q = p, s;
	s =(List)malloc(sizeof(struct varb_1));
	while(p)
	{
		if(p->Data>X) break;
		q = p;
		p = p->Next;
	}
	s->Data = X;
	s->Next = q->Next;
	q->Next = s;
	p = q;
	return L;
}
",31
9,2c9f30a56ef37e1f016f32e07f2a63f5,"
#include <stdio.h>
#include <stdlib.h>

typedef int ElementType;
typedef struct Node *PtrToNode;
struct Node {
ElementType Data;
PtrToNode Next;
};
typedef PtrToNode List;

List Read(); 
void Print( List L ); 
List Insert( List L, ElementType X );

int main()
{
List L;
ElementType X;

L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}

List Read()
{
List head,p,q;
int num,number;
head=(PtrToNode)malloc(sizeof(struct Node));
head->Next=NULL;
p=head;
scanf(""%d"",&num);
while(num>0)
{
scanf(""%d"",&number);
q=(PtrToNode)malloc(sizeof(struct Node));
q->Data=number;
p->Next=q;
p=q;
num--;
}
p->Next=NULL;
return head;
}

void Print( List L )
{
PtrToNode p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, ElementType X ){
	List j=L->Next;
	List k=L;
	do{
		if(j->Data>X){
			k->Next=(List)malloc(sizeof(struct Node));
			k=k->Next;
			k->Data=X;
			k->Next=j;
			break;
		}
		k=j;
		j=j->Next;
		if(j==NULL){
			k->Next=(List)malloc(sizeof(struct Node));
			break;
		}
	}while(1);
	return L; 
} ",0.0,"#include <stdio.h>
#include <stdlib.h>
typedef int varb_0;
typedef struct varb_1 *varb_2;
struct varb_1 {
varb_0 Data;
varb_2 Next;
};
typedef varb_2 List;
List Read(); 
void Print( List L ); 
List Insert( List L, varb_0 X );
int main()
{
List L;
varb_0 X;
L = Read();
scanf(""%d"", &X);
L = Insert(L, X);
Print(L);
return 0;
}
List Read()
{
List head,p,q;
int varb_3,varb_4;
head=(varb_2)malloc(sizeof(struct varb_1));
head->Next=NULL;
p=head;
scanf(""%d"",&varb_3);
while(varb_3>0)
{
scanf(""%d"",&varb_4);
q=(varb_2)malloc(sizeof(struct varb_1));
q->Data=varb_4;
p->Next=q;
p=q;
varb_3--;
}
p->Next=NULL;
return head;
}
void Print( List L )
{
varb_2 p;
p=(L)->Next;
while(p!=NULL)
{
printf(""%d "",p->Data);
p=p->Next;
}
}
List Insert( List L, varb_0 X ){
	List j=L->Next;
	List k=L;
	do{
		if(j->Data>X){
			k->Next=(List)malloc(sizeof(struct varb_1));
			k=k->Next;
			k->Data=X;
			k->Next=j;
			break;
		}
		k=j;
		j=j->Next;
		if(j==NULL){
			k->Next=(List)malloc(sizeof(struct varb_1));
			break;
		}
	}while(1);
	return L; 
} ",72
