,id,code,is_true,format_code,errorline
0,2c9f30a575ceffb9017660899621720e,"#include <stdio.h>
#include <string.h>
#include <stdlib.h>
int main()
{
	char *p[]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""};
	int repeat;		//输入几个数
	int i,j;		//用于循环和数组下标
	//int flag = 0;	//判断是否有输出那句话
	char tmp[50];	//输入的字符串
	scanf(""%d"",&repeat);
	for(i=0;i<repeat;i++)
	{
		gets(tmp);
		for(j=0;j<7;j++)
		{
			if(strcmp(tmp,p[j])==0)
			{
				printf(""%d\n"",j+1);
				break;
			}
			else if(j==6)
				printf(""-1\n"");
		}
	}
	return 0;
}",0.0,"#include <stdio.h>
#include <string.h>
#include <stdlib.h>
int main()
{
	char *varb_0[]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""};
	int varb_1;		
	int varb_2,varb_3;		
	char varb_4[50];	
	scanf(""%d"",&varb_1);
	for(varb_2=0;varb_2<varb_1;varb_2++)
	{
		gets(varb_4);
		for(varb_3=0;varb_3<7;varb_3++)
		{
			if(strcmp(varb_4,varb_0[varb_3])==0)
			{
				printf(""%d\n"",varb_3+1);
				break;
			}
			else if(varb_3==6)
				printf(""-1\n"");
		}
	}
	return 0;
}",17
1,2c9f30a575ceffb9017660899621720e,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j,f;
	const char *a[]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""};
	scanf(""%d "",&n);
	char s[8];
	for(i=0;i<n;i++)
	{
		f=1;
		gets(s);
		for(j=0;j<7;j++)
		{
			if(strcmp(a[i],s)==0)
				{
					printf(""%d"",i+1);
					f=0;
					break;
				}
		}
		if(f)
			printf(""-1"");
	}
}
",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	const char *varb_4[]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""};
	scanf(""%d "",&varb_0);
	char varb_5[8];
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		varb_3=1;
		gets(varb_5);
		for(varb_2=0;varb_2<7;varb_2++)
		{
			if(strcmp(varb_4[varb_1],varb_5)==0)
				{
					printf(""%d"",varb_1+1);
					varb_3=0;
					break;
				}
		}
		if(varb_3)
			printf(""-1"");
	}
}
",15
2,2c9f30a575ceffb9017660899621720e,"#include<stdio.h>
#include<string.h>
int main()
{
    static char *a[7]={""Sunday"","" Monday"", ""Tuesday"","" Wednesday"","" Thursday"", ""Friday"","" Saturday""};
   int repeat;
   int i,j;
   int flag=0;
   scanf(""%d"",&repeat);
   for(j=0;j<repeat;j++){
   char b[16];
   flag=0;
   scanf(""%s"",&b);
   for(i=0;i<7;i++){
   if(strcmp(b,a[i])==0){
    flag=i+1;
   printf(""%d"",flag);}
   
  }
   if(flag==0)
   printf(""%d"",-1);
   }
  
 
  
   
   
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
    static char *varb_0[7]={""Sunday"","" Monday"", ""Tuesday"","" Wednesday"","" Thursday"", ""Friday"","" Saturday""};
   int varb_1;
   int varb_2,varb_3;
   int varb_4=0;
   scanf(""%d"",&varb_1);
   for(varb_3=0;varb_3<varb_1;varb_3++){
   char varb_5[16];
   varb_4=0;
   scanf(""%s"",&varb_5);
   for(varb_2=0;varb_2<7;varb_2++){
   if(strcmp(varb_5,varb_0[varb_2])==0){
    varb_4=varb_2+1;
   printf(""%d"",varb_4);}
  }
   if(varb_4==0)
   printf(""%d"",-1);
   }
}",2
3,2c9f30a575ceffb9017660899621720e,"#include <stdio.h>
#include <string.h>
int main()
{
	int n,i,j,t;
	char *a[]={""Sunday"",""Monday"","" Tuesday "",""Wednesday "",""Thursday"",
	"" Friday "",""Saturday""};
	char str[100];
	scanf(""%d"",&n);
	getchar();
	for(i=0;i<n;i++)
	{
		
		scanf(""%s"",&str);
		for(t=0;t<7;t++)
		{
		if(strcmp(a[t],str)==0)
		{
			printf(""%d\n"",t+1);
			break;
		}
		else
		{
		printf(""-1\n"");
		}
	}
	}
	
}",0.0,"#include <stdio.h>
#include <string.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	char *varb_4[]={""Sunday"",""Monday"","" Tuesday "",""Wednesday "",""Thursday"",
	"" Friday "",""Saturday""};
	char varb_5[100];
	scanf(""%d"",&varb_0);
	getchar();
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		scanf(""%s"",&varb_5);
		for(varb_3=0;varb_3<7;varb_3++)
		{
		if(strcmp(varb_4[varb_3],varb_5)==0)
		{
			printf(""%d\n"",varb_3+1);
			break;
		}
		else
		{
		printf(""-1\n"");
		}
	}
	}
}",16
4,2c9f30a575ceffb9017660899621720e,"#include<stdio.h>
#include<string.h>
int main()
{
int repeat,i,j,n=0;
char *a[7]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""};
scanf(""%d"",&repeat);
char s[20];
for(i=0;i<repeat;i++)
   {
     gets(s);
     for(j=0;j<7;j++) 
        {   
          if(strstr(s,a[j])!=NULL)
           {
            printf (""%d\n"",j+1);
            n=1;
            break;
           }  
        }
      if(n==0) 
         printf (""-1\n"") ;
    }
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3=0;
char *varb_4[7]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""};
scanf(""%d"",&varb_0);
char varb_5[20];
for(varb_1=0;varb_1<varb_0;varb_1++)
   {
     gets(varb_5);
     for(varb_2=0;varb_2<7;varb_2++) 
        {   
          if(strstr(varb_5,varb_4[varb_2])!=NULL)
           {
            printf(""%d\n"",varb_2+1);
            varb_3=1;
            break;
           }  
        }
      if(varb_3==0) 
         printf(""-1\n"") ;
    }
}",5
5,2c9f30a575ceffb9017660899621720e,"#include<stdio.h>
#include<string.h>
 
int main() {
    char week[7][15] = { ""Sunday"", ""Monday"",
                ""Tuesday"",""Wednesday"",
                ""Thursday"", ""Friday"",
                ""Saturday""
    };                                //开个二维数组制表        
    int i, n, j;
    char s[15];
    scanf(""%d "", &n);        //注意点：此处%d后有个空格后者是\n，吃掉回车，防止影响gets
    for (i = 0; i < n; i++) {
        gets(s);
        for (j = 0; j < 7; j++)
            if (!strcmp(s, week[j])) {            //如果返回值为0，则说明两个串相等
                printf(""%d\n"", j + 1);             //因为数组下标从0开始，所以要加1
                break;
            }
        if (j == 7)                        //如果j == 7，则说明没找到相等的，输出-1
            printf(""-1\n"");
    }
    return 0;
}",0.0,"#include<stdio.h>
#include<string.h>
int main() {
    char varb_0[7][15] = { ""Sunday"", ""Monday"",
                ""Tuesday"",""Wednesday"",
                ""Thursday"", ""Friday"",
                ""Saturday""
    };                                
    int varb_1, varb_2, varb_3;
    char varb_4[15];
    scanf(""%d "", &varb_2);        
    for(varb_1 = 0; varb_1 < varb_2; varb_1++) {
        gets(varb_4);
        for(varb_3 = 0; varb_3 < 7; varb_3++)
            if(!strcmp(varb_4, varb_0[varb_3])) {            
                printf(""%d\n"", varb_3 + 1);             
                break;
            }
        if(varb_3 == 7)                        
            printf(""-1\n"");
    }
    return 0;
}",23
6,2c9f30a575ceffb9017660899621720e,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	scanf(""%d"",&n);
	char *a[7]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""};
	
    char b[80];  
	for(i=0;i<n;i++)
	{
	scanf(""%s"",b);
	for(j=0;j<7;j++)
	{
		if(strcmp(a[j],b)==0)
		{printf(""%d/n"",j+1);
        break;}
		else
		printf(""-1"");
	}   	 
	}
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
	int varb_0,varb_1,varb_2;
	scanf(""%d"",&varb_0);
	char *varb_3[7]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""};
    char varb_4[80];  
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
	scanf(""%s"",varb_4);
	for(varb_2=0;varb_2<7;varb_2++)
	{
		if(strcmp(varb_3[varb_2],varb_4)==0)
		{printf(""%d/n"",varb_2+1);
        break;}
		else
		printf(""-1"");
	}   	 
	}
}",5
7,2c9f30a575ceffb9017660899621720e,"#include <stdio.h>
#include <string.h>
int main()
{
	int n,i,j,t;
	char *a[]={""Sunday"",""Monday"","" Tuesday "",""Wednesday "",""Thursday"",
	"" Friday "",""Saturday""};
	char str[100];
	scanf(""%d"",&n);
	getchar();
	for(i=0;i<n;i++)
	{
		
		scanf(""%s"",&str);
		for(t=0;t<7;t++)
		{
		if(strcmp(a[t],str)==0)
		{
			printf(""%d\n"",t+1);
			break;
		}
	if(t==7)
    {
		printf(""-1\n"");
		}
	}	
		
	}
    
	
}",0.0,"#include <stdio.h>
#include <string.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	char *varb_4[]={""Sunday"",""Monday"","" Tuesday "",""Wednesday "",""Thursday"",
	"" Friday "",""Saturday""};
	char varb_5[100];
	scanf(""%d"",&varb_0);
	getchar();
	for(varb_1=0;varb_1<varb_0;varb_1++)
	{
		scanf(""%s"",&varb_5);
		for(varb_3=0;varb_3<7;varb_3++)
		{
		if(strcmp(varb_4[varb_3],varb_5)==0)
		{
			printf(""%d\n"",varb_3+1);
			break;
		}
	if(varb_3==7)
    {
		printf(""-1\n"");
		}
	}	
	}
}",16
8,2c9f30a575ceffb9017660899621720e,"#include<stdio.h>
#include<string.h>
int main()
{
   char *a[7]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"", ""Saturday""};
   int repeat,i,j,b;
   char n[80],c;
   scanf(""%d"",& repeat);
   for(i=0;i<repeat;i++)
   {   b=0;
       scanf(""%s"",&n);
       for(j=0;j<7;j++)
       {
         if(strcmp(a[j],n)==-1)
         b++;
         else
         printf(""%d\n"",j+1);
         
           
        }
        if(b==7)
        printf(""-1\n"");
        }
        return 0;
        }
        
       
           
         
       ",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
   char *varb_0[7]={""Sunday"",""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"", ""Saturday""};
   int varb_1,varb_2,varb_3,varb_4;
   char varb_5[80],c;
   scanf(""%d"",& varb_1);
   for(varb_2=0;varb_2<varb_1;varb_2++)
   {   varb_4=0;
       scanf(""%s"",&varb_5);
       for(varb_3=0;varb_3<7;varb_3++)
       {
         if(strcmp(varb_0[varb_3],varb_5)==-1)
         varb_4++;
         else
         printf(""%d\n"",varb_3+1);
        }
        if(varb_4==7)
        printf(""-1\n"");
        }
        return 0;
        }
",14
9,2c9f30a575ceffb9017660899621720e,"#include<stdio.h>
#include<string.h>
int main()
{
char s1[10];
int a,i,j;
scanf(""%d"",&a);
for(i=0;i<a+1;i++)
{
gets(s1);
if(strcmp(s1,""Sunday"")==0)
printf(""1"");
else if(strcmp(s1,""Monday"")==0)
printf(""2"");
else if(strcmp(s1,""Tuesday"")==0)
printf(""3"");
else if(strcmp(s1,""Wednesday"")==0)
printf(""4"");
else if(strcmp(s1,""Thursday"")==0)
printf(""5"");
else if(strcmp(s1,""Friday"")==0)
printf(""6"");
else if(strcmp(s1,""Saturday"")==0)
printf(""7"");
else if(strcmp(s1,""year"")==0)
printf(""-1"");
printf(""\n"");
}
}



",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[10];
int varb_1,varb_2,varb_3;
scanf(""%d"",&varb_1);
for(varb_2=0;varb_2<varb_1+1;varb_2++)
{
gets(varb_0);
if(strcmp(varb_0,""Sunday"")==0)
printf(""1"");
else if(strcmp(varb_0,""Monday"")==0)
printf(""2"");
else if(strcmp(varb_0,""Tuesday"")==0)
printf(""3"");
else if(strcmp(varb_0,""Wednesday"")==0)
printf(""4"");
else if(strcmp(varb_0,""Thursday"")==0)
printf(""5"");
else if(strcmp(varb_0,""Friday"")==0)
printf(""6"");
else if(strcmp(varb_0,""Saturday"")==0)
printf(""7"");
else if(strcmp(varb_0,""year"")==0)
printf(""-1"");
printf(""\n"");
}
}
",6
