,id,code,is_true,format_code,errorline
0,2c9f30a576c1c3dd017bdd20d9b16a4b,"#include<stdio.h>
#include<math.h>
int main()
{ 
int x;
double result;
scanf(""%d"",&x);
if(x>=0){
result=pow(x,0.5);
printf(""f(%.2lf) = %.2lf"",x*1.0,result);}
   else {
  result=sqrt(x)+2*x+1/x;
   printf(""f(%.2lf)=%.2lf"",x,result);}
    return 0;
}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{ 
int varb_0;
double varb_1;
scanf(""%d"",&varb_0);
if(varb_0>=0){
varb_1=pow(varb_0,0.5);
printf(""f(%.2lf) = %.2lf"",varb_0*1.0,varb_1);}
   else {
  varb_1=sqrt(varb_0)+2*varb_0+1/varb_0;
   printf(""f(%.2lf)=%.2lf"",varb_0,varb_1);}
    return 0;
}",5
1,2c9f30a576c1c3dd017bdd20d9b16a4b,"#include<stdio.h>
#include<math.h>
int main(void)
{
double x,result;
scanf(""%1f"",&x);
if(x>=0)
result=pow(x,0.5);

else
result=pow(x+1,2)+2*x+1.0/x;
printf(""f(%.2f)=%.2f"");
return 0;
}


",0.0,"#include<stdio.h>
#include<math.h>
int main(void)
{
double varb_0,varb_1;
scanf(""%1f"",&varb_0);
if(varb_0>=0)
varb_1=pow(varb_0,0.5);
else
varb_1=pow(varb_0+1,2)+2*varb_0+1.0/varb_0;
printf(""f(%.2f)=%.2f"");
return 0;
}
",6
2,2c9f30a576c1c3dd017bdd20d9b16a4b,"#include<stdio.h>
#include<math.h>


  int main()
{
  float x,y;
  scanf(""%f"",&x);
   if(x>=0)
 {
 y=sqrt(x);
 printf(""f(%.2f)=%.2f"",x,y);
 }
 if(x<0)
 {
  y+pow((x+1),2)+2*x+1/x;
 printf(""f(%.2f)=%.2f"",x,y);
 }

 return 0;
 }",0.0,"#include<stdio.h>
#include<math.h>
  int main()
{
  float varb_0,varb_1;
  scanf(""%f"",&varb_0);
   if(varb_0>=0)
 {
 varb_1=sqrt(varb_0);
 printf(""f(%.2f)=%.2f"",varb_0,varb_1);
 }
 if(varb_0<0)
 {
  varb_1+pow((varb_0+1),2)+2*varb_0+1/varb_0;
 printf(""f(%.2f)=%.2f"",varb_0,varb_1);
 }
 return 0;
 }",14
3,2c9f30a576c1c3dd017bdd20d9b16a4b,"#include<stdio.h>
#include<math.h>
int main()
{
  float x,result;
  scanf(""%.2f"",&x);
 if (x>=0)
 { result=sqrt(x);
 printf (""f(%.2f)=%.2f"",x,result);}
  else
    { result=(pow(x+1,2)+2*x+1/x);}
     printf (""f(%.2f)=%.2f"",x,result);
     return 0;
     }",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
  float varb_0,varb_1;
  scanf(""%.2f"",&varb_0);
 if(varb_0>=0)
 { varb_1=sqrt(varb_0);
 printf(""f(%.2f)=%.2f"",varb_0,varb_1);}
  else
    { varb_1=(pow(varb_0+1,2)+2*varb_0+1/varb_0);}
     printf(""f(%.2f)=%.2f"",varb_0,varb_1);
     return 0;
     }",6
4,2c9f30a576c1c3dd017bdd20d9b16a4b,"/* Note:Your choice is C IDE */
#include ""stdio.h""
#include""math.h""
int main(void)
{
	double x,y;
	scanf(""%1f"",&x);
    if(x>=0)
      printf(""f(%.21f)=%.21f"",x,sqrt(x));
    else
      printf(""f(%.21f)=%.21f"",x,pow(x+1,2)+2*x+1/x);
    
    return 0;
}",0.0,"#include ""stdio.h""
#include""math.h""
int main(void)
{
	double varb_0,varb_1;
	scanf(""%1f"",&varb_0);
    if(varb_0>=0)
      printf(""f(%.21f)=%.21f"",varb_0,sqrt(varb_0));
    else
      printf(""f(%.21f)=%.21f"",varb_0,pow(varb_0+1,2)+2*varb_0+1/varb_0);
    return 0;
}",5
5,2c9f30a576c1c3dd017bdd20d9b16a4b,"#define _CRT_SECURE_NO_WARNINGS 1
#include<stdio.h>
#include<stdlib.h>
#include<math.h>
int main()
{
	double x, result;
	scanf(""%lf"", &x);
	if (x >= 0)
	{
		result = sqrt(x);
	}
	else
	{
		result = pow((x + 1), 2) + 2 * x + 1 / x;
	}
	printf(""f(%.2f) = %.2f\n"", x, result);
	system(""pause"");
	return 0;
}",0.0,"#define _CRT_SECURE_NO_WARNINGS 1
#include<stdio.h>
#include<stdlib.h>
#include<math.h>
int main()
{
	double varb_0, varb_1;
	scanf(""%lf"", &varb_0);
	if(varb_0 >= 0)
	{
		varb_1 = sqrt(varb_0);
	}
	else
	{
		varb_1 = pow((varb_0 + 1), 2) + 2 * varb_0 + 1 / varb_0;
	}
	printf(""f(%.2f) = %.2f\n"", varb_0, varb_1);
	system(""pause"");
	return 0;
}",18
6,2c9f30a576c1c3dd017bdd20d9b16a4b,"#include<math.h>
#include<stdio.h>

int main()
{
  double x,result;
  scanf(""%if"",&x);
  if(x>=0)
{
  result=pow(x,1/2);
  printf(""f(%.2f)=%.2f"",x,result);
}
  else
{  
  result=pow(x+1,2)+2*x+1/x;
  printf(""f(%.2f)=%.2f"",x,result);
}
  return 0;
}
",0.0,"#include<math.h>
#include<stdio.h>
int main()
{
  double varb_0,varb_1;
  scanf(""%if"",&varb_0);
  if(varb_0>=0)
{
  varb_1=pow(varb_0,1/2);
  printf(""f(%.2f)=%.2f"",varb_0,varb_1);
}
  else
{  
  varb_1=pow(varb_0+1,2)+2*varb_0+1/varb_0;
  printf(""f(%.2f)=%.2f"",varb_0,varb_1);
}
  return 0;
}
",2
7,2c9f30a576c1c3dd017bdd20d9b16a4b,"#include<stdio.h>
#include<math.h>
int main()
{
  double x,result;
  scanf(""%1f"",&x);
  if(x>=0)
    result=pow(x,0.5);
  else
    result=pow(x+1,2)+2*x+1/x;
  printf(""f(%.2f)=%.2f\n"",x,result);
  return 0;
}
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
  double varb_0,varb_1;
  scanf(""%1f"",&varb_0);
  if(varb_0>=0)
    varb_1=pow(varb_0,0.5);
  else
    varb_1=pow(varb_0+1,2)+2*varb_0+1/varb_0;
  printf(""f(%.2f)=%.2f\n"",varb_0,varb_1);
  return 0;
}
",6
8,2c9f30a576c1c3dd017bdd20d9b16a4b,"#include<stdio.h>

#include<math.h>

int main()

{

float x,fx;

scanf(""%f"",&x);

if(x>=0)

{fx=pow(x,0.5);

printf(""fx=%.2f"",fx);

}

 else

fx=pow(x+1,2)+2*x+1/x;

printf(""fx=%.2f"",fx);

 return 0;

}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float varb_0,varb_1;
scanf(""%f"",&varb_0);
if(varb_0>=0)
{varb_1=pow(varb_0,0.5);
printf(""fx=%.2f"",varb_1);
}
 else
varb_1=pow(varb_0+1,2)+2*varb_0+1/varb_0;
printf(""fx=%.2f"",varb_1);
 return 0;
}",5
9,2c9f30a576c1c3dd017bdd20d9b16a4b,"#include<stdio.h>
#include<math.h>
int main()
{
  float x,result;
  scanf(""%.2f"",&x);
 if (x>=0.00)
 { result=sqrt(x);
 printf (""f(%.2f)=%.2f"",x,result);}
  else
    { result=(pow(x+1,2)+2*x+1/x);}
     printf (""f(%.2f)=%.2f"",x,result);
     return 0;
     }",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
  float varb_0,varb_1;
  scanf(""%.2f"",&varb_0);
 if(varb_0>=0.00)
 { varb_1=sqrt(varb_0);
 printf(""f(%.2f)=%.2f"",varb_0,varb_1);}
  else
    { varb_1=(pow(varb_0+1,2)+2*varb_0+1/varb_0);}
     printf(""f(%.2f)=%.2f"",varb_0,varb_1);
     return 0;
     }",6
