,id,code,is_true,format_code,errorline
0,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main()
{
float a,cost;
scanf(""%.2f"",&a);
if(a<0)
{
printf(""Invalid Value!"");
}
if(a<=50)
{
cost=0.53*a;
printf(""cost=%.2f"",cost);
}
else if(a>50)
{
cost=50*0.53+(a-50)*0.58;
printf(""cost=%.2f"",cost);
}

return 0;
}",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1;
scanf(""%.2f"",&varb_0);
if(varb_0<0)
{
printf(""Invalid Value!"");
}
if(varb_0<=50)
{
varb_1=0.53*varb_0;
printf(""cost=%.2f"",varb_1);
}
else if(varb_0>50)
{
varb_1=50*0.53+(varb_0-50)*0.58;
printf(""cost=%.2f"",varb_1);
}
return 0;
}",5
1,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>

#include<math.h>

int main()

{

float coast,x;

scanf(""%f"",&x);

if (x<0)

{

printf(""Invalid Value!"");

}

else

if (x<=50)

{

coast=0.53*x;

printf(""coast= %.2f"",coast);

}

else 

{

coast=0.53*50+0.58*(x-50);

printf(""coast= %.2f"",coast);
}

}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float varb_0,varb_1;
scanf(""%f"",&varb_1);
if(varb_1<0)
{
printf(""Invalid Value!"");
}
else
if(varb_1<=50)
{
varb_0=0.53*varb_1;
printf(""coast= %.2f"",varb_0);
}
else 
{
varb_0=0.53*50+0.58*(varb_1-50);
printf(""coast= %.2f"",varb_0);
}
}",15
2,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
#include<math.h>
int main()
{
	int x;
	double y;
	scanf(""%d"",&x);
	if (x<0)
	 printf(""Invalid Value!"") ; 
	else if(x<=50)
	{
		y=x*0.53;
		printf(""cost=%.2f"",y);
	}
	else if(x>50)
	{
		y=x*0.53+(x-50)*0.58;
		printf(""cost=%.2f"",y);
	}
	return 0;
}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
	int varb_0;
	double varb_1;
	scanf(""%d"",&varb_0);
	if(varb_0<0)
	 printf(""Invalid Value!"") ; 
	else if(varb_0<=50)
	{
		varb_1=varb_0*0.53;
		printf(""cost=%.2f"",varb_1);
	}
	else if(varb_0>50)
	{
		varb_1=varb_0*0.53+(varb_0-50)*0.58;
		printf(""cost=%.2f"",varb_1);
	}
	return 0;
}",17
3,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>

int main()

{ 

int x;

double cost;

scanf(""%d"",&x);

if(0<=x&&x<=50){

cost=0.53*x;

    printf(""cost=%.2lf"",cost);}

    else if(x>50){

    cost=50*0.53+0.58*(x-59);

    printf(""cost=%.2lf"",cost);}

    else 

    printf(""Invalid Value!"");

    return 0;

}",0.0,"#include<stdio.h>
int main()
{ 
int varb_0;
double varb_1;
scanf(""%d"",&varb_0);
if(0<=varb_0&&varb_0<=50){
varb_1=0.53*varb_0;
    printf(""cost=%.2lf"",varb_1);}
    else if(varb_0>50){
    varb_1=50*0.53+0.58*(varb_0-59);
    printf(""cost=%.2lf"",varb_1);}
    else 
    printf(""Invalid Value!"");
    return 0;
}",11
4,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main()
{
float a,c;
scanf(""%f"",&a);
if(a>50)
{
c=26.5+0.58*a;
}
else if(a<0)
{
    printf(""Invalid Value!"");
    return 0;
}
else
{
c=0.53*a;
}
printf(""cost = %.2f"",c);
return 0;
}

",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1;
scanf(""%f"",&varb_0);
if(varb_0>50)
{
varb_1=26.5+0.58*varb_0;
}
else if(varb_0<0)
{
    printf(""Invalid Value!"");
    return 0;
}
else
{
varb_1=0.53*varb_0;
}
printf(""cost = %.2f"",varb_1);
return 0;
}
",8
5,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>

int main()
{
  double a,cost;
    a=-10;
    scanf(""%lf"",&a);
  if(a>=0&&a<=50)
    {printf(""cost=%.2f"",cost=0.53*a);
}
  else if(a>50)
    {printf(""cost=%.2f"",cost=50*0.53+0.58*(a-50));
}
   else
     {printf(""Invalid Valve!"");
}
     return 0;
}
  ",0.0,"#include<stdio.h>
int main()
{
  double varb_0,varb_1;
    varb_0=-10;
    scanf(""%lf"",&varb_0);
  if(varb_0>=0&&varb_0<=50)
    {printf(""cost=%.2f"",varb_1=0.53*varb_0);
}
  else if(varb_0>50)
    {printf(""cost=%.2f"",varb_1=50*0.53+0.58*(varb_0-50));
}
   else
     {printf(""Invalid Valve!"");
}
     return 0;
}
",14
6,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>

int main()
{
  double a,cost;
    a=-10;
    scanf(""%lf"",&a);
  if(a>=0&&a<=50)
    {printf(""cost=%.2f"",cost=0.53*a);
}
  else if(a>50)
    {printf(""cost=%.2f"",cost=50*0.53+(a-50)*0.58);
}
   else
     {printf(""Invalid Valve!"");
}
     return 0;
}
  ",0.0,"#include<stdio.h>
int main()
{
  double varb_0,varb_1;
    varb_0=-10;
    scanf(""%lf"",&varb_0);
  if(varb_0>=0&&varb_0<=50)
    {printf(""cost=%.2f"",varb_1=0.53*varb_0);
}
  else if(varb_0>50)
    {printf(""cost=%.2f"",varb_1=50*0.53+(varb_0-50)*0.58);
}
   else
     {printf(""Invalid Valve!"");
}
     return 0;
}
",11
7,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main()
{
float a,cost;
scanf(""%.2f"",&a);
if(a>0&&a<=50)
{cost=0.53*a;
printf(""cost=%.2f"",cost);
}
else if(a>50)
{cost=50*0.53+(a-50)*0.58;
printf(""cost=%.2f"",cost);
}
else{
printf(""Invalid Value!"");}
return 0;
}",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1;
scanf(""%.2f"",&varb_0);
if(varb_0>0&&varb_0<=50)
{varb_1=0.53*varb_0;
printf(""cost=%.2f"",varb_1);
}
else if(varb_0>50)
{varb_1=50*0.53+(varb_0-50)*0.58;
printf(""cost=%.2f"",varb_1);
}
else{
printf(""Invalid Value!"");}
return 0;
}",5
8,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main()
{
float x,cost;
scanf(""%f"",&x);
  if(x>=0&&x<=50)
  { 
    cost=0.53*x;
    printf(""xost=%.2f"",cost);
    }
  else if(x>50)
   { 
     cost=0.53*50+0.58*(x-50);
     printf(""cost=%.2f"",cost);
     }
  else
     printf(""Invalid Value!"");
  return 0;
  }
     ",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1;
scanf(""%f"",&varb_0);
  if(varb_0>=0&&varb_0<=50)
  { 
    varb_1=0.53*varb_0;
    printf(""xost=%.2f"",varb_1);
    }
  else if(varb_0>50)
   { 
     varb_1=0.53*50+0.58*(varb_0-50);
     printf(""cost=%.2f"",varb_1);
     }
  else
     printf(""Invalid Value!"");
  return 0;
  }
",9
9,2c9f30a576c1c3dd017bdd2f82b36a5d,"#include<stdio.h>
int main()
{
    float a,b,cost;
    scanf(""%f"",&a);
	if(a<0)
	printf(""Invalid Value!"");
	else if(a>=0&&a<=50)
	cost=0.53*a;
	else if(a>50)
	cost=0.53*a+0.58*(a-50);
	printf(""cost=%.2f"",cost);
	

	return 0;
	}",0.0,"#include<stdio.h>
int main()
{
    float varb_0,varb_1,varb_2;
    scanf(""%f"",&varb_0);
	if(varb_0<0)
	printf(""Invalid Value!"");
	else if(varb_0>=0&&varb_0<=50)
	varb_2=0.53*varb_0;
	else if(varb_0>50)
	varb_2=0.53*varb_0+0.58*(varb_0-50);
	printf(""cost=%.2f"",varb_2);
	return 0;
	}",11
