,id,code,is_true,format_code,errorline
0,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>

int main()

{

    printf(""\n************\n    Welcome\n************\n"");

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
    printf(""\n************\n    Welcome\n************\n"");
    return 0;
}",4
1,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>
int main()
{
	printf(""************\n"");
	printf(""  Welcome\t\t\t\n"");
	printf(""************\n"");
	return 0;
	
	
	
	
}",0.0,"#include<stdio.h>
int main()
{
	printf(""************\n"");
	printf(""  Welcome\t\t\t\n"");
	printf(""************\n"");
	return 0;
}",4
2,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>

int main()

{

    printf(""\n************\n  Welcome\n************\n"");

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
    printf(""\n************\n  Welcome\n************\n"");
    return 0;
}",4
3,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>
int main()
{
printf(""************\n"");
printf(""  welcome\n"");
printf(""************\n"");

return 0;
}",0.0,"#include<stdio.h>
int main()
{
printf(""************\n"");
printf(""  welcome\n"");
printf(""************\n"");
return 0;
}",5
4,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>
int main()
{
printf(""************\n"");
printf(""  Wlcome\n"");
printf(""************\n"");

return 0;
}",0.0,"#include<stdio.h>
int main()
{
printf(""************\n"");
printf(""  Wlcome\n"");
printf(""************\n"");
return 0;
}",5
5,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>

int main()

{

    printf(""************\n  welcome\n************"");

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
    printf(""************\n  welcome\n************"");
    return 0;
}",4
6,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>
int main()
{
    printf(""************\n  welcome\n************"");
    return 0;
    }",0.0,"#include<stdio.h>
int main()
{
    printf(""************\n  welcome\n************"");
    return 0;
    }",4
7,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>
int main()
{
printf(""************\n"");
printf(""  welcome\n"");
printf(""************"");
return 0;
}",0.0,"#include<stdio.h>
int main()
{
printf(""************\n"");
printf(""  welcome\n"");
printf(""************"");
return 0;
}",5
8,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>
int main()
{
	printf(""************\n"");
	printf(""  welcome   \n"");
    printf(""************\n"");
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
	printf(""************\n"");
	printf(""  welcome   \n"");
    printf(""************\n"");
    return 0;
}",4
9,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>

int main()

{

    printf(""\n************\n  welcome\n************\n"");

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
    printf(""\n************\n  welcome\n************\n"");
    return 0;
}",4
10,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>

int main()

{

    printf(""\n************\n  welcome\n************"");

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
    printf(""\n************\n  welcome\n************"");
    return 0;
}",4
11,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>

int main()

{

 printf(""************\n\nWelcome\n\n************"");

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
 printf(""************\n\nWelcome\n\n************"");
    return 0;
}",4
12,2c9f30a57c74a921017c7783dcb306ca,"#include<stdio.h>
int main()
{
printf(""************\n"");
printf(""  welcome\n"");
printf(""************\n"");
return 0;
}",0.0,"#include<stdio.h>
int main()
{
printf(""************\n"");
printf(""  welcome\n"");
printf(""************\n"");
return 0;
}",5
